UID,ID,DATE,KG,LBS,BCS,FLWT,GRFL
24SH00001,A0009,2024-02-15,105.5,232,4.5,100,10.0
24SH00002,A0059,2024-02-15,88.5,195,4.0,90,9.0
24SH00003,A0356,2024-02-15,91.5,201,3.5,90,9.0
24SH00004,A0407,2024-02-15,111.5,245,4.0,100,10.0
24SH00005,A0456,2024-02-15,99.5,219,4.0,100,10.0
24SH00006,A0460,2024-02-15,90.5,199,3.5,90,9.0
24SH00007,A0545,2024-02-15,99.0,218,4.0,100,10.0
24SH00008,A0622,2024-02-15,96.0,211,4.5,80,8.0
24SH00009,A0654,2024-02-15,94.5,208,4.0,90,9.0
24SH00010,A0733,2024-02-15,92.0,202,4.0,110,11.0
24SH00011,A0844,2024-02-15,95.0,209,4.0,90,9.0
24SH00012,A0850,2024-02-15,98.5,217,4.0,80,8.0
24SH00013,A0871,2024-02-15,84.5,186,4.5,110,11.0
24SH00014,A0899,2024-02-15,96.0,211,4.5,100,10.0
24SH00015,A0907,2024-02-15,87.5,193,4.5,80,8.0
24SH00016,A1008,2024-02-15,100.0,220,4.0,90,9.0
24SH00017,A1080,2024-02-15,81.0,178,4.0,90,9.0
24SH00018,A1130,2024-02-15,87.0,191,4.0,60,6.0
24SH00019,A1157,2024-02-15,81.0,178,4.0,80,8.0
24SH00020,A1179,2024-02-15,101.5,223,4.0,90,9.0
24SH00021,A1192,2024-02-15,92.5,204,4.5,90,9.0
24SH00022,A1193,2024-02-15,96.5,212,4.0,120,12.0
24SH00023,A1202,2024-02-15,86.0,189,4.0,80,8.0
24SH00024,A1226,2024-02-15,95.0,209,3.5,70,7.0
24SH00025,A1273,2024-02-15,60.5,133,3.5,90,9.0
24SH00026,A1283,2024-02-15,87.0,191,4.5,80,8.0
24SH00027,A1306,2024-02-15,88.0,194,4.5,80,8.0
24SH00028,A1355,2024-02-15,78.5,173,4.0,110,11.0
24SH00029,A1361,2024-02-15,80.0,176,4.0,100,10.0
24SH00030,A1476,2024-02-15,90.0,198,4.0,110,11.0
24SH00031,A1483,2024-02-15,85.5,188,4.5,90,9.0
24SH00032,A1493,2024-02-15,89.5,197,4.5,100,10.0
24SH00033,A1502,2024-02-15,86.5,190,4.5,60,6.0
24SH00034,A1506,2024-02-15,71.5,157,4.0,90,9.0
24SH00035,A1507,2024-02-15,82.0,180,4.0,70,7.0
24SH00036,A1514,2024-02-15,83.5,184,4.0,100,10.0
24SH00037,A1515,2024-02-15,75.5,166,4.0,80,8.0
24SH00038,A1516,2024-02-15,74.0,163,3.5,90,9.0
