UID,ID9,YR,BRD,ETAG,SEX,LINE,SPWT,KGWT,GRFL,GRADE,FLGR1,RMK,DAYSH,SHDAY,WTDAY,BAND,L,YEAR,STM,AGE
94SH00001, 91635464,91,63,K5464,2,61,146,4.0,8.8,58,5,ABORTED,75,1994-03-16,1994-05-03,X,,94,06,3.0
94SH00002, 92102370,92,10,S2370,2,13,150,3.0,6.6,64,2,,75,1994-03-16,1994-05-04,1,,94,07,2.0
94SH00003, 90635011,90,63,K5011,2,60,197,3.8,8.4,58,5,,75,1994-03-16,1994-04-29,2,,94,06,4.0
94SH00004, 91101533,91,10,S1533,2,10,179,3.8,8.4,64,2,,75,1994-03-16,1994-04-19,2,,94,07,3.0
94SH00005, 91101453,91,10,S1453,2,12,170,3.8,8.4,64,2,,75,1994-03-16,1994-05-09,2,,94,42,3.0
94SH00006, 91101470,91,10,S1470,2,13,185,4.1,9.0,60,4,,75,1994-03-16,1994-04-29,2,,94,07,3.0
94SH00007, 92102484,92,10,S2484,2,10,148,3.9,8.6,62,3,,75,1994-03-16,1994-04-19,1,,94,42,2.0
94SH00008, 88633115,88,63,K3115,2,61,225,4.5,9.9,58,5,,75,1994-03-16,1994-04-19,1,,94,06,6.0
94SH00009, 92635972,92,63,K5972,2,60,177,3.8,8.4,58,5,,75,1994-03-16,1994-04-25,1,,94,06,2.0
94SH00010, 91101829,91,10,S1829,2,12,198,4.7,10.4,64,2,,75,1994-03-16,1994-04-19,2,,94,42,3.0
94SH04203, 91038055,91,03,L8055,2,73,161,3.4,7.5,56,6,,165,1994-06-14,,F,,94,30,2.5
94SH04204, 91038130,91,03,L8130,2,73,128,2.9,6.4,56,6,,165,1994-06-14,,F,,94,30,2.5
94SH04205, 89034569,89,03,L4569,2,73,157,3.6,7.9,58,5,,165,1994-06-14,,F,,94,30,4.5
94SH04206, 91038145,91,03,L8145,2,72,129,2.2,4.9,58,5,,165,1994-06-14,,F,,94,30,2.5
94SH04207, 88032756,88,03,L2756,2,73,138,2.4,5.3,60,4,,165,1994-06-14,,F,,94,30,5.5
94SH04208, 85028526,85,02,Y8526,2,73,123,2.7,6.0,60,4,,165,1994-06-14,,F,,94,30,8.5
94SH04209, 89033431,89,03,L3431,2,73,177,3.3,7.3,56,6,,165,1994-06-14,,F,,94,30,5.0
94SH04210, 88032880,88,03,L2880,2,73,159,3.3,7.3,58,5,,165,1994-06-14,,F,,94,30,5.5
94SH04211, 90035844,90,03,L5844,2,73,134,2.3,5.1,58,5,,165,1994-06-14,,F,,94,30,3.5
94SH04212, 89033794,89,03,L3794,2,73,159,2.1,4.6,56,6,,165,1994-06-14,,F,,94,30,5.0
