UID,ID9,YR,BRD,ETAG,ID_COW,SEX,LINE,SPWT,KGWT,GRFL,GRADE,FLGR1,RMK,DAYSH,SHDAY,WTDAY,BAND,L,YEAR,STM,AGE
95SH00001, 92102475,92,10,S2475,,2,11,114,4.5,9.9,62,3,,73,1995-03-14,1995-04-24,2,,95,07,3.0
95SH00002, 90100421,90,10,S0421,,2,13,133,4.7,10.4,62,3,,73,1995-03-14,1995-04-24,2,,95,41,5.0
95SH00003, 93636681,93,63,K6681,,2,62,141,4.06,9.0,58,5,,73,1995-03-14,1995-04-24,1,,95,06,2.0
95SH00004, 92102682,92,10,S2682,,2,11,153,5.62,12.4,58,5,,73,1995-03-14,1995-04-24,2,,95,07,3.0
95SH00005, 90100767,90,10,S0767,,2,13,153,6.46,14.2,60,4,,73,1995-03-14,1995-04-24,2,,95,41,5.0
95SH00006, 92103045,92,10,S3045,,2,13,157,5.14,11.3,62,3,,73,1995-03-14,1995-04-24,1,,95,07,3.0
95SH00007, 91635719,91,63,K5719,,2,61,179,5.52,12.2,60,4,,73,1995-03-14,1995-04-28,1,,95,06,4.0
95SH00008, 94104536,94,10,S4536,,2,13,122,3.2,7.1,60,4,,73,1995-03-14,1995-05-15,2,,95,07,1.0
95SH00009, 94105326,94,10,S5326,,2,10,117,3.52,7.8,60,4,,73,1995-03-14,1995-05-22,5,,95,07,1.0
95SH00010, 94637303,94,63,K7303,,2,62,132,2.6,5.7,60,4,,73,1995-03-14,1995-05-22,5,,95,06,1.0
95SH04019, 94041646,94,04,A1646,,1,73,0,3.2,7.1,60,4,RAM,177,1995-06-26,,,,95,30,0.5
95SH04020, 94041664,94,04,A1664,,1,73,0,3.2,7.1,60,4,RAM,177,1995-06-26,,,,95,30,0.5
95SH04021, 94041670,94,04,A1670,,1,73,0,2.4,5.3,58,5,RAM,177,1995-06-26,,,,95,30,0.5
95SH04022, 94041688,94,04,A1688,,1,73,0,2.7,6.0,60,4,RAM,177,1995-06-26,,,,95,30,0.5
95SH04023, 94041668,94,04,A1668,,1,73,0,2.2,4.9,56,6,RAM,177,1995-06-26,,,,95,30,0.5
95SH04024, 94041577,94,04,A1577,,1,73,0,3.2,7.1,58,5,RAM,177,1995-06-26,,,,95,30,0.5
95SH04025, 94041604,94,04,A1604,,1,73,0,2.4,5.3,60,4,RAM,177,1995-06-26,,,,95,30,0.5
95SH04026, 94041620,94,04,A1620,,1,73,0,3.1,6.8,60,4,RAM,177,1995-06-26,,,,95,30,0.5
95SH04027, 94041638,94,04,A1638,,1,73,0,3.2,7.1,56,6,RAM,177,1995-06-26,,,,95,30,0.5
95SH04028, 94041576,94,04,A1576,,1,73,0,2.7,6.0,60,4,RAM,177,1995-06-26,,,,95,30,0.5
