UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
01SH00001,1998640379,2,2001-03-08,67,A,64,K0379,11.6,56,6,,06,3.0,198,2001-04-24,5,0,01
01SH00002,1992443593,2,2001-03-08,67,O,44, 2516,9.6,58,5,,02,9.0,141,2001-04-24,5,0,01
01SH00003,1996006259,2,2001-03-08,67,A,00, 6259,7.6,58,5,,00,5.0,145,2001-04-24,5,0,01
01SH00004,1998109658,2,2001-03-08,67,A,10,S9658,12.0,62,3,LAYS DOWN NO GO,43,3.0,169,2001-04-24,A,0,01
01SH00005,1997107975,2,2001-03-08,67,A,10,S7975,13.4,60,4,,07,4.0,180,2001-04-24,A,0,01
01SH00006,1997007168,2,2001-03-08,67,A,00, 7168,14.0,58,5,,00,4.0,158,2001-04-24,5,0,01
01SH00007,1995050314,2,2001-03-08,67,A,05,50314,11.4,58,5,,00,6.0,149,2001-04-24,5,0,01
01SH00008,1997044533,2,2001-03-08,67,O,04,A4533,5.0,58,5,"THIN, TENDER",30,4.0,117,2001-04-24,5,0,01
01SH00009,1995050483,2,2001-03-08,67,A,05,50483,7.8,62,3,,00,6.0,150,2001-04-24,5,0,01
01SH00010,1997446042,2,2001-03-08,67,A,44,T6042,9.4,60,4,,02,4.0,129,2001-04-24,5,0,01
01SH04049,2000641439,2,2001-03-05,64,4,64,K1439,7.0,60,4,,06,1.0,171,2001-04-24,5,0,01
01SH04050,2000447743,2,2001-03-05,64,4,44,T7743,6.4,60,4,,02,1.0,151,2001-05-07,1,0,01
01SH04051,2000447706,2,2001-03-05,64,4,44,T7706,7.2,60,4,,02,1.0,142,2001-04-24,5,0,01
01SH04052,2000047204,2,2001-03-05,64,4,04,A7204,6.0,56,6,,30,1.0,120,2001-04-23,2,0,01
01SH04053,2000000620,2,2001-03-05,64,4,00,00620,5.4,58,5,,30,1.0,128,2001-05-01,5,0,01
01SH04054,2000047903,2,2001-03-05,64,4,04,A7903,6.2,58,5,,30,1.0,132,2001-04-30,1,0,01
01SH04055,2000047985,2,2001-03-05,64,4,04,A7985,5.0,60,4,ABORTED,30,1.0,127,2001-04-24,5,0,01
01SH04056,2000448239,2,2001-03-05,64,4,44,T8239,7.6,60,4,,02,1.0,150,2001-04-24,5,0,01
01SH04057,1997044562,2,2001-03-07,66,2,04,A4562,8.4,60,4,A4562 FIX,30,4.0,0,,*,0,01
01SH04058,1998045190,2,2001-03-07,66,2,04,A5190,8.4,60,4,A5190 FIX,30,3.0,161,2001-04-30,2,0,01
