UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YR
04SH00001,1999090687,09,90687,6.4,58,5,2,2004-03-09,69,EWE BAND1,1,SHORT,30,5.0,165,2004-04-26,2,0,04
04SH00002,2002642616,64,K2616,9.8,58,5,2,2004-03-09,69,EWE BAND1,1,,06,2.0,156,2004-04-22,1,0,04
04SH00003,2002448815,44,T8815,8.4,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,143,2004-04-22,1,0,04
04SH00004,2001642018,64,K2018,10.2,60,4,2,2004-03-09,69,EWE BAND1,1,,06,3.0,227,2004-05-03,1,0,04
04SH00005,1999046588,04,A6588,5.4,60,4,2,2004-03-09,69,EWE BAND1,1,SHORT,30,5.0,156,2004-05-03,1,0,04
04SH00006,1997639561,63,K9561,10.6,60,4,2,2004-03-09,69,EWE BAND1,1,,06,7.0,204,2004-05-03,1,0,04
04SH00007,2001048225,04,A8225,6.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,3.0,154,2004-04-22,1,0,04
04SH00008,2002448887,44,T8887,9.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,176,2004-04-26,2,0,04
04SH00009,2001048597,04,A8597,5.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,3.0,146,2004-04-26,2,0,04
04SH00010,2000447760,44,T7760,11.0,58,5,2,2004-03-09,69,EWE BAND1,1,,02,4.0,188,2004-04-26,2,0,04
04SH02922,2003819195,81,Z9195,6.4,60,4,2,2004-03-10,70,YRLG EWE,4,,33,1.0,118,2004-06-01,T,0,04
04SH02923,2003818594,81,Z8594,8.6,60,4,2,2004-03-10,70,YRLG EWE,4,,31,1.0,126,2004-05-13,2,0,04
04SH02924,2003449604,44,T9604,7.4,60,4,2,2004-03-10,70,YRLG EWE,4,,02,1.0,161,2004-05-27,2,0,04
04SH02925,2003820441,82,X0441,7.0,60,4,2,2004-03-10,70,YRLG EWE,4,,31,1.0,136,2004-05-03,1,0,04
04SH02926,2003820574,82,X0574,5.8,62,3,2,2004-03-10,70,YRLG EWE,4,,01,1.0,128,2004-05-24,5,0,04
04SH02927,2003449523,44,T9523,8.0,62,3,2,2004-03-10,70,YRLG EWE,4,,02,1.0,139,2004-05-24,5,0,04
04SH02928,2003820668,82,X0668,6.8,62,3,2,2004-03-10,70,YRLG EWE,4,,01,1.0,131,2004-05-20,1,0,04
04SH02929,2003303193,30, 3193,4.8,60,4,2,2004-03-10,70,YRLG EWE,5,,04,0.5,115,2004-06-08,F,0,04
04SH02930,2002818303,81,Z8303,10.0,62,3,2,2004-03-11,71,W/ VALIDATS,O,W/ VALIDATS,00,2.0,139,2004-04-22,1,0,04
04SH02931,2001112689,11,R2689,11.0,62,3,2,2004-03-11,71,W /VALIDATS,O,W/VALIDATS,43,3.0,174,2004-04-22,1,0,04
