UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK,PSHDAY,GRFL_365,AGE
06SH00001,1998008084,00, 8084,7.0,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,7.5,8.0
06SH00002,2000000097,00,00097,8.6,58,5,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.2,6.0
06SH00003,2004114588,11,R4588,8.4,64,2,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,9.0,2.0
06SH00004,1998008757,00, 8757,8.4,58,5,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,9.0,8.0
06SH00005,1999109988,10,S9988,8.4,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,9.0,7.0
06SH00006,2004114819,11,R4819,8.2,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,8.8,2.0
06SH00007,2003114181,11,R4181,10.8,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,11.6,3.0
06SH00008,2002113820,11,R3820,7.6,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,8.1,4.0
06SH00009,2000111884,11,R1884,9.8,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-13,10.5,6.0
06SH00010,2004114769,11,R4769,7.0,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,7.5,2.0
06SH02353,2000111194,11,R1194,7.6,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-15,8.2,6.0
06SH02354,2001112208,11,R2208,8.0,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,8.6,5.0
06SH02355,2002113452,11,R3452,11.8,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,12.6,4.0
06SH02356,2003114120,11,R4120,10.2,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,10.9,3.0
06SH02357,2003114175,11,R4175,10.2,60,4,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,10.9,3.0
06SH02358,2004114713,11,R4713,7.2,62,3,2,2006-02-18,49,Band1 Ewe,1,,2005-03-14,7.7,2.0
06SH02359,2005450345,45,T0345,7.6,62,3,2,2006-02-19,50,B4 Pregs,4,,2005-04-03,8.6,1.0
06SH02360,2002448815,44,T8815,8.8,60,4,2,2006-02-20,51,Band2 Ewe,2,,2005-03-13,9.3,4.0
06SH02361,2004449898,44,T9898,8.8,62,3,2,2006-02-20,51,Band2 Ewe,2,,2005-03-14,9.4,2.0
06SH02362,2003819916,81,Z9916,8.8,60,4,2,2006-02-20,51,Band2 Ewe,3,,2005-03-13,9.3,3.0
