UID,ETAG,SEX,GRFL,FLWT,SHEAR_DATE
08SH00001,00029,1,7.8,78,2/20/08
08SH00002,00046,,0.0,0,
08SH00003,00057,1,12.0,120,2/20/08
08SH00004,00061,,4.0,40,2/20/08
08SH00005,00116,2,10.6,106,2/20/08
08SH00006,00148,2,9.4,94,2/20/08
08SH00007,00149,,0.0,0,
08SH00008,00197,2,8.8,88,2/18/08
08SH00009,00249,1,4.8,48,2/20/08
08SH00010,00426,1,6.4,64,2/20/08
08SH03385,Z8749,2,6.8,68,2/18/08
08SH03386,Z8750,2,7.8,78,2/18/08
08SH03387,Z8789,2,0.0,0,
08SH03388,Z8953,2,10.6,106,2/18/08
08SH03389,Z8975,2,8.2,82,2/18/08
08SH03390,Z9000,2,0.0,0,
08SH03391,Z9068,2,0.0,0,
08SH03392,Z9092,2,8.0,80,2/18/08
08SH03393,Z9093,2,7.6,76,2/18/08
08SH03394,Z9125,2,0.0,0,
