UID,ETAG,SEX,BRWT,FLWT,GRFL,BAND,WDAY,LOT,RMK,ADG,DISP
10SH00001,00071,1,0,170,17.0,,2010-02-20,07,,0,
10SH00002,00976,2,0,0,0.0,,,07,,0,
10SH00003,03178,2,0,0,0.0,,,m3,,0,
10SH00004,A9119,2,0,0,0.0,,,30,,0,
10SH00005,A9471,2,0,0,0.0,,,30,,0,
10SH00006,H0478,2,0,0,0.0,,,30,,0,
10SH00007,H0591,2,0,0,0.0,,,30,,0,
10SH00008,H0762,2,0,84,8.4,,,30,,0,
10SH00009,H0884,2,0,0,0.0,,,30,,0,
10SH00010,H0954,2,0,0,0.0,,,30,,0,
10SH03684,X7532,,,68,6.8,,,,,,
10SH03685,X7534,,,54,5.4,,,,,,
10SH03686,X7535,,,44,4.4,,,,,,
10SH03687,X7554,,,54,5.4,,,,,,
10SH03688,X7555,,,56,5.6,,,,,,
10SH03689,X7570,,,54,5.4,,,,,,
10SH03690,X7594,,,58,5.8,,,,,,
10SH03691,X7595,,,46,4.6,,,,,,
10SH03692,X7599,,,69,6.9,,,,,,
10SH03693,X7601,,,52,5.2,,,,,,
