UID,LAMB,SEX,BRWT,WGT,BAND,WDAY,LOT,RMK,ADG,DISP
11SH00001,H0478,2,0,0.0,,0,30,,0,
11SH00002,H0591,2,0,0.0,,0,30,,0,
11SH00003,H0671,2,0,0.0,,0,30,,0,
11SH00004,H0876,2,0,0.0,,0,30,,0,
11SH00005,H0884,2,0,0.0,,0,30,,0,
11SH00006,H0954,2,0,0.0,,0,30,,0,
11SH00007,H1006,2,0,0.0,,0,30,,0,
11SH00008,H1080,2,0,0.0,,0,30,,0,
11SH00009,H1135,2,0,0.0,,0,30,,0,
11SH00010,H1208,2,0,0.0,,0,30,,0,
11SH03761,X5223,2,0,5.0,,48,00,00,0,
11SH03762,X7487,2,0,5.0,,48,BL,BL,0,
11SH03763,X5787,2,0,4.1,,48,00,00,0,
11SH03764,X4796,2,0,6.0,,48,00,00,0,
11SH03765,X3392,2,0,5.4,,48,m3,m3,0,
11SH03766,T1911,2,0,6.2,,48,02,,0,
11SH03767,X3217,2,0,5.6,,48,00,00,0,
11SH03768,X3584,2,0,6.0,,48,00,00,0,
11SH03769,X8569,1,0,3.6,,48,97,Suffolk,0,
11SH03770,X7462,1,0,11.8,,48,TC,TC,0,
