UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,STM,RMK,ADG,DISP
14SH00001,H3723,2,0,0.0,0,,0,30,Band 1 Ewe,0,
14SH00002,H6209,2,0,0.0,0,,0,30,Band 1 Ewe,0,
14SH00003,H6960,2,0,0.0,0,,0,30,Band 1 Ewe,0,
14SH00004,H7767,2,0,6.0,60,,49,30,Band 1 Ewe,0,
14SH00005,K4898,2,0,0.0,0,,0,06,Band 2 Ewe,0,
14SH00006,K4904,1,0,0.0,0,,0,06,Mature Ram,0,
14SH00007,K4944,1,0,0.0,0,,0,06,Yrlng Ram,0,
14SH00008,L0953,1,0,0.0,0,,0,PC,Mature Ram,0,
14SH00009,R6260,2,0,0.0,0,,0,07,Band 1 Ewe,0,
14SH00010,R9099,2,0,0.0,0,,0,07,Band 1 Ewe,0,
14SH01814,X9415,2,0,4.4,44,,50,R3,R3  Band 1 Ewe,0,
14SH01815,X9019,2,0,4.4,44,,50,R3,R3  Band 1 Ewe,0,
14SH01816,Z0590,2,0,7.4,74,,50,R3,R3  Band 1 Ewe,0,
14SH01817,X8937,2,0,6.6,66,,50,R3,R3  Band 1 Ewe,0,
14SH01818,Z0523,2,0,6.4,64,,50,R3,R3  Band 1 Ewe,0,
14SH01819,Z0513,2,0,6.2,62,,50,R3,R3  Band 1 Ewe,0,
14SH01820,Z0531,2,0,4.4,44,,50,R3,R3  Band 1 Ewe,0,
14SH01821,X9067,2,0,7.2,72,,50,R3,R3  Band 1 Ewe,0,
14SH01822,X9283,2,0,4.8,48,,50,R3,R3  Band 1 Ewe,0,
14SH01823,Z0621,2,0,6.8,68,,50,R3,R3  Band 1 Ewe,0,
