UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,LOT,RMK,ADG,DISP
15SH00001,H8210,1,0,13.8,138,,49,30,WF Mature Ram,0,
15SH00002,L0558,2,0,5.3,53,,49,PC,Smut Mat. Ewe,0,
15SH00003,R7369,2,0,11.0,110,,48,07,WF Bleeder Ewe,0,
15SH00004,R8186,2,0,0.0,0,,0,07,WF Bleeder Ewe,0,
15SH00005,R8205,2,0,9.2,92,,48,07,WF Mat. Ewe,0,
15SH00006,T3919,2,0,0.0,0,,0,02,WF Bleeder Ewe,0,
15SH00007,T4032,2,0,9.0,90,,48,02,WF Mat. Ewe,0,
15SH00008,T5330,2,0,8.4,84,,48,02,Preg WF EL,0,
15SH00009,T5779,2,0,6.8,68,,48,02,Preg WF EL,0,
15SH00010,X7262,2,0,0.0,0,,0,97,Suf. Mat. Ewe,0,
15SH01599,Z0523,2,0,7.4,74,,49,R3,R3,0,
15SH01600,Z0732,2,0,9.2,92,,49,R3,R3,0,
15SH01601,Z0678,2,0,7.2,72,,49,R3,R3,0,
15SH01602,Z0427,2,0,6.4,64,,49,R3,R3,0,
15SH01603,Z0442,2,0,5.4,54,,49,R3,R3,0,
15SH01604,Z0700,2,0,7.8,78,,49,R3,R3,0,
15SH01605,Z0369,2,0,9.0,90,,49,R3,R3,0,
15SH01606,Z0414,2,0,8.2,82,,49,R3,R3,0,
15SH01607,Z0513,2,0,8.0,80,,49,R3,R3,0,
15SH01608,Z0676,2,0,6.4,64,,49,R3,R3,0,
