UID,ID,GRFL,FLWT,DAY,STM,CATEGORY,AGE
16SH00001,H4591,8.4,84,43,30,Bleeder,7.0
16SH00002,H4823,5.2,52,43,30,Bleeder,7.0
16SH00003,H4891,6.6,66,44,30,,7.0
16SH00004,H5213,9.8,98,43,30,Bleeder,7.0
16SH00005,H5319,7.4,74,43,30,Bleeder,7.0
16SH00006,H5430,6.4,64,43,30,Bleeder,7.0
16SH00007,H5484,7.6,76,43,30,Bleeder,7.0
16SH00008,H5570,6.8,68,43,30,Bleeder,6.0
16SH00009,H5592,7.2,72,43,30,Bleeder,6.0
16SH00010,H5686,6.6,66,44,30,,6.0
16SH01588,Z3207,8.8,88,44,SM,,2.0
16SH01589,Z3208,2.8,28,44,97,Mat. Suf. Ram,2.0
16SH01590,Z3209,7.7,77,44,SM,,2.0
16SH01591,Z3210,3.0,30,44,97,Mat. Suf. Ram,2.0
16SH01592,Z3211,3.2,32,44,97,Mat. Suf. Ram,2.0
16SH01593,Z3212,6.6,66,44,SM,,2.0
16SH01594,Z3213,7.7,77,44,SM,,2.0
16SH01595,Z3215,1.8,18,44,97,Mat. Suf. Ram,2.0
16SH01596,Z3216,7.7,77,44,SM,,2.0
16SH01597,Z3217,9.9,99,44,SM,,2.0
