UID,ID,SEX,FLWT,GRFL,DAY,STM,RMK
19SH00001,A0002,2,48,4.8,45,30,.
19SH00002,A0003,2,78,7.8,45,30,.
19SH00003,A0005,2,70,7.0,45,30,.
19SH00004,A0006,2,60,6.0,45,30,.
19SH00005,A0007,2,62,6.2,45,30,.
19SH00006,A0009,2,72,7.2,45,30,.
19SH00007,A0012,1,72,7.2,49,30,Scurs
19SH00008,A0013,1,82,8.2,49,30,Nice!
19SH00009,A0016,2,66,6.6,45,30,.
19SH00010,A0017,2,62,6.2,45,30,.
19SH02460,Z6316,2,84,8.4,47,00,CU
19SH02461,Z6317,2,62,6.2,47,00,CU
19SH02462,Z6318,2,52,5.2,47,00,CU
19SH02463,Z6320,1,74,7.4,49,42,Scurs
19SH02464,Z6322,2,62,6.2,47,SC,60BLK
19SH02465,Z6326,2,74,7.4,47,80,40GRAY
19SH02466,Z6335,2,54,5.4,47,00,CU
19SH02467,Z6340,2,76,7.6,45,00,.
19SH02468,Z6344,2,62,6.2,47,20,.
19SH02469,Z6351,2,54,5.4,47,10,.
