UID,ETAG,DATE,DAY,KG,LBS,FLWT,GRFL
20SH00001,A0006,2020-02-19,50,72,157,60,6.0
20SH00002,A0009,2020-02-18,49,82,180,80,8.0
20SH00003,A0013,2020-02-19,50,93,204,110,11.0
20SH00004,A0023,2020-02-18,49,76,167,70,7.0
20SH00005,A0024,2020-02-19,50,83,183,70,7.0
20SH00006,A0025,2020-02-18,49,73,161,90,9.0
20SH00007,A0032,2020-02-18,49,72,157,90,9.0
20SH00008,A0049,2020-02-18,49,71,156,100,10.0
20SH00009,A0051,2020-02-19,50,100,219,90,9.0
20SH00010,A0052,2020-02-19,50,87,190,60,6.0
20SH02247,Z7396,2020-02-19,50,60,131,80,8.0
20SH02248,Z7401,2020-02-19,50,58,127,60,6.0
20SH02249,Z7402,2020-02-19,50,71,155,70,7.0
20SH02250,Z7425,2020-02-19,50,57,124,60,6.0
20SH02251,Z7430,2020-02-20,51,74,163,80,8.0
20SH02252,Z7440,2020-02-20,51,80,176,70,7.0
20SH02253,Z7448,2020-02-19,50,60,132,70,7.0
20SH02254,Z7454,2020-02-19,50,66,144,60,6.0
20SH02255,Z7455,2020-02-20,51,76,167,60,6.0
20SH02256,Z7471,2020-02-19,50,86,189,40,4.0
