UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH00001,A0009,2022-02-10,41,111.0,244,4.5,100,10.0
22SH00002,A0049,2022-02-10,41,92.0,202,5.0,80,8.0
22SH00003,A0059,2022-02-10,41,99.0,218,4.5,70,7.0
22SH00004,A0073,2022-02-10,41,111.5,245,4.5,110,11.0
22SH00005,A0103,2022-02-10,41,96.5,212,5.0,80,8.0
22SH00006,A0106,2022-02-10,41,90.0,198,4.0,70,7.0
22SH00007,A0110,2022-02-10,41,93.0,205,4.0,80,8.0
22SH00008,A0164,2022-02-10,41,119.0,262,5.0,90,9.0
22SH00009,A0175,2022-02-10,41,91.0,200,5.0,120,12.0
22SH00010,A0184,2022-02-10,41,96.5,212,4.5,100,10.0
22SH02192,Z9648,2022-02-11,42,81.5,179,,80,8.0
22SH02193,Z9649,2022-02-11,42,76.0,167,,60,6.0
22SH02194,Z9653,2022-02-11,42,75.5,166,,80,8.0
22SH02195,Z9668,2022-02-11,42,76.5,168,,70,7.0
22SH02196,Z9682,2022-02-11,42,71.0,156,,110,11.0
22SH02197,Z9700,2022-02-11,42,79.5,175,,80,8.0
22SH02198,Z9701,2022-02-11,42,77.0,169,,40,4.0
22SH02199,Z9718,2022-02-11,42,75.0,165,,60,6.0
22SH02200,Z9734,2022-02-11,42,63.5,140,,90,9.0
22SH02201,Z9742,2022-02-11,42,71.5,157,,80,8.0
