UID,ID,DATE,KG,LBS,BCS,FLWT,GRFL
25SH00001,A0009,2025-02-10,106.0,233,4.5,70,7.0
25SH00002,A0059,2025-02-10,85.5,188,3.5,80,8.0
25SH00003,A0309,2025-02-10,106.0,233,4.0,90,9.0
25SH00004,A0311,2025-02-10,106.5,234,4.5,90,9.0
25SH00005,A0327,2025-02-10,103.5,228,4.0,100,10.0
25SH00006,A0354,2025-02-10,101.5,223,4.5,100,10.0
25SH00007,A0363,2025-02-10,80.5,177,4.0,60,6.0
25SH00008,A0370,2025-02-10,92.0,202,4.0,80,8.0
25SH00009,A0404,2025-02-10,97.0,213,4.0,80,8.0
25SH00010,A0444,2025-02-10,86.0,189,4.0,70,7.0
25SH02424,Z9920,2025-02-11,118.5,261,4.5,80,8.0
25SH02425,Z9925,2025-02-11,116.0,255,4.0,40,4.0
25SH02426,Z9944,2025-02-11,115.5,254,4.5,70,7.0
25SH02427,Z9946,2025-02-11,99.0,218,3.0,50,5.0
25SH02428,Z9957,2025-02-11,108.0,238,3.0,90,9.0
25SH02429,Z9972,2025-02-11,84.5,186,3.0,70,7.0
25SH02430,Z9989,2025-02-11,80.0,176,4.0,90,9.0
25SH02431,Z9993,2025-02-11,115.0,253,3.5,50,5.0
25SH02432,Z9994,2025-02-11,97.0,213,3.5,70,7.0
25SH02433,Z9999,2025-02-11,95.5,210,3.5,70,7.0
