UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
53WN00001,53,1,3789,1,27,270,3079,1,11,34,3,3,78,138,1,7,06,1,72,13,03,06,09,033,12,2,2,1,29,1,2,,457,04,25,11,3,3,,1,5,1,123,90,,1,,0,3
53WN00002,53,2,3791,1,19,190,3317,1,11,30,2,2,77,137,1,4,05,2,70,14,03,06,08,041,12,1,2,2,24,2,2,2,451,05,15,11,1,1,,1,,1,123,82,,1,,0,2
53WN00003,53,1,3792,1,32,320,3499,1,11,23,1,2,77,137,1,4,07,1,60,15,03,11,11,029,13,2,2,1,31,2,2,,365,05,10,11,1,1,,1,1,1,103,100,,3,10,0,2
53WN00004,53,1,3793,1,21,210,2962,1,11,25,3,4,76,136,1,7,09,1,66,15,03,09,10,028,10,2,2,1,20,2,2,,431,06,21,11,3,3,,1,1,1,106,74,,3,10,0,4
53WN00005,53,2,3794,1,27,270,3413,1,11,32,2,2,76,136,1,3,05,1,80,09,03,06,09,041,7,2,2,1,27,2,2,1,525,06,28,11,1,1,,1,,1,161,86,,1,,0,2
53WN00006,53,1,3795,1,20,200,2728,1,11,27,1,5,76,136,1,7,05,1,77,13,03,06,08,033,12,2,2,1,28,3,3,,500,06,23,11,1,1,,1,5,1,120,90,,1,,0,4
53WN00007,53,2,3796,1,34,340,3500,1,11,44,1,2,76,136,4,3,06,1,69,10,03,09,11,035,10,2,3,2,39,5,2,,444,06,35,11,1,1,,1,,1,149,86,,2,40,0,2
53WN00008,53,1,3797,1,32,320,3481,1,11,25,1,2,75,135,1,5,06,1,78,13,03,07,09,035,11,2,2,1,20,2,2,,496,07,13,11,1,1,,1,1,1,131,110,,1,,0,2
53WN00009,53,1,3800,1,27,270,2625,1,11,19,5,5,75,135,1,7,07,1,66,10,03,08,10,031,10,2,2,1,26,3,3,,410,07,20,11,5,2,,1,2,1,136,106,,1,,0,4
53WN00010,53,2,3801,1,27,270,2625,1,11,19,5,5,75,135,1,3,05,1,61,11,04,08,10,031,13,2,2,1,29,3,3,1,375,07,20,11,5,2,,1,,1,126,104,,1,,0,4
53WN00011,53,1,3802,1,20,200,3090,1,11,32,1,3,75,135,1,7,05,1,71,15,04,08,06,037,13,2,4,3,28,4,2,,461,07,23,11,1,1,,1,3,1,100,88,,3,10,0,3
53WN00012,53,1,3803,1,63,560,2677,1,11,,1,5,75,135,1,7,05,1,102,14,07,06,05,039,14,2,2,1,29,2,2,,659,07,18,11,1,1,,6,5,1,117,130,,1,,0,4
53WN00013,53,2,3804,1,63,590,1972,1,11,,5,7,75,135,1,3,05,1,55,12,03,09,11,037,14,2,2,1,24,4,3,,356,07,15,11,5,2,,6,,1,122,70,,2,10,0,5
53WN00014,53,2,3805,1,63,590,1972,1,11,,5,7,75,135,1,3,06,1,65,10,03,07,10,036,10,2,3,2,22,4,3,1,412,07,,11,5,2,,6,,1,139,94,,1,,0,5
53WN00015,53,2,3806,1,19,190,3085,1,11,34,1,3,75,135,1,3,05,1,73,15,03,08,09,041,11,2,2,1,27,2,2,2,462,07,27,11,1,1,,1,,1,120,106,,1,,0,3
53WN00016,53,1,3807,1,32,320,3262,1,11,20,1,3,75,135,1,1,07,6,74,13,03,08,11,027,14,1,2,2,30,2,2,,453,07,00,11,1,1,,1,1,1,120,128,,3,34,0,3
53WN00017,53,2,3808,1,63,610,2799,1,11,,1,4,74,134,1,3,05,1,63,13,04,08,09,039,12,2,2,1,27,2,2,,399,08,28,11,1,1,,6,,1,109,96,,2,10,0,4
53WN00018,53,1,3809,1,20,200,3575,1,11,23,1,2,74,134,1,7,05,1,75,12,03,07,09,032,10,2,3,2,26,4,2,,504,08,24,11,1,1,,1,3,1,131,74,2,1,,0,2
53WN00019,53,1,3810,1,00,610,3515,1,11,,5,2,74,134,1,7,06,1,56,13,03,09,12,031,7,2,2,1,26,3,2,,370,08,27,11,5,2,,0,1,1,120,64,,3,10,0,2
53WN00020,53,2,3811,1,00,610,3515,1,11,,5,2,74,134,1,3,06,1,59,12,03,09,11,033,10,2,2,1,20,3,2,,397,08,27,11,5,2,,0,,1,130,58,,2,10,0,2
53WN00021,53,1,3812,1,19,190,2229,1,11,16,1,6,74,134,1,7,06,1,84,14,06,07,08,037,12,1,2,2,24,2,4,,537,08,,11,1,1,,1,2,1,113,120,,3,10,0,4
53WN00022,53,1,3813,1,27,270,2924,1,11,39,1,4,74,134,1,7,06,1,87,15,04,06,07,031,9,2,2,1,24,3,3,,566,08,42,11,1,1,,1,3,1,116,112,,1,,0,4
