UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,SIRE,LBRD,ADG,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
54WN00001,54,1,1708,0,00,000,9480,2,13,,6,6,84,144,1,6,05,1,108,11,03,06,07,040,12,2,2,1,32,,,,,10,688,5,2,,0,4,1,165,90,,3,17,0,4
54WN00002,54,1,1709,0,00,000,9480,2,13,,5,6,84,144,1,7,07,1,100,11,06,05,05,036,12,1,2,2,32,,,,,10,611,5,2,,0,5,1,138,120,,3,17,0,4
54WN00003,54,2,1710,0,69,359,1704,0,10,,1,2,78,138,1,4,05,1,84,13,03,05,06,037,11,2,3,2,33,,,1,,10,533,1,1,,4,,1,128,104,,1,,0,2
54WN00004,54,1,1711,0,69,328,1668,0,10,,2,2,76,136,1,4,11,1,76,10,03,09,12,028,14,2,2,1,30,,,,,10,497,1,1,,4,1,1,144,84,,3,10,0,2
54WN00005,54,2,1712,0,69,399,1667,0,10,,1,2,76,136,1,5,05,1,87,09,03,04,07,038,12,2,2,1,32,,,1,,10,560,1,1,,4,,1,155,108,,1,,0,2
54WN00006,54,1,1713,0,69,508,1641,0,10,,5,5,75,135,1,7,08,1,73,15,04,07,09,035,11,2,3,2,32,,,,,10,462,5,2,,4,1,1,113,106,,3,10,0,4
54WN00007,54,2,1714,0,69,508,1641,0,10,,5,5,75,135,1,3,07,1,70,15,10,10,07,032,11,2,2,1,31,,,,,10,441,5,2,,4,,1,83,104,,2,10,0,4
54WN00008,54,1,1715,0,69,298,1685,0,10,,1,2,75,135,1,7,09,1,87,09,04,06,09,033,12,2,2,1,36,,,,,10,553,1,1,,4,4,1,152,124,,3,10,0,2
54WN00009,54,1,1716,0,69,368,1625,0,10,,3,8,75,135,1,7,07,1,85,11,03,07,08,033,14,2,2,1,29,,,,,10,556,3,3,,4,1,1,140,100,,3,10,0,5
54WN00010,54,2,1717,0,69,368,1625,0,10,,4,8,75,135,1,3,05,1,75,09,04,06,07,036,14,2,3,2,28,,,1,,10,490,3,3,,4,,1,138,88,,1,,0,5
54WN00011,54,1,1718,0,69,398,1658,0,10,,1,2,74,134,1,7,05,1,88,11,04,07,07,039,12,2,3,2,36,,,,,10,564,1,1,,4,2,1,143,124,,1,,0,2
54WN00012,54,2,1719,0,69,748,1629,0,10,,5,8,74,134,1,4,06,1,71,10,03,05,09,035,10,2,3,2,31,,,1,,10,461,5,2,,4,,1,142,92,,1,,0,5
54WN00013,54,1,1720,0,69,748,1629,0,10,,5,8,74,134,1,7,07,1,57,14,03,11,13,031,12,1,2,2,32,,,,,10,357,5,2,,4,1,1,115,92,,3,10,0,5
54WN00014,54,1,1721,0,69,498,1681,0,10,,1,2,74,134,1,7,07,1,70,12,03,09,11,033,12,2,2,1,37,,,,,10,442,1,1,,4,2,1,130,108,,3,10,0,2
54WN00015,54,1,1722,0,69,519,1671,0,10,,1,2,74,134,1,7,07,1,98,12,03,05,06,034,14,2,3,2,34,,,,,10,657,1,1,,4,5,1,145,100,,1,,0,2
54WN00016,54,2,1724,0,69,468,1632,0,10,,1,7,73,133,1,4,09,3,87,09,06,05,05,038,14,2,2,1,30,,,2,,10,570,1,1,,4,,1,134,112,,1,,0,5
54WN00017,54,1,1726,0,69,468,1676,0,10,,1,2,73,133,1,7,07,1,92,11,03,05,08,036,14,2,2,1,30,,,,,10,603,1,1,,4,5,1,151,118,,1,,0,2
54WN00018,54,1,1727,0,69,508,1634,0,10,,5,6,73,133,1,7,11,1,50,14,03,10,15,029,12,1,2,2,27,,,,,10,305,5,2,,4,1,1,112,94,,3,10,0,4
54WN00019,54,2,1728,0,69,508,1634,0,10,,5,6,73,133,1,4,05,1,77,09,04,06,05,034,11,2,2,1,34,,,2,,10,520,5,2,,4,,1,139,78,,1,,0,4
54WN00020,54,2,1729,0,69,269,1672,0,10,,1,2,73,133,2,4,06,1,81,12,03,05,06,038,14,2,2,1,30,,,,,10,517,1,1,,4,,1,133,122,1,3,01,0,2
54WN00021,54,2,1730,0,69,509,1669,0,10,,1,2,72,132,1,3,05,3,73,09,03,07,09,040,11,2,2,1,33,,,1,,10,470,1,1,,4,,1,150,110,,1,,0,2
