UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,CADAM_25,TBRE,CTBR,C53,SIRE,SB1,LBRD1,ADG,LBRD2,LBRD,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,C80
55WN00001,55,1,1801,0,69,258,1638,0,10,,1,7,77,137,1,7,07,1,105,12,04,06,05,037,9,2,2,1,28,5,1,1,,5055,1,1,673,0,10,68,4,3,1,137,128,,3,10,0,
55WN00002,55,1,1802,0,69,409,1691,0,10,,1,3,77,137,1,7,07,1,109,09,04,07,05,034,16,2,2,1,21,3,1,1,,0935,2,1,704,0,10,68,4,5,1,154,126,,,,0,
55WN00003,55,2,1803,0,69,358,1693,0,10,,1,3,77,137,1,3,07,1,85,10,03,06,05,035,15,2,3,2,27,3,1,1,1,0511,2,1,531,0,10,68,4,,1,134,122,,,,0,
55WN00004,55,1,1804,0,69,718,1704,0,10,,1,3,76,136,1,7,07,1,90,13,03,09,09,034,12,2,2,1,24,3,1,1,,7473,3,1,576,0,10,68,4,3,1,130,116,,3,10,0,
55WN00005,55,2,1806,0,69,498,1639,0,10,,1,6,76,136,1,2,07,3,87,11,04,08,07,038,15,2,2,1,21,4,1,1,1,1037,2,1,566,0,10,68,4,,1,136,100,,,,0,
55WN00006,55,1,1807,0,69,399,1701,0,10,,1,3,75,135,1,7,06,1,91,10,03,06,07,037,16,2,2,1,18,3,1,1,,1240,2,1,593,0,10,68,4,3,1,143,110,,,,0,
55WN00007,55,2,1808,0,69,468,1792,0,10,,1,2,74,134,1,3,06,1,76,11,04,07,06,032,16,2,3,2,25,2,1,1,,0693,2,1,494,0,10,68,4,,1,124,98,,7,,0,
55WN00008,55,1,1809,0,69,398,1654,0,10,,1,3,74,134,1,7,07,1,88,12,03,08,09,040,14,2,2,1,18,3,1,1,,0396,2,1,563,0,10,68,4,4,1,138,126,,,,0,
55WN00009,55,1,1810,0,69,408,1651,0,10,,1,3,74,134,1,7,06,1,88,09,05,10,08,032,16,2,3,2,21,3,1,1,,1209,2,1,569,0,10,68,4,1,1,138,118,,3,10,0,
55WN00010,55,1,1811,0,69,718,1797,0,10,,5,6,72,132,1,4,07,1,90,09,04,08,07,033,14,2,2,1,20,4,5,2,,7473,3,1,600,0,10,68,4,3,1,149,108,,,,0,
55WN00011,55,2,1812,0,69,718,1797,0,10,,5,6,72,132,1,3,06,1,69,08,03,10,11,030,18,2,3,2,27,4,5,2,1,7473,3,1,447,0,10,68,4,,1,150,100,,,,0,
55WN00012,55,2,1813,0,69,368,1661,0,10,,1,3,72,132,1,2,08,1,81,09,03,06,06,031,16,2,2,1,23,3,1,1,,0939,2,1,538,0,10,68,4,,1,138,100,,2,17,0,
55WN00013,55,1,1814,0,69,268,1647,0,10,,5,4,72,132,1,7,09,1,71,11,03,09,10,026,14,2,2,1,19,4,5,2,,1008,2,1,461,0,10,68,4,1,1,126,102,,3,10,0,
55WN00014,55,2,1815,0,69,268,1647,0,10,,5,4,72,132,1,2,07,1,79,09,03,08,07,030,14,2,2,1,21,4,5,2,,1008,2,1,526,0,10,68,4,,1,144,96,,2,51,0,
55WN00015,55,2,1816,0,69,498,1679,0,10,,1,3,72,132,1,2,06,1,85,11,03,08,07,033,15,2,2,1,20,3,1,1,1,1037,2,1,555,0,10,68,4,,1,136,118,,,,0,
55WN00016,55,2,1817,0,69,738,1702,0,10,,1,3,72,132,1,3,07,1,82,11,03,07,08,035,14,2,3,2,18,3,1,1,1,7019,3,1,526,0,10,68,4,,1,137,126,,,,0,
55WN00017,55,1,1818,0,69,258,1653,0,10,,1,3,71,131,1,7,06,1,100,14,03,06,06,036,15,2,2,1,21,3,1,1,,5055,1,1,672,0,10,68,4,5,1,130,120,,3,10,0,
55WN00018,55,1,1819,0,69,468,1646,0,10,,1,4,71,131,1,7,08,1,99,10,05,06,09,035,15,2,2,1,25,4,1,1,,0693,2,1,655,0,10,68,4,5,1,149,132,,,,0,
55WN00019,55,2,1820,0,69,268,1706,0,10,,1,3,71,131,1,3,08,1,84,07,03,09,06,028,14,2,2,1,20,3,1,1,,1008,2,1,545,0,10,68,4,,1,149,126,,2,40,0,
55WN00020,55,2,1821,0,69,268,1707,0,10,,5,3,71,131,1,1,06,1,65,10,03,09,10,031,12,2,2,1,26,3,5,2,1,1008,2,1,427,0,10,68,4,,1,135,90,,,,0,
55WN00021,55,2,1822,0,69,268,1707,0,10,,5,3,71,131,1,1,06,1,55,10,03,09,08,031,15,2,2,1,26,3,5,2,1,1008,2,1,350,0,10,68,4,,1,119,92,,,,0,
55WN00022,55,2,1826,0,69,368,1672,0,10,,5,3,71,131,1,2,07,1,72,11,03,08,09,037,14,2,2,1,19,3,5,2,,0939,2,1,464,0,10,68,4,,1,138,112,,2,17,0,
55WN00023,55,2,1827,0,69,368,1672,0,10,,5,3,71,131,1,4,08,1,70,10,03,08,07,039,14,2,2,1,18,3,5,2,1,0939,2,1,464,0,10,68,4,,1,137,92,,,,0,
55WN00024,55,2,1828,0,69,458,1692,0,10,,1,3,71,131,1,2,08,1,78,10,03,08,07,036,15,2,2,1,21,3,1,1,1,1828,1,1,516,0,10,68,4,,1,136,104,,,,0,
55WN00025,55,2,1829,0,69,498,1682,0,10,,1,3,70,130,1,3,06,1,82,11,03,06,07,035,17,2,3,2,21,3,1,1,2,1037,2,1,557,0,10,68,4,,1,135,96,,,,0,
55WN00026,55,1,1830,0,69,369,1697,0,10,,1,3,70,130,1,7,06,1,104,12,03,06,05,035,16,2,2,1,24,3,1,1,,1348,2,1,697,0,10,68,4,4,1,141,134,,6,,0,
55WN00027,55,1,1831,0,69,369,1662,0,10,,1,3,70,130,1,7,06,1,95,10,03,07,09,031,16,2,2,1,25,3,1,1,,1348,2,1,629,0,10,68,4,3,1,150,132,,3,10,0,
55WN00028,55,1,1832,0,69,498,1648,0,10,,1,4,70,130,1,7,06,1,85,12,04,07,07,033,16,2,2,1,24,4,1,1,,1037,2,1,563,0,10,68,4,3,1,123,118,,3,10,0,
55WN00029,55,1,1833,0,69,458,1673,0,10,,1,3,70,130,1,7,06,1,99,12,04,07,04,041,10,2,2,1,24,3,1,1,,1828,1,1,671,0,10,68,4,4,1,134,118,,3,10,0,
55WN00030,55,2,1835,0,69,728,1683,0,10,,3,3,69,129,1,3,05,1,93,09,04,06,05,037,15,2,2,1,21,3,3,3,1,7231,3,1,631,0,10,68,4,,1,152,116,,,,0,
55WN00031,55,1,1837,0,69,328,1642,0,10,,1,5,69,129,1,4,06,1,97,11,03,06,09,036,14,2,3,2,18,4,1,1,,7491,1,1,654,0,10,68,4,4,1,151,126,,,,0,
55WN00032,55,1,1838,0,69,359,1794,0,10,,1,2,68,128,1,7,07,1,84,12,04,09,08,035,12,2,2,1,25,2,1,1,,0781,2,1,564,0,10,68,4,2,1,132,118,,3,10,0,
55WN00033,55,1,1839,0,69,359,1687,0,10,,1,3,68,128,1,7,06,6,89,12,04,08,07,031,16,2,2,1,24,3,1,1,,0781,2,1,594,0,10,68,4,5,1,126,130,,6,,0,
55WN00034,55,1,1841,0,69,368,1795,0,10,,3,6,67,127,1,7,05,1,83,13,05,08,08,028,15,1,2,2,19,4,3,3,,0939,2,1,565,0,10,68,4,3,1,116,112,,3,10,0,
55WN00035,55,1,1842,0,69,398,1694,0,10,,1,3,67,127,1,7,06,1,94,15,06,07,06,034,15,2,2,1,19,3,1,1,,0396,2,1,649,0,10,68,4,3,1,109,116,,3,10,0,
55WN00036,55,1,1843,0,69,458,1658,0,10,,1,3,67,127,1,7,09,1,98,09,03,07,07,038,11,2,2,1,23,3,1,1,,1828,1,1,663,0,10,68,4,2,1,159,138,,6,,0,
55WN00037,55,2,1844,0,69,718,1663,0,10,,1,3,67,127,1,1,08,1,79,09,03,09,07,033,12,2,2,1,19,3,1,1,2,7473,3,1,526,0,10,68,4,,1,142,122,,,,0,
55WN00038,55,2,1845,0,69,369,1799,0,10,,3,6,67,127,1,2,09,1,76,12,04,09,08,031,16,2,2,1,23,4,3,3,,1348,2,1,524,0,10,68,4,,1,125,94,,2,17,0,
55WN00039,55,1,1846,0,69,369,1799,0,10,,4,6,67,127,1,7,06,1,88,08,03,09,11,030,14,2,2,1,28,4,3,3,,1348,2,1,598,0,10,68,4,1,1,163,120,,3,55,0,
55WN00040,55,1,1849,0,69,728,1624,0,10,,5,9,65,125,1,7,05,1,79,09,03,09,09,033,16,2,2,1,24,5,5,2,,7231,3,1,542,0,10,68,4,2,1,150,112,,3,10,0,
55WN00041,55,1,1850,0,69,728,1624,0,10,,5,9,65,125,1,7,08,1,76,09,04,08,09,031,15,1,2,2,18,5,5,2,,7231,3,1,531,0,10,68,4,1,1,142,96,,3,10,0,
55WN00042,55,1,1851,0,69,369,1675,0,10,,1,3,65,125,1,7,07,1,78,10,03,06,06,034,16,2,3,2,23,3,1,1,,1348,2,1,518,0,10,68,4,3,1,130,132,,,,0,
55WN00043,55,2,1852,0,69,368,1696,0,10,,1,3,65,125,1,4,07,1,87,10,03,05,08,031,16,1,1,1,23,3,1,1,1,0939,2,1,595,0,10,68,4,,1,147,126,,,,0,
55WN00044,55,2,1853,0,69,469,1632,0,10,,1,8,65,125,1,4,06,1,80,11,06,07,06,032,14,2,2,1,23,5,1,1,,1323,2,1,555,0,10,68,4,,1,120,106,,2,17,0,
55WN00045,55,2,1854,0,69,408,1649,0,10,,5,4,64,124,1,4,05,1,82,08,03,09,09,036,15,2,2,1,20,4,5,2,1,1209,2,1,566,0,10,68,4,,1,166,118,,,,0,
55WN00046,55,2,1855,0,69,408,1649,0,10,,5,4,64,124,1,3,07,1,73,09,03,12,09,027,16,2,2,1,23,4,5,2,,1209,2,1,492,0,10,68,4,,1,146,120,,6,,0,
55WN00047,55,2,1857,0,69,409,1699,0,10,,3,3,64,124,1,4,07,1,83,10,03,06,05,034,14,2,3,2,20,3,3,3,1,0935,2,1,595,0,10,68,4,,1,141,92,,,,0,
55WN00048,55,1,1858,0,69,268,1689,0,10,,3,3,64,124,1,7,07,1,92,09,04,09,08,033,14,2,2,1,25,3,3,3,,1008,2,1,661,0,10,68,4,3,1,153,100,,3,10,0,
