UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4953,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM_25,TBRE,CTBR,C79,C80
58WN00001,58,2,2076,0,00,325,0536,2,14,,5,6,99,159,1,1,05,2,72,08,04,09,07,037,16,2,2,1,,,,,405,33,10,51,0,0,1,117,76,,2,4,5,2,0,-
58WN00002,58,2,2077,0,00,325,0536,2,14,,5,6,99,159,1,1,05,1,61,09,03,10,09,036,14,1,2,2,,,,,343,28,10,51,0,0,1,109,64,,2,4,5,2,0,-
58WN00003,58,2,2079,0,00,805,7712,3,17,,3,4,99,159,1,1,08,1,62,11,04,09,10,048,14,2,4,3,,,,,351,28,10,72,0,8,1,100,62,,2,4,3,3,0,-
58WN00004,58,1,2082,0,00,660,7372,3,17,,1,5,99,159,1,6,05,2,83,12,04,09,08,038,16,2,2,1,,,,,464,38,10,62,0,8,1,99,92,,3,4,1,1,0,-
58WN00005,58,2,2084,0,00,490,1284,2,14,,1,5,99,159,1,1,04,1,86,10,03,07,06,046,13,2,2,1,,,,,464,39,10,49,0,1,1,120,122,,2,4,1,1,0,-
58WN00006,58,2,2085,0,00,220,1203,2,14,,5,5,99,159,1,6,11,2,86,10,03,09,09, 45,16,1,2,2,,,,,488,39,10,22,0,2,7,134,84,,,4,5,2,0,-
58WN00007,58,1,2086,0,00,220,1203,2,14,,5,5,99,159,1,7,10,2,115,10,03,08,09, 40,14,2,2,1,,,,,664,53,10,22,0,3,7,155,94,,3,4,5,2,0,-
58WN00008,58,2,2087,0,00,835,7005,3,17,,5,6,99,159,1,3,05,2,100,09,05,06,07,047,13,2,2,1,,,,,560,47,10,71,0,1,1,141,110,,2,4,5,2,0,-
58WN00009,58,2,2088,0,00,835,7005,3,17,,5,6,99,159,1,1,09,1,83,11,04,10,08,045,14,2,3,2,,,,,459,38,10,71,0,6,1,124,100,,2,4,5,2,0,-
58WN00010,58,1,2089,0,00,720,8245,3,17,,1,3,99,159,1,6,06,1,94,10,03,07,09,039,11,2,3,2,,,,,523,44,10,70,0,0,1,123,108,,3,3,1,1,0,-
58WN00011,58,1,2091,0,00,710,8309,3,17,,3,3,99,159,1,4,08,2,98,09,03,09,09, 45,16,2,2,1,,,,,555,44,10,70,0,6,7,140,98,,6,3,3,3,0,-
58WN00012,58,2,2092,0,00,620,7519,3,17,,3,5,99,159,1,1,06,1,94,09,03,06,07,041,14,2,2,1,,,,,530,44,10,62,0,8,1,144,98,,,4,3,3,0,-
58WN00013,58,1,2093,0,00,620,7519,3,17,,3,5,99,159,1,6,10,3,91,12,03,08,09, 48,11,2,2,1,,,,,512,41,10,62,0,3,7,120,96,,3,4,3,3,0,-
58WN00014,58,2,2094,0,00,620,7758,3,17,,5,4,99,159,2,3,10,1,72,10,03,10,09,038,12,3,3,1,,,,,394,33,10,62,0,3,1,120,94,,,4,5,2,0,-
58WN00015,58,2,2095,0,00,620,7758,3,17,,5,4,99,159,1,3,05,2,73,09,03,09,10,041,13,2,3,2,,,,,406,34,10,62,0,4,1,130,84,,,4,5,2,0,-
58WN00016,58,1,2096,0,00,909,7869,3,17,,3,4,99,159,1,7,09,2,103,10,03,09,08, 44,18,1,2,2,,,,,586,47,10,71,0,6,7,137,98,,3,4,3,3,0,-
58WN00017,58,1,2098,0,00,720,7487,3,17,,3,5,99,159,1,7,07,2,82,12,04,10,10, 50,12,2,3,2,,,,,452,36,10,70,0,6,7,30,102,,3,4,3,3,0,-
58WN00018,58,1,2099,0,00,720,7487,3,17,,3,5,99,159,2,7,05,1,82,14,03,07,10,051,14,2,2,1,,,,,453,38,10,70,0,5,1,110,100,6,3,4,3,3,0,-
58WN00019,58,1,2102,0,00,519,1868,0,10,,1,3,99,159,1,7,10,1,81,12,03,11,12, 40,18,1,2,2,,,,,430,35,10,69,0,1,7,111,126,,3,3,1,1,0,-
58WN00020,58,1,2103,0,00,591,1766,0,10,,3,4,99,159,1,5,11,2,95,12,03,09,09, 42,11,2,2,1,,,,,536,43,10,69,0,7,7,121,98,,3,4,3,3,0,-
58WN00021,58,1,2104,0,00,591,1766,0,10,,3,4,99,159,1,4,06,1,80,11,03,09,09,040,16,2,3,2,,,,,447,38,10,69,0,2,1,109,90,,3,4,3,3,0,-
58WN00022,58,2,2105,0,00,321,3816,1,11,,1,5,99,159,2,1,09,2,91,10,03,07,09,046,9,2,3,2,,,,,519,44,10,32,0,6,1,135,84,,,4,1,1,0,-
58WN00023,58,2,2106,0,00,200,3575,1,11,,3,7,99,159,1,3,05,1,76,10,04,07,09,037,16,2,2,1,,,,,433,37,10,20,0,2,1,113,72,,,5,3,3,0,-
58WN00024,58,2,2107,0,00,580,7403,3,17,,5,5,99,159,1,1,06,2,79,10,03,09,09,040,14,2,2,1,,,,,428,37,10,62,0,0,1,129,110,,,4,5,2,0,-
58WN00025,58,2,2108,0,00,580,7403,3,17,,5,5,99,159,1,1,08,2,82,09,03,08,09,037,14,2,2,1,,,,,464,40,10,62,0,1,1,135,82,,,4,5,2,0,-
58WN00026,58,1,2110,0,00,240,3694,1,11,,5,6,99,159,1,5,04,2,95,10,05,08,09,038,12,2,3,2,,,,,533,46,10,24,0,3,1,133,102,,3,4,5,2,0,-
58WN00027,58,2,2111,0,00,240,3694,1,11,,5,6,99,159,1,1,06,1,74,09,05,10,08,033,18,2,2,1,,,,,419,36,10,24,0,4,1,115,74,,,4,5,2,0,-
58WN00028,58,1,2112,0,00,320,3719,1,11,,1,6,99,159,1,1,10,2,119,09,03,09,09, 46,18,1,2,2,,,,,664,55,10,32,0,0,7,161,134,,3,4,1,1,0,-
58WN00029,58,2,2113,0,00,730,7833,3,17,,1,4,99,159,1,3,05,2,82,11,04,08,06,046,14,2,3,2,,,,,447,39,10,70,0,0,1,111,110,,,4,1,1,0,-
58WN00030,58,2,2114,0,00,490,2194,2,14,,1,4,99,159,1,3,04,1,73,10,04,10,08,039,16,2,2,1,,,,,389,34,10,49,0,0,1,107,112,,,4,1,1,0,-
58WN00031,58,1,2115,0,00,475,1781,2,14,,3,4,99,159,1,5,06,1,70,10,04,06,08,039,12,2,3,2,,,,,381,33,10,46,0,3,1,102,94,,3,4,3,3,0,-
58WN00032,58,2,2116,0,00,,6993,4,40,,1,6,89,149,1,4,09,2,71,13,04,09,08,044,14,2,3,2,,,,,411,41,10,05,0,1,1,109,98,,2,4,1,1,0,
58WN00033,58,2,2117,0,69,581,1781,0,10,,4,4,83,143,1,4,06,1,71,10,04,10,09,041,14,2,2,1,,4645,1,,435,43,10,69,5,5,1,129,88,,,4,3,3,0,
58WN00034,58,1,2118,0,69,581,1781,0,10,,3,4,83,143,1,7,07,1,88,11,04,08,08,037,14,2,2,1,,4645,1,,550,55,10,69,5,0,1,131,94,1,3,4,3,3,0,
58WN00035,58,1,2119,0,69,691,1758,0,10,,5,4,83,143,1,5,09,1,81,09,04,11,09,034,18,2,2,1,,3248,2,,492,49,10,69,5,2,1,142,106,,3,4,5,2,0,
58WN00036,58,2,2120,0,69,691,1758,0,10,,5,4,83,143,1,2,09,1,72,11,04,10,08,036,18,2,2,1,,3248,2,,441,44,10,69,5,1,1,126,90,,2,4,5,2,0,
58WN00037,58,2,2121,0,69,641,1816,0,10,,1,3,81,141,1,1,05,2,91,08,04,08,07,040,16,2,2,1,,3387,2,,559,55,10,69,5,9,1,150,122,,,3,1,1,0,
58WN00038,58,2,2123,0,69,621,1769,0,10,,3,4,80,140,1,1,08,1,81,10,03,09,08,039,14,2,2,1,,4799,1,,509,50,10,69,5,9,1,139,98,,,4,3,3,0,
58WN00039,58,2,2124,0,69,611,1687,0,10,,4,6,80,140,1,4,07,2,87,09,03,07,07,040,14,2,2,1,,4585,1,,553,55,10,68,5,3,1,148,96,,,4,3,3,0,
58WN00040,58,1,2125,0,69,611,1687,0,10,,3,6,80,140,1,7,09,2,104,08,04,07,07,037,14,2,2,1,,4585,1,,679,67,10,68,5,9,1,160,90,,,4,3,3,0,
58WN00041,58,1,2126,0,69,399,1949,0,10,,1,2,80,140,1,7,05,1,90,10,04,07,09,043,12,2,2,1,,0396,2,,561,56,10,69,4,1,1,148,114,,,2,1,1,0,
