UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TRT,BAND
63WN00001,63,3,2621,0,00,000,3497,6,61,,1,4,99,159,1,1,,3,89,10,03,06,08,089,1,7,9,3,,1,10,,,503,50,,71,0,3,3,123,90,,3,4,1,1,,1
63WN00002,63,3,2622,0,00,000,9738,8,80,,1,4,94,154,1,1,,1,98,08,04,06,07,049,35,2,2,1,,0,10,, 4,571,57,,61,0,1,3,119,100,,4,4,1,1,,1
63WN00003,63,3,2623,0,00,000,9740,8,80,,1,4,94,154,1,1,,2,107,08,03,07,06,069,23,5,5,1,,0,10,,,617,61,,61,0,7,3,134,120,,5,4,1,1,,1
63WN00004,63,2,2624,0,00,000,5247,4,41,,1,3,74,134,1,1,,1,105,05,03,05,07,078,40,5,6,2,,1,10,,,687,68,31,01,0,7,,206,130,,4,3,1,1,,1
63WN00005,63,2,2625,0,00,000,0000,,,,2,2,72,132,1,1,,2,64,07,03,08,09,053,12,3,4,2,,,10,,,430,43,,,0,0,3,109,72,,5,2,1,1,,1
63WN00006,63,3,2626,0,00,000,5999,1,14,,5,2,69,129,1,1,,2,54,13,04,11,10,036,15,2,2,1,,4,10,,,347,34,00,41,0,7,3,105,92,,5,2,5,2,,1
63WN00007,63,2,2627,0,00,000,5999,1,14,,5,2,69,129,1,1,,1,73,09,03,10,08,043,8,2,2,1,,4,10,,,501,50,00,41,0,1,,148,84,,4,2,5,2,,1
63WN00008,63,1,5881,1,82,215,5132,1,11,,5,5,75,135,1,7,,1,67,12,03,09,09,054,40,2,2,1,,1,11,5629,11,421,42,43,34,7,1,3,144,102,,4,4,5,2,,1
63WN00009,63,2,5882,1,82,215,5132,1,11,,5,5,75,135,1,3,,1,61,09,03,09,09,042,4,2,2,1,,1,11,5629,11,387,38,43,34,7,7,,141,88,,4,4,5,2,,1
63WN00010,63,1,5883,1,82,344,5616,1,11,,1,2,75,135,1,7,,1,60,15,03,10,11,054,36,2,2,1,,1,11,5648,11,385,38,35,21,7,5,3,120,80,,4,2,1,1,,1
63WN00011,63,1,5884,1,19,191,5640,1,11,40,1,2,74,134,1,7,,1,82,12,07,10,08,038,29,1,2,2,,1,11,5601,11,531,53,39,19,1,1,,161,108,,4,2,1,1,,1
63WN00012,63,1,5886,1,82,195,5633,1,11,,1,2,73,133,1,7,,1,87,12,04,08,07,050,9,2,3,2,,1,11,5601,11,579,57,39,27,7,9,,141,100,,4,2,1,1,,1
63WN00013,63,1,5887,1,82,214,5181,1,11,,5,5,72,132,1,2,,1,75,09,03,09,09,043,36,2,2,1,,1,11,5686,11,483,48,44,34,7,3,,160,112,,4,4,5,2,,1
63WN00014,63,1,5888,1,82,214,5181,1,11,,5,5,72,132,1,7,,2,68,09,03,09,09,048,18,2,2,1,,1,11,5686,11,431,43,44,34,7,1,3,154,111,,5,4,5,2,,1
63WN00015,63,1,5889,1,82,274,5649,1,11,,1,2,72,132,1,7,,1,89,11,03,07,07,051,29,2,2,1,,1,11,5678,11,583,58,42,19,7,3,,158,120,,4,2,1,1,,1
63WN00016,63,2,5890,1,82,205,5548,1,11,,1,3,72,132,1,3,,1,75,09,04,08,07,052,33,2,2,1,,1,11,5700,11,503,50,30,24,7,3,,149,86,,4,3,1,1,,1
63WN00017,63,1,5892,1,82,345,4471,1,11,,3,8,71,131,1,6,,2,84,12,03,08,07,042,13,2,2,1,,1,11,5675,11,562,56,36,21,7,2,3,141,104,,5,5,3,3,,1
63WN00018,63,2,5893,1,82,194,5287,1,11,,1,4,71,131,1,4,,1,83,09,04,07,07,048,35,2,2,1,,1,11,5652,11,545,54,30,27,7,5,,151,116,,4,4,1,1,,1
63WN00019,63,2,5895,1,21,211,5376,1,11,33,3,4,72,132,1,3,,1,80,14,03,08,06,048,1,2,2,1,,1,11,5629,11,542,54,29,21,1,2,,138,84,,4,4,3,3,,2
63WN00020,63,1,5896,1,82,194,5639,1,11,,1,2,71,131,1,7,,1,73,09,04,09,08,046,6,2,2,1,,1,11,5652,11,500,50,37,27,7,0,,147,75,,4,2,1,1,,2
63WN00021,63,2,5898,1,21,210,4335,1,11,33,1,9,70,130,1,1,,1,77,15,03,08,07,049,24,2,2,1,,1,11,5686,11,508,50,25,21,1,8,,136,109,,4,5,1,1,,2
63WN00022,63,2,5900,1,82,245,5397,1,11,,1,4,69,129,1,3,,1,81,10,04,08,07,050,14,2,2,1,,1,11,5641,11,544,54,31,20,7,4,,147,108,,4,4,1,1,,2
63WN00023,63,1,5901,1,24,241,5674,1,11,32,1,2,69,129,1,4,,2,86,11,09,09,08,036,27,2,2,1,,1,11,5641,11,584,58,27,24,1,4,6,138,106,,5,2,1,1,,2
63WN00024,63,1,5902,1,27,270,4800,1,11,35,5,7,69,129,1,7,,1,78,11,03,09,09,038,9,2,2,1,,1,11,5678,11,529,52,30,27,1,9,,163,98,,4,5,5,2,,2
63WN00025,63,1,5903,1,27,270,4800,1,11,35,5,7,69,129,1,7,,1,64,13,03,10,11,033,9,1,2,2,,1,11,5678,11,419,41,30,27,1,9,,141,100,,4,5,5,2,,2
63WN00026,63,1,5904,1,82,235,5613,1,11,,1,2,69,129,1,7,,2,72,14,04,10,10,040,14,3,3,1,,1,11,5628,11,478,47,24,32,7,8,3,121,103,,5,2,1,1,,2
63WN00027,63,2,5905,1,82,325,4914,1,11,,5,6,68,128,1,1,,2,65,11,03,10,09,042,27,2,2,1,,1,11,5661,11,426,42,20,23,7,6,,139,105,,5,4,5,2,,2
63WN00028,63,2,5906,1,82,325,4914,1,11,,5,6,68,128,1,1,,1,76,09,03,08,09,046,10,2,2,1,,1,11,5661,11,512,51,20,23,7,2,,160,105,,4,4,5,2,,2
63WN00029,63,1,5907,1,20,201,5726,1,11,41,1,2,68,128,1,7,,1,68,14,03,10,09,049,22,2,2,1,,1,11,5700,11,470,47,37,20,1,0,,144,78,,4,2,1,1,,2
63WN00030,63,1,5908,1,20,201,5434,1,11,38,1,3,68,128,1,7,,1,85,11,04,09,08,046,9,2,2,1,,1,11,5700,11,590,59,27,20,1,0,,160,95,,4,3,1,1,,2
63WN00031,63,2,5909,1,34,340,4383,1,11,54,1,8,68,128,1,3,,1,59,14,03,09,09,047,16,2,2,1,,1,11,5648,11,381,38,38,34,1,1,,138,102,,4,5,1,1,,2
63WN00032,63,2,5910,1,21,211,4895,1,11,35,1,6,68,128,1,3,,1,74,15,03,08,08,050,11,2,2,1,,1,11,5629,11,495,49,39,21,1,5,,136,106,,4,4,1,1,,2
63WN00033,63,2,5911,1,82,205,4340,1,11,,3,9,67,127,1,1,,1,71,11,03,08,08,052,6,2,2,1,,1,11,5700,11,488,48,22,24,7,8,,145,90,,4,5,3,3,,2
63WN00034,63,1,5912,1,21,210,4986,1,11,39,1,6,67,127,1,5,,1,78,13,03,09,09,047,16,2,2,1,,1,11,5686,11,520,52,34,21,1,0,,150,119,,4,4,1,1,,2
63WN00035,63,2,5913,1,82,274,4887,1,11,,1,6,67,127,1,3,,1,79,10,03,09,06,050,10,2,3,2,,1,11,5678,11,539,53,35,19,7,9,,148,106,,4,4,1,1,,2
63WN00036,63,1,5914,1,82,275,5418,1,11,,5,3,66,126,1,7,,1,63,13,03,10,09,039,16,2,2,1,,1,11,5677,11,439,43,42,19,7,9,,132,77,,4,3,5,2,,2
63WN00037,63,1,5915,1,82,275,5418,1,11,,5,3,66,126,1,7,,1,76,14,07,09,08,037,22,2,2,1,,1,11,5677,11,536,53,42,19,7,6,,122,85,,4,3,5,2,,2
63WN00038,63,2,5916,1,82,195,4643,1,11,,5,7,66,126,1,3,,1,54,12,04,11,11,043,25,2,2,1,,1,11,5601,11,357,35,30,27,7,7,,133,90,,4,5,5,2,,2
63WN00039,63,2,5917,1,82,195,4643,1,11,,5,7,66,126,1,3,,1,53,11,03,12,10,040,4,2,2,1,,1,11,5601,11,349,34,30,27,7,9,,132,90,,4,5,5,2,,2
63WN00040,63,2,5918,1,82,275,4713,1,11,,5,7,66,126,1,1,,1,70,10,03,09,09,040,21,2,2,1,,1,11,5677,11,454,45,26,19,7,4,,153,128,,4,5,5,2,,2
63WN00041,63,1,5919,1,82,275,4713,1,11,,5,7,66,126,1,1,,1,79,10,03,08,10,053,13,3,3,1,,1,11,5677,11,535,53,26,19,7,5,,170,116,,4,5,5,2,,2
63WN00042,63,2,5920,1,32,321,5695,1,11,38,1,2,65,125,1,1,,2,56,14,03,11,11,041,22,2,2,1,,1,11,5661,11,386,38,32,32,1,6,,133,78,,5,2,1,1,,2
63WN00043,63,2,5921,1,82,214,5514,1,11,,1,3,65,125,1,1,,2,85,09,03,06,06,048,3,2,2,1,,1,11,5686,11,594,59,45,34,7,4,,163,107,,5,3,1,1,,2
63WN00044,63,2,5923,1,82,235,4967,1,11,,3,6,65,125,1,3,,1,77,09,03,09,08,048,27,2,2,1,,1,11,5628,11,534,53,23,32,7,4,,160,102,,4,4,3,3,,2
63WN00045,63,1,5924,1,82,195,5247,1,11,,5,4,63,123,1,7,,2,64,11,03,09,10,042,14,2,2,1,,1,11,5601,11,431,43,29,27,7,1,,142,110,,5,4,5,2,,2
63WN00046,63,2,5925,1,82,195,5247,1,11,,5,4,63,123,1,3,,2,60,09,03,09,11,039,9,2,2,1,,1,11,5601,11,417,41,29,27,7,7,,149,87,,5,4,5,2,,2
63WN00047,63,1,5926,1,82,204,5580,1,11,,1,3,63,123,1,4,,1,95,11,04,08,08,041,11,2,2,1,,1,11,5699,11,678,67,27,24,7,8,,155,116,,4,3,1,1,,2
63WN00048,63,1,5927,1,32,321,5497,1,11,25,1,3,63,123,1,2,,4,66,10,03,10,08,039,27,1,2,2,,1,11,5661,11,455,45,22,32,1,5,,144,100,,6,3,1,1,,2
63WN00049,63,1,5929,1,23,230,5300,1,11,16,5,4,62,122,1,7,,2,79,15,03,12,10,033,16,2,2,1,,1,11,5669,11,556,55,00,23,1,6,,129,112,,5,4,5,2,,2
63WN00050,63,1,5930,1,23,230,5300,1,11,16,5,4,62,122,1,4,,1,69,15,03,10,09,034,11,2,2,1,,1,11,5669,11,471,47,00,23,1,1,,116,115,,4,4,5,2,,2
63WN00051,63,1,5931,1,82,274,5483,1,11,,1,3,62,122,1,5,,2,92,11,05,07,07,043,27,2,2,1,,1,11,5678,11,649,64,26,19,7,9,,150,128,,5,3,1,1,,2
