UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TM2,BAND
64WN00001,64,2,2631,0,00,000,5382,6,61,,1,2,68,128,1,5,,1,90,10,07,06,06,053,7,2,3,2,5,1,10,,,618,61,,72,0,8,3,132,109,,4,2,1,1,0,1
64WN00002,64,1,5977,1,32,320,5619,1,11,26,5,3,64,124,1,1,,2,63,09,04,10,12,035,15,2,2,1,5,1,11,5785,11,440,44,25,32,1,0,6,137,84,,5,3,5,2,1,1
64WN00003,64,1,5978,1,32,320,5619,1,11,26,5,3,64,124,1,5,,1,68,09,04,10,10,028,28,1,2,2,5,1,11,5785,11,479,47,25,32,1,9,,133,86,,4,3,5,2,1,1
64WN00004,64,2,5979,1,24,240,5674,1,11,31,1,3,63,123,1,1,,2,86,08,05,08,07,041,26,2,2,1,1,1,11,5771,11,605,60,27,24,1,5,,142,116,,5,3,1,1,1,1
64WN00005,64,2,5980,1,21,210,5617,1,11,52,1,3,62,122,1,1,,1,73,09,04,09,09,048,36,2,2,1,1,1,11,5229,11,480,48,40,21,1,0,,147,144,,4,3,1,1,1,1
64WN00006,64,1,5981,1,20,200,4886,1,11,27,3,7,61,121,1,7,,2,75,09,04,08,09,039,17,2,2,1,3,1,11,5699,11,532,53,32,20,1,2,,143,106,,5,5,3,3,1,1
64WN00007,64,2,5983,1,24,240,5335,1,11,27,5,5,60,120,1,2,,1,76,11,04,07,07,046,16,3,6,4,5,1,11,5771,11,545,54,21,24,1,5,2,135,106,2,4,4,5,2,1,1
64WN00008,64,1,5984,1,24,240,5335,1,11,27,5,5,60,120,1,5,,1,82,12,05,09,10,031,5,2,2,1,5,1,11,5771,11,575,57,21,24,1,5,3,154,130,,4,4,5,2,1,1
64WN00009,64,1,5986,1,34,340,5514,1,11,44,3,4,60,120,1,7,,1,72,14,04,10,10,031,9,2,2,1,3,1,11,5780,11,515,51,45,34,1,5,,114,102,,4,4,3,3,1,1
64WN00010,64,2,5987,1,24,240,5128,1,11,31,1,6,60,120,1,1,,1,83,12,09,08,07,035,30,2,2,1,1,1,11,5771,11,588,58,28,24,1,8,2,101,125,,4,4,1,1,1,1
64WN00011,64,2,5988,1,32,320,5741,1,11,35,5,2,60,120,9,1,,1,51,10,03,09,12,032,28,2,2,1,5,1,11,5785,11,354,35,22,32,1,4,3,134,85,,4,2,5,2,1,1
64WN00012,64,1,5989,1,32,320,5741,1,11,35,5,2,60,120,1,7,,2,62,12,04,10,11,025,13,1,2,2,5,1,11,5785,11,432,43,22,32,1,2,,123,102,,5,2,5,2,1,1
64WN00013,64,1,5990,1,23,230,5698,1,11,21,1,3,60,120,1,7,,1,78,15,06,10,10,028,1,2,2,1,1,1,11,5819,11,561,56,12,23,1,1,3,92,107,,4,3,1,1,1,1
64WN00014,64,2,5991,1,21,210,5186,1,11,40,1,6,60,120,1,1,,2,90,09,03,06,07,043,37,2,2,1,1,1,11,5229,11,640,64,31,21,1,0,,154,132,,5,4,1,1,1,1
64WN00015,64,2,5994,1,32,320,4967,1,11,27,5,7,59,119,1,1,,2,56,09,03,10,11,030,34,2,2,1,5,1,11,5785,11,392,39,23,32,1,2,,134,94,,5,5,5,2,1,1
