UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,C76,CADAM,TBRE,CTBR,CJAW,DISP
66WN00001,66,1,6239,1,82,194,6105,1,11,,1,2,62,122,1,6,29,2,85,09,03,08,06,037,25,2,2,1,,1,11,5965,11,628,62,29,24,7,8,2,151,84,,,2,1,1,5,3
66WN00002,66,1,6240,1,82,195,6150,1,11,,1,2,61,121,1,7,31,1,83,10,03,08,08,034,4,2,2,1,,1,11,5806,11,603,60,31,24,7,3,2,146,100,,,2,1,1,4,3
66WN00003,66,2,6241,1,23,230,5698,1,11,19,3,5,60,120,1,1,,1,62,12,03,11,09,029,1,2,2,1,,1,11,6021,11,438,43,12,23,1,8,2,111,94,,,4,3,3,4,
66WN00004,66,2,6243,1,82,244,5817,1,11,,1,4,59,119,1,1,38,1,80,09,03,07,06,041,6,2,2,1,,1,11,6031,11,580,58,38,19,7,0,2,151,110,,,4,1,1,4,
66WN00005,66,2,6244,1,82,244,5524,1,11,,1,6,59,119,1,1,43,1,65,09,03,10,08,038,11,2,2,1,,1,11,6031,11,452,45,43,19,7,2,2,141,112,2,,4,1,1,4,
66WN00006,66,2,6245,1,82,204,5786,1,11,,1,4,59,119,1,3,27,1,82,10,03,08,06,042,17,2,2,1,,1,11,5981,11,582,58,27,32,7,2,2,146,128,1,,4,1,1,4,
66WN00007,66,2,6246,1,24,241,6024,1,11,12,1,2,58,118,1,1,,3,83,11,03,06,07,042,2,3,3,1,,1,11,6036,11,608,60,32,24,1,8,2,145,112,,,2,1,1,3,
66WN00008,66,2,6247,1,32,321,5243,1,11,12,1,7,57,117,1,1,,2,73,10,03,07,08,045,7,2,2,1,,1,11,6109,11,518,51,24,32,1,8,2,145,124,,,5,1,1,5,
66WN00009,66,1,6248,1,19,190,4713,1,11,37,1,0,57,117,1,7,,1,62,11,03,10,10,026,2,2,3,2,,1,11,5965,11,434,43,26,19,1,4,2,117,112,,,5,1,1,4,
66WN00010,66,1,6249,1,82,195,5634,1,11,,5,5,57,117,1,4,32,4,87,09,03,09,09,027,16,2,2,1,,1,11,5806,11,648,64,32,24,7,8,2,165,112,,,4,5,2,6,
66WN00011,66,1,6250,1,82,195,5634,1,11,,5,5,57,117,1,4,32,1,70,09,03,10,08,029,26,2,3,2,,1,11,5806,11,518,51,32,24,7,8,2,148,94,,,4,5,2,4,3
66WN00012,66,1,6251,1,20,200,5083,1,11,31,5,8,56,116,1,4,,1,36,11,03,12,13,026,4,2,2,1,,1,11,5981,11,236,23,26,20,1,6,2,112,86,,,5,5,2,4,
66WN00013,66,2,6252,1,20,200,5083,1,11,31,5,8,56,116,1,3,,1,47,09,03,11,11,032,4,2,2,1,,1,11,5981,11,331,33,26,20,1,1,2,135,86,,,5,5,2,4,
66WN00014,66,2,6253,1,82,324,4756,1,11,,5,0,56,116,1,1,21,1,62,08,03,08,09,034,7,2,2,1,,1,11,6042,11,453,45,21,20,7,3,2,153,94,,,5,5,2,4,
