UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
73WN00001,73116601,73,2,6601,1,24,240,6204,11,1,33,3,8,80,140,1,1,,1,70,09,04,10,07,037,4,2,2,1,,1,11,6524,11,440,44,27,24,1,0,6,129,84,,,5,3,
73WN00002,73116603,73,2,6603,1,24,240,6440,11,1,48,5,4,79,139,1,1,,1,77,09,03,07,07,051,5,3,3,1,,1,11,6524,11,473,47,37,24,1,3,6,137,112,,,4,2,
73WN00003,73116604,73,2,6604,1,24,240,6440,11,1,48,5,4,79,139,1,1,,1,85,08,03,07,07,055,3,3,3,1,,1,11,6524,11,521,52,37,24,1,1,6,153,126,,,4,2,
73WN00004,73116605,73,2,6605,1,35,350,9914,14,1,49,1,2,74,134,1,4,,1,78,09,03,08,08,043,3,2,3,2,,4,11,9877,14,509,50,42,35,1,9,7,137,98,,,2,1,
73WN00005,73116606,73,1,6606,1,35,350,7393,14,1,54,1,9,77,137,1,6,,2,76,09,04,11,10,043,4,2,2,1,,4,11,9877,14,450,45,33,35,1,0,6,132,144,,,5,1,
73WN00006,73116607,73,2,6607,1,35,350,9925,14,1,50,1,2,73,133,1,1,,2,63,09,03,10,09,036,13,2,2,1,,4,11,9877,14,409,40,48,35,1,9,7,120,86,,2,2,1,
73WN00007,73116608,73,2,6608,1,35,350,9350,14,1,45,1,5,72,132,1,1,,1,85,07,04,07,07,049,12,3,3,1,,4,11,9877,14,541,54,42,35,1,1,7,148,136,,,4,1,
73WN00008,73116609,73,2,6609,1,24,240,6460,11,1,42,1,3,76,136,1,1,,2,75,09,03,07,08,051,2,2,3,2,,1,11,6524,11,475,47,41,24,1,5,6,134,104,,,3,1,
73WN00009,73116610,73,1,6610,1,24,240,6474,11,1,42,1,3,74,134,1,2,,2,76,09,03,07,09,043,3,3,4,2,,1,11,6524,11,475,47,41,24,1,5,7,128,124,,3,3,1,
73WN00010,73116611,73,1,6611,1,24,240,6486,11,1,39,1,3,71,131,1,2,,1,93,09,03,08,09,042,13,2,3,2,,1,11,6524,11,631,63,33,24,1,1,7,147,104,,3,3,1,
73WN00011,73116612,73,2,6612,1,32,320,6122,11,1,47,1,9,71,131,1,1,,2,64,10,03,11,09,033,32,2,2,1,,1,11,6535,11,412,41,28,32,1,2,7,117,100,,,5,1,
73WN00012,73116613,73,2,6613,1,24,240,6510,11,1,35,1,2,73,133,1,1,,1,44,09,03,11,11,034,3,2,3,2,,1,11,6524,11,268,26,43,24,1,8,6,110,84,,2,2,1,
73WN00013,73116614,73,1,6614,1,35,350,9812,14,1,45,1,4,73,133,1,7,,1,91,08,09,11,09,040,4,2,2,1,,4,11,9877,14,579,57,42,35,1,9,6,125,140,,3,4,1,
73WN00014,73116615,73,2,6615,1,32,320,6414,11,1,33,1,4,68,128,1,1,,1,82,09,03,08,06,039,35,2,2,1,,1,11,6535,11,542,54,31,32,1,2,7,133,126,,,4,1,
