UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN
77WN00001,77190581,77,2,0581,19,1,13,133,7847,,7,4,72,132,1,1,,2,84,05,03,09,08,030,8,2,3,153,9,18,9685,18,552,787,6,1,152,112,,4,3,
77WN00002,77190582,77,2,0582,19,1,13,133,7847,,7,4,69,129,1,1,,1,46,07,03,12,11,038,2,4,5,153,9,18,9685,18,309,787,6,4,130,62,92,4,3,
77WN00003,77190583,77,2,0583,19,1,11,111,8415,,1,3,72,132,1,1,,3,81,09,03,09,07,045,31,2,3,144,9,18,9990,18,533,969,6,1,138,106,,3,1,
77WN00004,77190584,77,1,0584,19,1,10,102,8555,176,1,3,72,132,1,4,,1,82,06,03,10,08,041,32,3,5,127,9,18,9274,18,546,697,2,1,152,99,93,3,1,
77WN00005,77190585,77,1,0585,19,1,11,111,7449,70,5,4,72,132,1,2,,1,50,07,03,10,09,033,8,2,3,153,9,18,9990,18,311,861,6,1,119,90,93,4,2,
77WN00006,77190586,77,2,0586,19,1,11,111,7449,,5,4,72,132,1,1,,2,80,10,03,10,08,042,29,2,3,153,9,18,9990,18,537,861,6,1,140,91,,4,2,
77WN00007,77190587,77,1,0587,19,1,11,112,9487,233,1,2,72,132,1,2,,2,91,12,03,10,09,032,2,2,4,136,9,18,9894,18,605,797,6,1,129,112,93,2,1,
77WN00008,77190588,77,1,0588,19,1,11,114,7450,185,5,4,72,132,1,4,,2,77,08,03,09,09,034,14,2,4,138,9,18,9874,18,491,774,6,1,141,122,93,4,2,
77WN00009,77190589,77,1,0589,19,1,11,114,7450,208,5,4,72,132,1,2,,2,77,10,03,11,08,043,29,5,6,138,9,18,9874,18,505,774,6,1,136,103,93,4,2,
77WN00010,77190590,77,2,0590,19,1,11,111,6013,,5,6,72,132,3,1,,1,73,10,03,09,08,047,14,4,5,159,9,18,9990,18,478,843,6,1,136,99,,4,2,
77WN00011,77190591,77,1,0591,19,1,11,111,6013,231,5,6,72,132,1,2,,2,80,11,03,09,08,038,5,3,4,159,9,18,9990,18,515,843,6,1,129,120,,4,2,
77WN00012,77190592,77,2,0592,19,1,12,950,4929,,5,7,72,132,1,1,,1,55,15,03,11,10,038,15,2,3,143,9,18,9359,18,349,826,3,1,96,89,,5,2,
77WN00013,77190593,77,2,0593,19,1,12,950,4929,,5,7,72,132,1,1,,2,62,08,03,10,09,039,10,5,6,143,9,18,9359,18,401,826,3,1,135,91,93,5,2,
77WN00014,77190594,77,1,0594,19,1,13,132,4353,174,5,7,72,132,1,2,,2,76,07,03,11,09,032,17,2,4,143,9,18,9754,18,504,977,6,1,147,95,93,5,2,
77WN00015,77190595,77,2,0595,19,1,13,132,4353,,5,7,72,132,1,1,,1,61,07,03,10,08,036,5,3,4,143,9,18,9754,18,403,977,6,1,134,78,,5,2,
77WN00016,77190596,77,1,0596,19,1,13,133,5225,221,5,6,71,131,1,2,,2,84,06,03,09,08,036,8,3,4,159,9,18,9685,18,550,1030,6,1,157,120,,4,2,
