UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,ADAM2,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN,TB,TR
79WN00001,79192115,79,2,2115,19,1,13,134,7665,,5,6,6,72,132,1,1,,1,51,08,03,11,10,032,18,1,3,177,9,18,1188,19,314,937,6,1,124,96,92,4,5,,2,2
79WN00002,79192116,79,1,2116,19,1,13,134,7665,244,5,6,6,72,132,1,2,,1,85,11,03,09,07,040,7,2,4,177,9,18,1188,19,564,937,6,1,142,105,93,4,5,02,2,2
79WN00003,79192117,79,2,2117,19,1,13,132,7847,,5,6,6,72,132,1,1,,1,66,08,03,10,09,041,8,2,4,177,9,18,1178,19,420,850,6,1,145,105,,4,6,,2,2
79WN00004,79192118,79,1,2118,19,1,13,132,7847,188,5,6,6,72,132,1,1,,4,80,07,03,10,09,027,17,2,3,177,9,18,1178,19,510,850,6,1,145,127,,4,4,,2,2
79WN00005,79192119,79,1,2119,19,1,11,113,9487,266,3,4,4,72,132,1,2,,2,98,08,03,09,07,037,2,2,4,148,9,18,0567,19,650,803,6,1,156,122,,4,2,,2,1
79WN00006,79192121,79,1,2121,19,1,12,890,0028,217,1,3,3,72,132,1,4,,1,88,11,08,09,06,040,19,2,3,144,9,19,0573,19,573,792,3,1,112,124,,3,1,,1,1
79WN00007,79192122,79,2,2122,19,1,11,112,5272,,1,8,8,72,132,1,1,,4,84,07,03,10,06,041,19,2,4,143,9,18,1172,19,545,764,6,1,148,120,,5,1,,1,1
79WN00008,79192123,79,2,2123,19,1,12,910,0563,,1,2,2,72,132,1,1,,1,76,10,03,09,07,036,4,2,5,154,9,19,0633,19,480,810,3,1,125,126,,2,1,,1,1
79WN00009,79192124,79,1,2124,19,1,12,810,8203,202,5,5,5,72,132,1,1,,2,95,10,09,10,07,028,4,1,3,144,9,18,0721,19,627,870,3,1,126,122,,4,5,,2,2
79WN00010,79192125,79,1,2125,19,1,12,810,8203,202,5,5,5,72,132,1,1,,1,99,10,08,09,07,032,5,2,4,144,9,18,0721,19,648,870,3,1,137,134,,4,5,,2,2
79WN00011,79192126,79,1,2126,19,1,10,104,6424,197,5,7,7,73,133,2,1,,1,67,06,03,11,09,038,4,2,3,155,9,18,0421,19,419,789,2,2,155,113,93,5,5,,2,2
79WN00012,79192127,79,2,2127,19,1,10,104,6424,,5,7,7,73,133,2,1,,1,68,07,03,10,09,041,13,4,5,155,9,18,0421,19,430,789,2,2,151,108,,5,5,,2,2
