UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
83WN00001, 83025009,83,02,5009,2,70,30,702,2,1,3,2, 50,5,4,1,81,146,14,74,90,566, 5, 3, 9, 6, 52,  0,5,7,1,1,1,159,186,1078,,,  0,,1713,02,7007,01,2,75,527,70,,96,95,
83WN00002, 83025011,83,02,5011,2,71,30,713,2,2,5,5, 20,2,2,1,81,146,26,74,84,525, 4, 3, 8, 6, 51,  0,6,8,1,1,1,160,193,1117,,,  0,,3128,02,1454,02,6,70,514,71,,92,93,
83WN00003, 83025012,83,02,5012,2,71,30,713,2,2,5,5, 20,2,2,1,81,146,27,73,86,539, 5, 3, 8, 6, 56,  0,6,7,2,1,1,160,193,1117,,,  0,,3128,02,1454,02,6,72,529,71,,89,91,
83WN00004, 83025014,83,02,5014,1,70,30,704,2,1,3,2, 40,4,4,1,81,146,7,79,96,603, 5, 3, 8, 7, 50,,4,6,2,1,2,156,182,1114,97,,  0,,1793,02,8748,01,2,80,491,70,7,0,0,
83WN00005, 83025015,83,02,5015,1,71,30,711,3,1,6,2, 40,4,4,9,83,141,30,70,46,277, 5, 3,11,10, 50,164,6,7,1,1,1,0,182,705,97,97,  0,,3076,02,8652,01,6,40,259,71,3,47,0,
83WN00006, 83025017,83,02,5017,1,71,30,712,3,1,6,2, 40,4,4,9,83,141,29,113,102,643, 6, 3, 6, 6, 42,243,5,7,3,1,4,0,220,1324,93,,  0,,3214,02,8662,01,6,88,622,71,3,97,0,
83WN00007, 83025018,83,02,5018,1,71,30,712,3,2,8,7, 40,4,4,1,83,144,5,67,98,634, 6, 3, 9, 7, 42,280,3,5,2,1,5,158,220,1324,93,,  0,,3214,02,8662,01,6,83,570,71,3,102,0,
83WN00008, 83025019,83,02,5019,1,71,30,712,3,2,8,3, 40,4,4,1,83,144,22,95,101,635, 5, 3,10, 6, 51,320,4,6,2,1,1,162,220,1324,,,  0,,3214,02,8662,01,6,86,536,71,1,117,0,
83WN00009, 83025020,83,02,5020,1,71,30,713,2,1,3,2, 20,2,2,1,83,144,1,81,108,694, 6, 3, 7, 7, 54,,6,7,2,1,2,170,210,1060,97,,  0,,3128,02,1578,02,6,91,596,71,7,0,0,
83WN00010, 83025021,83,02,5021,1,71,30,714,2,2,5,5, 30,3,3,1,83,144,1,90,98,618, 5, 3, 8, 6, 48,284,6,7,2,1,2,158,195,1276,,,  0,,3069,02,0444,02,6,83,526,71,,109,0,
83WN00011, 83025022,83,02,5022,1,71,30,714,2,2,5,5, 30,3,3,1,83,144,8,83,95,602, 4, 3, 8, 7, 51,283,5,7,2,1,1,166,195,1276,,,  0,,3069,02,0444,02,6,81,521,71,,102,0,
83WN00012, 83025023,83,02,5023,1,71,30,712,2,1,3,2, 20,2,2,1,83,144,6,90,91,569, 6, 4, 9, 7, 47,278,5,7,2,1,1,146,193,1034,93,,  0,,3214,02,1409,02,6,77,478,71,3,90,0,
83WN00013, 83025024,83,02,5024,1,71,30,712,2,1,4,2, 20,2,2,9,83,141,32,72,86,559, 5, 3, 8, 7, 48,279,6,7,1,1,2,0,193,1034,93,,  0,,3214,02,1409,02,6,74,555,71,3,89,0,
83WN00014, 83025025,83,02,5025,1,71,30,714,2,2,5,5, 40,4,4,1,84,143,12,89,87,546, 4, 3, 7, 7, 54,276,4,6,2,1,1,159,182,1068,93,,  0,,3069,02,8453,01,6,74,461,71,3,95,0,
83WN00015, 83025026,83,02,5026,2,71,30,714,2,2,5,5, 40,4,4,1,84,143,7,98,81,498, 5, 4,10, 7, 63,  0,6,7,2,1,1,153,182,1068,,,  0,,3069,02,8453,01,6,70,447,71,,86,88,
83WN00016, 83025027,83,02,5027,1,70,30,702,2,1,3,2, 20,2,2,1,84,143,23,84,103,662, 5, 3, 8, 6, 53,273,6,7,2,1,2,174,193,1064,93,,  0,,1713,02,1788,02,2,88,598,70,3,113,0,
83WN00017, 83025028,83,02,5028,1,70,30,702,2,1,4,2, 20,2,2,9,84,140,31,80,80,514, 4, 3, 8, 8, 49,250,5,7,1,1,2,0,193,1064,93,,  0,,1713,02,1788,02,2,70,508,70,3,79,0,
83WN00018, 83025029,83,02,5029,2,71,30,715,3,1,7,2,100,0,5,1,84,143,17,86,90,569, 6, 3, 7, 6, 57,  0,5,7,1,1,1,164,224,1300,,,  0,,4274,01,1996,01,6,77,568,71,,95,100,
83WN00019, 83025031,83,02,5031,1,71,30,715,3,1,7,2,100,0,5,1,84,143,14,75,80,507, 5, 3, 9, 7, 38,261,4,6,2,1,1,140,224,1300,93,,  0,,4274,01,1996,01,6,68,439,71,3,94,0,
83WN00020, 83025032,83,02,5032,1,70,30,701,2,2,5,5, 50,5,4,1,85,142,24,93,105,674, 6, 3, 8, 6, 46,313,6,7,1,1,2,163,197,1338,19,,300,,1430,02,7331,01,2,90,609,70,6,114,0,
83WN00021, 83025033,83,02,5033,2,70,30,701,2,2,5,5, 50,5,4,1,85,142,19,86,81,510, 5, 3, 9, 7, 41,  0,6,7,2,1,1,145,197,1338,,,  0,,1430,02,7331,01,2,70,479,70,,79,77,
83WN00022, 83025034,83,02,5034,2,70,30,703,2,2,5,5, 40,4,4,1,85,142,28,84,79,497, 4, 4, 9, 6, 55,  0,5,7,1,1,1,154,207,1054,,,  0,,1796,02,8523,01,2,68,479,70,,87,87,
83WN00023, 83025035,83,02,5035,2,70,30,703,2,2,5,5, 40,4,4,1,85,142,27,92,82,513, 5, 3, 9, 7, 54,  0,6,7,2,1,1,158,207,1054,,,  0,,1796,02,8523,01,2,71,493,70,,91,87,
83WN00024, 83025036,83,02,5036,2,71,30,715,4,1,0,2, 80,8,5,1,85,142,28,91,82,513, 5, 3, 9, 6, 61,  0,6,7,1,1,1,168,268,1201,,,  0,,4274,01,3784,01,6,71,530,71,,96,91,
83WN00025, 83025037,83,02,5037,1,71,30,715,4,2,0,4, 80,8,5,1,85,142,25,97,91,573, 7, 4, 8, 6, 54,292,5,7,5,1,2,146,268,1201,93,,  0,,4274,01,3784,01,6,78,509,71,3,94,0,
83WN00026, 83025038,83,02,5038,2,71,30,715,4,2,0,6, 80,8,5,1,85,142,19,80,81,514, 4, 3, 9, 7, 55,  0,4,6,1,1,1,167,268,1201,,,  0,,4274,01,3784,01,6,70,532,71,,85,83,
83WN00027, 83025039,83,02,5039,1,71,30,711,3,2,8,5, 70,7,5,1,85,142,26,78,86,551, 5, 4, 8, 7, 47,288,6,7,2,1,5,152,194,1156,93,,  0,,3076,02,4975,01,6,74,516,71,3,93,0,
83WN00028, 83025040,83,02,5040,2,71,30,711,3,2,8,5, 70,7,5,1,85,142,7,82,88,562, 5, 3, 8, 6, 58,  0,6,7,2,1,2,161,194,1156,,,  0,,3076,02,4975,01,6,76,540,71,,94,97,
83WN00029, 83025041,83,02,5041,2,71,30,711,3,1,7,2, 70,7,5,1,85,142,22,95,80,496, 8, 4, 9, 6, 50,  0,5,7,1,1,1,138,194,1156,,,  0,,3076,02,4975,01,6,69,505,71,,84,87,
83WN00030, 83025044,83,02,5044,1,70,30,703,2,1,3,2, 40,4,4,1,85,142,9,76,80,510, 7, 3,10, 7, 42,261,5,7,1,1,2,129,195,1075,93,,  0,,1796,02,8386,01,2,69,410,70,3,91,0,
83WN00031, 83025045,83,02,5045,1,70,30,703,2,1,4,2, 40,4,4,9,85,139,23,76,77,499, 8, 4, 9, 8, 39,229,5,7,3,1,6,0,195,1075,93,,  0,,1796,02,8386,01,2,68,464,70,3,73,0,
83WN00032, 83025046,83,02,5046,2,71,30,711,2,1,3,2, 30,3,3,1,85,142,18,70,65,408, 6, 3,10, 8, 62,  0,6,7,2,1,1,150,180,996,92,,  0,,3076,02,0088,02,6,56,396,71,2,69,76,028
83WN00033, 83025048,83,02,5048,1,71,30,713,4,2,0,5, 30,3,3,1,86,141,7,87,96,619, 4, 3, 7, 7, 56,244,6,7,1,1,4,173,237,1254,93,90,  0,,3128,02,0361,02,6,83,530,71,3,107,0,
