UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
88WN00001, 88031868,88,03,L1868,2,71,30,711,1,1,1,1,2.0,2,2,1,84,137,24,76,85,565, 6, 3, 8, 6, 42,,6,7,2,1,1,150,175,988,,,,,1012,03,9343,02,,75,510,71,1,92
88WN00002, 88031869,88,03,L1869,1,70,30,704,2,2,5,6,4.0,4,4,1,85,136,14,72,80,535, 6, 3, 8, 7, 45,255,5,6,2,1,2,161,210,1082,93,,,,9508,02,7174,02,,71,550,70,3,88
88WN00003, 88031870,88,03,L1870,1,70,30,704,2,2,5,4,4.0,4,4,1,85,136,17,93,84,549, 7, 3, 8, 7, 62,268,6,7,1,1,3,164,210,1082,93,,,,9508,02,7174,02,,75,528,70,3,99
88WN00004, 88031871,88,03,L1871,1,70,30,703,1,1,1,1,2.0,2,2,1,86,135,28,103,101,672, 8, 3, 9, 7, 47,260,3,5,2,1,2,152,192,1127,,84,,,9492,02,9320,02,,91,525,70,1,106
88WN00005, 88031874,88,03,L1874,2,71,30,712,2,2,5,5,4.0,4,4,1,86,135,19,107,92,602, 3, 3, 9, 7, 50,,5,6,2,1,1,187,210,1305,,,,,0769,03,7151,02,,83,617,71,1,106
88WN00006, 88031875,88,03,L1875,2,71,30,712,2,2,5,5,4.0,4,4,1,86,135,8,97,73,469, 7, 3,10, 7, 43,,6,7,1,1,1,141,210,1305,,,,,0769,03,7151,02,,66,470,71,1,79
88WN00007, 88031876,88,03,L1876,2,70,30,703,3,2,8,5,2.0,2,2,8,87,130,6,76,85,595,,,,,,,,,,1,,0,209,1330,,,,7,9492,02,9625,02,,79,581,70,1,90
88WN00008, 88031877,88,03,L1877,2,70,30,703,3,2,8,5,2.0,2,2,8,87,130,8,79,89,624,,,,,,,,,,1,,0,209,1330,,,,7,9492,02,9625,02,,83,620,70,1,96
88WN00009, 88031878,88,03,L1878,3,70,30,703,3,1,7,2,2.0,2,2,1,87,134,4,106,98,652, 7, 3, 7, 6, 44,,4,5,2,1,1,162,209,1330,93,,,7,9492,02,9625,02,,89,566,70,3,113
88WN00010, 88031879,88,03,L1879,2,71,30,711,2,2,5,5,2.0,2,2,1,87,134,33,77,73,487, 8, 3, 8, 7, 42,,5,6,1,1,1,142,209,1148,92,,267,,1012,03,9476,02,,66,530,71,K,80
88WN00011, 88031880,88,03,L1880,2,71,30,711,2,2,5,5,2.0,2,2,1,87,134,19,76,64,421, 9, 3,10, 7, 40,,4,5,1,1,1,124,209,1148,92,,267,,1012,03,9476,02,,58,446,71,K,73
88WN00012, 88031881,88,03,L1881,2,70,30,703,3,3,9,8,3.0,3,3,3,87,137,23,91,70,445, 9, 2,10, 7, 48,,5,6,1,1,1,137,206,1334,92,,266,,9492,02,8199,02,,62,525,70,2,85
88WN00013, 88031882,88,03,L1882,1,70,30,703,3,3,9,8,3.0,3,3,3,87,137,21,83,68,436, 8, 2,10, 8, 35,220,4,5,2,1,1,138,206,1334,93,,,,9492,02,8199,02,,61,522,70,3,78
88WN00014, 88031883,88,03,L1883,1,70,30,703,3,3,9,8,3.0,3,3,3,87,137,22,94,90,588, 6, 2, 8, 6, 30,268,5,6,1,1,2,162,206,1334,,,,,9492,02,8199,02,,80,676,70,13,88
88WN00015, 88031884,88,03,L1884,2,71,30,712,2,2,5,5,3.0,3,3,1,87,134,32,105,71,451, 7, 3, 9, 8, 46,,6,7,2,1,1,146,220,1349,,,,,0769,03,8017,02,,65,475,71,1,79
88WN00016, 88031885,88,03,L1885,2,71,30,712,2,2,5,5,3.0,3,3,1,87,134,17,109,74,471, 7, 3, 8, 8, 65,,6,7,1,1,1,159,220,1349,,,,,0769,03,8017,02,,67,476,71,1,82
