UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW
95WN00001, 95041762,95,A1762,04,2,88,30,e.8,5,1,1,1.0,1,1,1,87,219,132,13,9.5,84,108,0.746,99,1,1,,,0,M, 12,,L9716,03,A0858,04,81,2,92,264,1,1,110,2.05,119.5,2,119,,18.348
95WN00002, 95041764,95,A1764,04,3,88,30,e.8,8,2,1,1.0,1,1,1,90,219,129,2,9.0,72,82,0.566,77,1,2,,,0,C,,,L9716,03,A1085,04,82,3,93,268,3,2,101,2.15,124.9,3,94,,18.494
95WN00003, 95041766,95,A1766,04,3,88,30,e.8,5,1,1,1.0,1,1,1,90,219,129,5,8.0,59,90,0.636,84,1,1,,,0,C,,,L9716,03,A0774,04,82,3,93,268,1,1,106,2.05,126.3,3,101,,23.193
95WN00004, 95041769,95,A1769,04,2,00,33, 17,6,2,1,2.0,2,2,1,91,219,128,11,7.8,65,85,0.603,80,1,2,,,2,H,,WEAK,K7245,63,L9807,03,TT,3,93,248,3,2,0,2.34,113.8,3,,,0.0
95WN00005, 95041770,95,A1770,04,2,73,30,742,5,1,1,1.5,1,1,1,91,219,128,1,9.2,66,84,0.584,79,1,1,,,6,,-fl,,A0560,04,A0445,04,73,1,,0,1,1,102,2.05,125.3,1,98,,0.0
95WN00006, 95041771,95,A1771,04,2,00,80,971,8,2,2,7.5,7,5,2,93,221,128,7,12.2,75,97,0.663,92,5,1,,,1,,BLK,,09217,00,L1622,03,00,3,93,268,5,5,0,1.6,94.3,3,109,,0.0
95WN00007, 95041772,95,A1772,04,2,00,80,971,8,2,2,7.5,7,5,2,93,221,128,16,11.0,69,87,0.594,82,5,1,,,1,,BLK,,09217,00,L1622,03,00,3,93,268,5,5,0,1.6,94.3,3,99,,0.0
95WN00008, 95041777,95,A1777,04,2,73,30,741,8,2,1,1.5,1,1,1,93,219,126,11,6.4,51,74,0.537,71,1,1,,,6,,-fl,4TEATS,A0485,04,A0252,04,73,1,,0,3,2,97,2.15,123.7,1,88,,0.0
95WN00009, 95041778,95,A1778,04,2,82,30, 31,9,3,2,5.0,5,4,2,93,221,128,18,7.8,61,78,0.548,74,1,1,,,0,C,  5,,L9883,03,L4699,03,82,2,92,264,8,6,101,2.12,128.3,2,92,,17.993
95WN00010, 95041779,95,A1779,04,2,82,30, 31,9,3,2,5.0,5,4,2,93,221,128,9,9.3,70,95,0.67,90,1,1,,,0,C,e.7,,L9883,03,L4699,03,82,1,,0,8,4,109,2.12,128.3,1,105,,17.993
95WN00011, 95041780,95,A1780,04,1,82,30, 27,8,2,2,3.0,3,3,2,93,221,128,8,10.9,72,95,0.657,90,1,1,,,0,C,,,A0099,04,L8869,03,82,1,,0,5,5,98,1.97,117.2,1,100,,9.003
95WN00012, 95041781,95,A1781,04,2,82,30, 27,8,2,2,3.0,3,3,2,93,221,128,5,10.1,66,90,0.624,85,1,1,,,0,C,,COARSE,A0099,04,L8869,03,82,3,93,268,5,5,101,1.97,117.2,3,104,,9.003
95WN00013, 95041782,95,A1782,04,2,00,80,972,9,3,2,7.5,7,5,2,93,221,128,18,9.0,66,85,0.594,80,5,1,,,1,,BLK,,Z0468,81,L1641,03,00,3,93,268,8,6,0,1.9,105.6,3,102,,0.0
95WN00014, 95041783,95,A1783,04,3,00,80,972,9,3,2,7.5,7,5,2,93,221,128,16,12.1,79,105,0.726,99,5,1,,,1,,BLK,,Z0468,81,L1641,03,00,3,93,268,8,4,0,1.9,105.6,3,121,,0.0
95WN00015, 95041785,95,A1785,04,2,81,30, 03,8,2,1,4.0,4,4,2,93,221,128,16,6.5,58,78,0.559,74,1,1,,,0,M,e.7,,A0038,04,L6655,03,81,1,,0,3,2,103,2.17,134.0,1,92,,23.993
95WN00016, 95041787,95,A1787,04,2,82,30, 20,8,2,2,6.0,6,4,2,94,221,127,14,6.8,33,49,0.332,47,1,1,,,0,C,,,A0118,04,L3674,03,82,3,93,268,5,5,87,2.2,130.9,3,59,,17.398
95WN00017, 95041788,95,A1788,04,1,82,30, 20,8,2,2,6.0,6,4,2,94,221,127,4,7.9,36,58,0.394,55,1,1,,,0,C,,,A0118,04,L3674,03,82,3,93,240,5,5,88,2.2,130.9,3,61,,17.398
95WN00018, 95041789,95,A1789,04,2,73,30,744,5,1,1,1.5,1,1,H,94,226,132,5,10.0,69,84,0.561,77,1,1,,,6,,-fl,,A0478,04,A0480,04,73,1,,0,1,1,101,2.05,124.9,1,87,,0.0
95WN00019, 95041790,95,A1790,04,1,82,30, 31,8,2,1,2.0,2,2,2,94,221,127,3,9.4,79,109,0.784,104,1,1,,,0,C,,,L9883,03,L9749,03,82,3,93,240,3,2,109,2.17,126.5,3,118,,21.907
95WN00020, 95041793,95,A1793,04,2,82,30, 28,9,3,2,4.0,4,4,2,94,221,127,9,8.0,63,79,0.559,75,1,1,,,0,C,e.8,4TEATS,A0161,04,L6769,03,82,1,,0,8,5,94,2.29,112.6,1,87,,21.173
95WN00021, 95041794,95,A1794,04,1,82,30, 28,9,3,2,4.0,4,4,2,94,221,127,1,7.7,59,85,0.609,81,1,1,,,0,C,,"DEAD,PILEUP",A0161,04,L6769,03,82,6,46,212,8,5,91,2.29,112.6,6,,,21.173
