UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
96WN00001, 96043111,96,A3111,04,2,73,30,741,8,2,2,1.5,1,1,H,100,222,122,6,7.8,49,72,0.526,71,1,1,,,6,,-FL,HAIRY,A1645,04,A1731,04,73,1,,0,5,5,102,2.12,135.4,1,74,,0.0,0,0,0,,0.0,0.0
96WN00002, 96043110,96,A3110,04,1,ch,31,-2-,8,2,2,2.0,2,2,H,100,222,122,7,10.6,48,69,0.479,68,1,1,,,2,c,-CH,,S1497,10,A0962,04,ch,1,,0,5,4,77,1.5,66.5,1,74,,5.8,0,0,0,,0.0,11.6
96WN00003, 96043113,96,A3113,04,2,82,30,21,8,2,1,3.0,3,3,2,100,220,120,6,10.0,62,86,0.633,86,1,1,,,0,C,e.9,4TEATS,A0811,04,A0050,04,82,1,,0,3,2,106,1.98,126.1,1,98,,15.75,0,0,0,,13.47,18.03
96WN00004, 96043114,96,A3114,04,3,82,30,21,8,2,2,3.0,3,3,2,100,220,120,1,10.9,47,65,0.451,65,1,1,,,0,C,,,A0811,04,A0050,04,82,3,93,268,5,6,94,1.98,126.1,3,75,,15.75,0,0,0,,13.47,18.03
96WN00005, 96043116,96,A3116,04,2,82,30,22,8,2,1,2.0,2,2,2,100,220,120,1,7.9,60,81,0.609,81,1,1,,,0,C,e.8,4TEATS,A0944,04,A0738,04,82,1,,0,3,2,92,1.94,102.7,1,95,,13.44,0,0,0,,11.73,15.15
96WN00006, 96043112,96,A3112,04,2,73,30,741,8,2,2,1.5,1,1,H,100,222,122,6,8.4,43,65,0.464,64,1,1,,,6,,-FL,MSG 11/05/96,A1645,04,A1731,04,73,1,97,310,5,5,98,2.12,135.4,1,71,,0.0,0,0,0,,0.0,0.0
96WN00007, 96043118,96,A3118,04,1,ch,34,j.4,8,2,2,1.0,1,1,H,100,222,122,5,7.8,32,47,0.321,46,1,1,,,2,c,-CH,X,A1297,04,A2329,04,ch,3,93,239,5,5,80,2.0,99.0,3,52,,15.79,0,0,0,,20.36,11.21
96WN00008, 96043119,96,A3119,04,1,ch,34,j.4,8,2,2,1.0,1,1,H,100,222,122,6,7.3,34,54,0.383,53,1,1,5,,2,c,-CH,H5 X,A1297,04,A2329,04,ch,3,93,239,5,5,84,2.0,99.0,3,59,,15.79,0,0,0,,20.36,11.21
96WN00009, 96043117,96,A3117,04,2,ch,31,j.1,7,2,1,1.0,1,1,H,100,222,122,3,8.2,47,64,0.457,63,1,1,,,2,c,-CH,HAIRY,A0987,04,A2250,04,ch,1,97,249,3,2,76,2.0,63.0,,0,,8.91,0,0,0,,12.76,5.06
96WN00010, 96043101,96,A3101,04,2,81,30,01,9,3,2,3.0,3,3,2,100,220,120,1,9.8,58,80,0.585,80,1,1,,,0,M,,,A0733,04,L9856,03,81,7,97,222,8,5,101,2.26,123.2,,0,,25.39,0,0,0,,25.7,25.07
96WN00011, 96043104,96,A3104,04,2,73,30,743,9,3,2,1.5,1,1,H,100,222,122,3,7.0,44,65,0.475,64,1,1,,,6,,-FL,,A1638,04,A1549,04,73,1,,0,8,5,97,2.22,133.8,1,69,,0.0,0,0,0,,4.46,0.0
96WN00012, 96043105,96,A3105,04,2,73,30,743,9,3,2,1.5,1,1,H,100,222,122,7,6.7,45,64,0.47,63,1,1,,,6,,-FL,,A1638,04,A1549,04,73,1,,0,8,5,97,2.22,133.8,1,70,,0.0,0,0,0,,4.46,0.0
96WN00013, 96043102,96,A3102,04,2,81,30,01,9,3,2,3.0,3,3,2,100,220,120,4,9.3,58,84,0.623,84,1,1,,,0,M,e.8,,A0733,04,L9856,03,81,1,,0,8,5,103,2.26,123.2,1,95,,25.39,0,0,0,,25.7,25.07
96WN00014, 96043108,96,A3108,04,1,81,30,03,9,3,1,3.0,3,3,2,100,220,120,6,10.5,75,108,0.813,108,1,1,5,,0,M,,H5X,A1040,04,L9914,03,81,3,93,239,7,2,113,2.12,127.5,3,117,,19.78,0,0,0,,23.3,16.26
96WN00015, 96043109,96,A3109,04,2,ch,31,-2-,8,2,2,2.0,2,2,H,100,222,122,5,9.0,54,66,0.467,65,1,1,,,2,c,j.3,,S1497,10,A0962,04,ch,1,,0,5,6,79,1.5,66.5,1,76,,0.0,0,0,0,,0.0,0.0
96WN00016, 96043131,96,A3131,04,1,81,30,04,9,3,3,3.0,3,3,1,101,218,117,1,6.7,53,74,0.575,76,1,1,,,0,M,,,A0942,04,L9715,03,81,7,97,222,9,8,109,2.26,154.0,,0,,20.67,0,0,0,,17.23,24.11
96WN00017, 96043130,96,A3130,04,1,81,30,04,9,3,3,3.0,3,3,1,101,218,117,2,7.0,55,73,0.564,75,1,1,,,0,M,,,A0942,04,L9715,03,81,1,,0,9,8,108,2.26,154.0,1,89,,20.67,0,0,0,,17.23,24.11
96WN00018, 96043133,96,A3133,04,3,88,30,e.8,8,2,2,1.0,1,1,2,101,220,119,7,8.4,50,77,0.576,78,1,1,,,0,e,,,A1368,04,A2094,04,81,3,93,268,5,4,106,2.12,137.6,3,89,,18.62,0,0,0,,15.94,21.3
96WN00019, 96043134,96,A3134,04,3,88,30,e.8,8,2,2,1.0,1,1,2,101,220,119,11,6.8,43,67,0.506,68,1,1,,,0,e,,,A1368,04,A2094,04,81,3,93,268,5,6,101,2.12,137.6,3,84,,18.62,0,0,0,,15.94,21.3
96WN00020, 96043135,96,A3135,04,2,82,30,27,8,2,2,2.0,2,2,2,101,220,119,6,7.0,44,66,0.496,66,1,1,,,0,C,17,,A1399,04,A1439,04,82,2,92,263,5,7,101,2.11,140.3,2,81,83,13.44,0,0,0,,15.85,11.02
96WN00021, 96043136,96,A3136,04,2,82,30,27,8,2,2,2.0,2,2,2,101,220,119,8,9.9,63,88,0.656,89,1,1,,,0,C,16,,A1399,04,A1439,04,82,2,92,263,5,3,114,2.11,140.3,2,102,110,13.44,0,0,0,,15.85,11.02
96WN00022, 96043132,96,A3132,04,2,ch,31,j.4,6,2,1,1.0,1,1,H,101,222,121,4,10.5,64,84,0.607,83,1,1,,,2,c,j.8,,A1297,04,A2223,04,ch,1,,0,3,2,100,2.0,83.0,1,92,,12.62,0,0,0,,20.36,4.87
96WN00023, 96043138,96,A3138,04,1,82,30,28,8,2,2,3.0,3,3,2,101,220,119,3,10.3,63,91,0.678,92,1,1,,,0,C,,,A1063,04,A0184,04,82,1,,0,5,5,96,2.26,109.3,1,100,,12.17,0,0,0,,13.49,10.84
96WN00024, 96043139,96,A3139,04,3,73,30,744,8,2,2,1.5,1,1,H,101,222,121,5,10.6,38,61,0.417,61,1,1,,,6,,-FL,,A1567,04,A1637,04,73,3,93,268,5,5,96,2.12,135.6,3,67,,0.0,0,0,0,,8.42,0.0
96WN00025, 96043137,96,A3137,04,3,82,30,28,8,2,2,3.0,3,3,2,101,220,119,1,9.1,58,83,0.621,84,4,1,,,0,C,,BLK LEGS,A1063,04,A0184,04,82,3,93,268,5,5,96,2.26,109.3,3,94,,12.17,0,0,0,,13.5,10.84
96WN00026, 96043141,96,A3141,04,2,73,30,741,8,2,2,1.5,1,1,H,101,222,121,7,9.7,53,73,0.523,72,1,1,,,6,,-FL,,A1645,04,A1601,04,73,1,,0,5,5,103,2.12,136.6,1,83,,0.0,0,0,0,,0.0,0.0
96WN00027, 96043140,96,A3140,04,2,73,30,744,8,2,2,1.5,1,1,H,101,222,121,5,10.4,59,76,0.542,75,1,1,,,6,,-FL,,A1567,04,A1637,04,73,1,,0,5,5,104,2.12,135.6,1,79,,0.0,0,0,0,,8.42,0.0
96WN00028, 96043143,96,A3143,04,3,88,30,e.8,5,1,1,1.0,1,1,2,101,220,119,5,10.3,66,96,0.72,97,1,1,,,0,e,,,A1368,04,A2129,04,81,3,93,268,1,1,112,2.02,127.8,3,106,,16.66,0,0,0,,15.94,17.37
96WN00029, 96043145,96,A3145,04,2,81,30,02,9,3,2,3.0,3,3,2,101,220,119,16,7.5,56,77,0.584,78,1,1,,,0,M,e.8,,A1423,04,A0129,04,81,1,,0,8,6,100,1.98,124.1,1,93,,18.56,0,0,0,,19.9,17.22
96WN00030, 96043146,96,A3146,04,1,81,30,02,9,3,2,3.0,3,3,2,101,220,119,6,9.4,54,76,0.56,77,1,1,,,0,M,,,A1423,04,A0129,04,81,3,93,239,8,4,96,1.98,124.1,3,82,,18.56,0,0,0,,19.9,17.22
96WN00031, 96043142,96,A3142,04,2,73,30,741,8,2,2,1.5,1,1,H,101,222,121,5,9.4,51,69,0.493,69,1,1,,,6,,-FL,,A1645,04,A1601,04,73,1,,0,5,5,101,2.12,136.6,1,75,,0.0,0,0,0,,0.0,0.0
96WN00032, 96043148,96,A3148,04,2,82,30,30,8,2,2,4.0,4,4,2,101,220,119,1,10.8,58,69,0.489,69,1,1,,,0,C,17,LAME LR CHK,A0760,04,L8820,03,82,2,92,263,5,5,98,2.09,129.7,2,79,84,21.93,0,0,0,,22.05,21.81
96WN00033, 96043149,96,A3149,04,1,ch,31,-0-,5,1,1,2.0,2,2,H,101,222,121,4,10.2,69,93,0.684,92,1,2,,,2,c,-CH,,S1497,10,A1314,04,ch,1,,0,1,1,81,1.0,46.0,1,94,,2.26,0,0,0,,0.0,4.52
96WN00034, 96043147,96,A3147,04,1,82,30,30,8,2,2,4.0,4,4,2,101,220,119,13,10.6,58,81,0.592,82,1,1,,,0,C,,PINK H3,A0760,04,L8820,03,82,3,93,239,5,5,101,2.09,129.7,3,91,,21.93,0,0,0,,22.05,21.81
96WN00035, 96043151,96,A3151,04,3,81,30,02,8,2,2,2.0,2,2,2,101,220,119,1,7.8,53,78,0.59,79,1,1,,,0,M,,,A1423,04,A1397,04,81,3,93,268,5,6,106,2.11,135.9,3,91,,16.06,0,0,0,,19.9,12.21
96WN00036, 96043150,96,A3150,04,2,81,30,01,5,1,1,5.0,5,4,2,101,220,119,13,14.4,74,100,0.719,101,1,1,,,0,M,e.9,,A0733,04,L7754,03,81,1,,0,1,1,108,1.93,112.6,1,116,,22.72,0,0,0,,25.7,19.74
96WN00037, 96043153,96,A3153,04,2,ch,31,-0-,8,2,1,6.0,6,4,H,101,222,121,5,9.6,62,84,0.615,83,1,1,,,2,h,j.9,,S1908,10,L5103,03,88,1,,0,3,2,115,1.98,112.9,1,93,,13.67,0,0,0,,0.0,13.67
96WN00038, 96043156,96,A3156,04,3,81,30,02,9,3,1,6.0,6,4,2,101,220,119,6,8.4,56,85,0.644,86,1,1,,,0,M,,,A1423,04,L5701,03,81,3,93,268,7,2,106,1.98,127.1,3,96,,14.63,0,0,0,,19.9,9.35
96WN00039, 96043152,96,A3152,04,3,81,30,02,8,2,2,2.0,2,2,2,101,220,119,16,10.0,45,63,0.445,63,1,1,,,0,M,,,A1423,04,A1397,04,81,3,93,268,5,4,97,2.11,135.9,3,79,,16.06,0,0,0,,19.9,12.21
96WN00040, 96043158,96,A3158,04,2,ch,31,-0-,7,2,2,6.0,6,4,H,101,222,121,6,9.3,53,66,0.469,66,1,1,,,2,c,j.6,,S0423,10,L4971,03,88,1,,0,5,5,110,2.08,125.6,1,71,,10.33,0,0,0,,0.0,10.33
96WN00041, 96043159,96,A3159,04,2,82,30,24,9,3,2,5.0,5,4,2,101,220,119,12,10.2,63,83,0.612,84,1,1,,,0,C,e.8,,A1070,04,L6643,03,82,1,,0,8,5,107,2.37,131.7,1,95,,20.06,0,0,0,,21.09,19.02
96WN00042, 96043157,96,A3157,04,3,81,30,02,9,3,2,6.0,6,4,H,101,222,121,7,9.7,48,63,0.44,63,1,1,,,0,M,-CH,,A1423,04,L5701,03,81,3,93,268,8,5,93,1.98,127.1,3,70,,14.63,0,0,0,,19.9,9.35
96WN00043, 96043161,96,A3161,04,2,82,30,21,9,3,1,7.0,7,5,2,101,220,119,8,8.3,56,80,0.603,81,1,1,,,0,C,e.8,,A0811,04,L3363,03,82,1,,0,7,2,107,2.12,135.4,1,94,,17.12,0,0,0,,13.47,20.77
96WN00044, 96043160,96,A3160,04,2,82,30,24,9,3,2,5.0,5,4,2,101,220,119,16,8.9,54,73,0.539,74,1,1,,,0,C,,PINK,A1070,04,L6643,03,82,3,93,268,8,5,102,2.37,131.7,3,86,,20.06,0,0,0,,21.09,19.02
96WN00045, 96043163,96,A3163,04,3,82,30,21,9,3,1,7.0,7,5,2,101,220,119,12,10.8,66,94,0.699,95,1,3,,,0,C,,,A0811,04,L3363,03,82,3,93,268,7,2,114,2.12,135.4,3,107,,17.12,0,0,0,,13.47,20.77
96WN00046, 96043164,96,A3164,04,1,ch,31,-2-,5,1,1,2.0,2,2,H,101,222,121,7,9.7,62,81,0.589,80,1,1,,,2,c,-CH,,S1497,10,A1169,04,ch,1,,0,1,1,92,1.0,81.0,1,85,,3.45,0,0,0,,0.0,6.89
96WN00047, 96043165,96,A3165,04,2,ch,31,-0-,9,3,1,4.5,4,4,H,101,222,121,6,7.0,59,79,0.595,78,1,1,,,2,c,j.3,HAIRY,S1878,10,L8319,03,88,1,,0,7,2,102,2.04,93.4,1,85,,7.05,0,0,0,,0.0,7.05
96WN00048, 96043168,96,A3168,04,2,88,30,e.7,8,2,1,1.0,1,1,2,101,220,119,8,8.0,59,75,0.563,76,9,1,,,0,e,e.8,BLACK EWE,A0708,04,A1779,04,82,1,,0,3,2,99,2.12,123.6,1,89,,18.19,0,0,0,,18.39,17.99
96WN00049, 96043121,96,A3121,04,2,81,30,02,9,3,2,3.0,3,3,2,101,220,119,6,7.3,58,84,0.645,85,1,1,,,0,M,12,,A1423,04,L9979,03,81,2,92,263,8,5,107,2.12,129.8,2,97,104,18.12,0,0,0,,19.9,16.33
96WN00050, 96043123,96,A3123,04,1,ch,31,-2-,8,2,2,2.0,2,2,H,101,222,121,6,10.9,63,87,0.629,86,1,1,,,2,c,-CH,,S1497,10,A1177,04,ch,1,,0,5,5,96,1.0,82.0,1,91,,8.35,0,0,0,,0.0,16.7
96WN00051, 96043124,96,A3124,04,1,ch,31,-2-,8,2,2,2.0,2,2,H,101,222,121,4,10.1,58,79,0.569,78,1,1,,,2,c,-CH,,S1497,10,A1177,04,ch,1,,0,5,5,91,1.0,82.0,1,86,,8.35,0,0,0,,0.0,16.7
96WN00052, 96043125,96,A3125,04,2,ch,31,-0-,8,2,2,2.0,2,2,H,101,222,121,5,8.1,41,55,0.388,55,1,1,,,2,c,-CH,,S1497,10,A1293,04,ch,3,93,268,5,5,92,1.5,105.0,3,60,,0.0,0,0,0,,0.0,0.0
96WN00053, 96043126,96,A3126,04,1,ch,31,-0-,8,2,2,2.0,2,2,H,101,222,121,6,8.8,47,63,0.448,63,1,1,,,2,c,-CH,X SIZE,S1497,10,A1293,04,ch,3,93,239,5,5,94,1.5,105.0,3,67,,0.0,0,0,0,,0.0,0.0
96WN00054, 96043122,96,A3122,04,2,81,30,02,9,3,2,3.0,3,3,2,101,220,119,17,7.8,48,66,0.489,66,1,1,,,0,M,14,,A1423,04,L9979,03,81,2,92,263,8,5,96,2.12,129.8,2,80,86,18.12,0,0,0,,19.9,16.33
96WN00055, 96043129,96,A3129,04,1,81,30,04,9,3,3,3.0,3,3,1,101,218,117,5,8.1,52,74,0.563,76,1,1,,,0,M,,,A0942,04,L9715,03,81,1,,0,9,8,109,2.26,154.0,1,80,,20.67,0,0,0,,17.23,24.11
96WN00056, 96043127,96,A3127,04,2,ch,31,-2-,8,2,1,3.0,3,3,H,101,222,121,4,8.5,53,71,0.517,70,1,1,,,2,h,j.4,,S1908,10,L9756,03,TT,1,,0,3,2,111,2.12,121.7,1,79,,0.0,0,0,0,,0.0,0.0
96WN00057, 96043181,96,A3181,04,2,82,30,20,9,3,2,5.0,5,4,2,101,220,119,12,7.6,52,71,0.533,72,1,1,,,0,C,,BRITCHY X,A0740,04,L7133,03,82,3,93,268,8,5,99,2.26,127.3,3,83,,20.27,0,0,0,,13.92,26.61
96WN00058, 96043180,96,A3180,04,3,82,30,20,9,3,2,5.0,5,4,2,101,220,119,5,7.0,53,73,0.555,74,1,1,,,0,C,,,A0740,04,L7133,03,82,3,93,268,8,5,99,2.26,127.3,3,81,,20.27,0,0,0,,13.92,26.61
96WN00059, 96043183,96,A3183,04,2,81,30,02,8,2,2,2.0,2,2,2,101,220,119,5,8.0,41,60,0.437,60,1,1,,,0,M,23,4TEATS,A1423,04,A1157,04,81,2,92,263,5,5,87,1.94,116.5,2,74,77,20.47,0,0,0,,19.9,21.03
96WN00060, 96043185,96,A3185,04,2,ch,30,-2-,9,3,2,3.0,3,3,H,101,222,121,5,7.4,34,51,0.36,51,1,1,,,2,h,j.3,,L6868,03,L9839,03,TT,1,,0,8,5,101,2.12,127.9,1,57,,0.0,0,0,0,,0.0,0.0
96WN00061, 96043186,96,A3186,04,2,ch,30,-2-,9,3,2,3.0,3,3,H,101,222,121,7,7.5,50,66,0.483,66,1,1,,,2,h,j.5,,L6868,03,L9839,03,TT,1,,0,8,5,112,2.12,127.9,1,73,,0.0,0,0,0,,0.0,0.0
96WN00062, 96043182,96,A3182,04,2,81,30,02,8,2,2,2.0,2,2,2,101,220,119,8,9.3,58,80,0.594,81,1,1,,,0,M,e.9,,A1423,04,A1157,04,81,1,,0,5,5,98,1.94,116.5,1,95,,20.47,0,0,0,,19.9,21.03
