UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
01WN00001,101048157,01,A8157,04,2,00,72,e.6,7,2,1,1.0,1,1,1,84,218,134,7,11.4,77,96,0.631,87,1,1,,,7,.,.,e62,NICE,A4142,04,00063,00,88,1,,0,3,2,0,2.12,121.0,1,106,0,,0,0,,,0.028,0.0,,,,,,0.0,1/4F
01WN00002,101048158,01,A8158,04,3,00,80,e.8,8,2,1,1.0,1,1,1,84,218,134,18,10.1,80,101,0.678,92,6,1,,,0,.,.,,,Z4799,81,A7296,04,88,3,93,262,3,2,0,2.12,132.0,3,113,0,,0,0,,,0.024,0.0,,,,,,0.0,
01WN00003,101048159,01,A8159,04,3,00,80,e.8,8,2,1,1.0,1,1,1,84,218,134,3,10.3,83,110,0.744,100,1,1,,,0,.,.,,,Z4799,81,A7296,04,88,3,93,262,3,2,0,2.12,132.0,3,115,0,,0,0,,,0.024,0.0,,,,,,0.0,
01WN00004,101048161,01,A8161,04,2,00,72,e.6,8,2,1,1.0,1,1,1,86,218,132,1,8.9,73,91,0.622,84,1,1,,,7,.,.,e63,,A4142,04,A7171,04,88,1,,0,3,2,0,2.12,120.4,1,106,0,,0,0,,,0.018,0.0,,,,,,0.0,1/4F
01WN00005,101048162,01,A8162,04,3,00,80,e.8,5,1,1,1.0,1,1,1,87,218,131,6,12.7,88,108,0.727,100,2,1,,,0,.,.,,,Z4799,81,A7455,04,82,3,93,262,1,1,0,2.02,123.6,3,116,0,,0,0,,,0.022,0.0,,,,,,0.0,
01WN00006,101048163,01,A8163,04,2,00,80,e.8,8,2,1,1.0,1,1,8,87,,,0,6.3,0,0,,0,1,1,,,0,.,.,e64,"1/4S,BUM,SAVE",Z4799,81,A7512,04,81,1,,0,4,2,0,2.12,121.0,1,76,0,,0,0,,,0.023,0.0,,,,,,0.0,1/4S
01WN00007,101048164,01,A8164,04,2,00,80,e.8,8,2,1,1.0,1,1,1,87,218,131,11,8.7,78,94,0.651,87,1,1,,,0,.,.,e65,,Z4799,81,A7512,04,81,1,,0,3,2,0,2.12,121.0,1,107,0,,0,0,,,0.023,0.0,,,,,,0.0,1/4S
01WN00008,101048166,01,A8166,04,3,00,72,e.7,8,2,1,1.0,1,1,1,89,218,129,7,9.0,74,98,0.69,92,1,1,,,0,.,.,,,A4203,04,A7177,04,82,3,93,262,3,2,0,2.12,122.0,3,104,0,,0,0,,,0.042,0.0,,,,,,0.0,
01WN00009,101048167,01,A8167,04,2,00,72,e.7,8,2,1,1.0,1,1,8,89,,,0,7.0,0,0,,0,1,1,,,0,.,.,e66,"1/4F,BUM,SAVE",A4203,04,A7177,04,82,1,,0,4,2,0,2.12,122.0,1,68,0,,0,0,,,0.042,0.0,,,,,,0.0,1/4F
01WN00010,101048168,01,A8168,04,3,00,72,e.7,5,1,1,1.0,1,1,1,89,218,129,15,11.3,79,95,0.649,89,1,1,,,0,.,.,,,A4203,04,A7114,04,81,3,93,262,1,1,0,2.02,121.4,3,110,0,,0,0,,,0.047,0.0,,,,,,0.0,
01WN00011,101048169,01,A8169,04,2,00,72,e.7,5,1,1,1.0,1,1,1,90,218,128,1,11.0,70,97,0.672,92,1,1,,,7,.,.,e62,,A4203,04,A7491,04,88,1,,0,1,1,0,2.02,122.0,1,110,0,,0,0,,,0.028,0.0,,,,,,0.0,1/4F
01WN00012,101048172,01,A8172,04,2,84,30,52,5,1,1,2.0,2,2,1,90,218,128,15,8.1,73,95,0.679,90,1,1,,,7,N,.,e62,HAIRY,A6853,04,A6482,04,88,1,,0,1,1,108,2.0,132.4,1,110,0,,0,0,,,0.091,0.0,,,,-0.4336,-0.0051,0.0,Inbr
01WN00013,101048173,01,A8173,04,2,00,72,e.6,8,2,2,1.0,1,1,1,90,218,128,16,7.1,50,63,0.437,60,1,1,,,0,.,.,e63,,A4142,04,A8039,04,81,1,,0,5,5,0,2.12,127.6,1,74,0,,0,0,,,0.029,0.0,,,,,,0.0,1/4F
01WN00014,101048174,01,A8174,04,2,00,72,e.6,8,2,2,1.0,1,1,1,90,218,128,13,6.9,50,64,0.446,60,1,1,,,0,.,.,e64,,A4142,04,A8039,04,81,1,,0,5,5,0,2.12,127.6,1,76,0,,0,0,,,0.029,0.0,,,,,,0.0,1/4F
01WN00015,101048175,01,A8175,04,3,00,72,e.6,8,2,2,1.0,1,1,1,91,218,127,7,9.0,38,55,0.362,52,1,1,,,7,.,.,,,A4142,04,A7614,04,88,3,93,262,5,3,0,2.12,121.6,3,75,0,,0,0,,,0.051,0.0,,,,,,0.0,
01WN00016,101048176,01,A8176,04,2,00,72,e.6,8,2,2,1.0,1,1,1,91,218,127,8,6.0,29,40,0.268,38,1,1,,,7,.,.,,,A4142,04,A7614,04,88,3,93,262,5,7,0,2.12,121.6,3,57,0,,0,0,,,0.051,0.0,,,,,,0.0,
01WN00017,101048177,01,A8177,04,3,00,72,e.7,8,2,2,1.0,1,1,2,92,220,128,10,11.5,65,84,0.566,79,1,1,,,0,.,.,,,A4203,04,A7508,04,81,3,93,262,5,5,0,2.12,134.0,3,92,0,,0,0,,,0.046,0.0,,,,,,0.0,
01WN00018,101048178,01,A8178,04,2,00,72,e.7,8,2,2,1.0,1,1,2,92,220,128,9,9.8,58,77,0.525,73,1,1,,,0,.,.,e65,,A4203,04,A7508,04,81,1,,0,5,5,0,2.12,134.0,1,90,0,,0,0,,,0.046,0.0,,,,,,0.0,1/4F
