UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,TAIL1,TAIL2,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
03WN00001,103050403,03,H0403,05,2,88,30,e12,8,2,2,1.0,1,1,1,89,224,135,5,6.9,43,66,0.438,59,1,1,,,0,M,  3,,,A8820,04,A9241,04,83,2,92,261,5,5,88,2.1,122.2,2,70,82,,0,0,,0.055,,,,,,,,Poly
03WN00002,103050404,03,H0404,05,2,88,30,e12,8,2,2,1.0,1,1,1,89,224,135,3,7.4,52,74,0.493,67,1,1,,,0,M,  2,,,A8820,04,A9241,04,83,2,92,261,5,5,93,2.1,122.2,2,80,83,,0,0,,0.055,,,,,,,,Poly
03WN00003,103050405,03,H0405,05,2,88,30,e12,5,1,1,1.0,1,1,1,89,224,135,6,8.3,57,76,0.501,68,1,1,,,0,M,  1,,,A8820,04,A9239,04,83,2,92,261,1,1,88,2.0,110.6,2,83,87,,0,0,,0.055,,,,,,,,Poly
03WN00004,103050406,03,H0406,05,2,88,30,e10,5,1,1,1.0,1,1,1,89,224,135,8,5.5,55,81,0.559,73,1,1,,,0,M,  1,,SMALL ok,A8579,04,A9545,04,81,2,92,261,1,1,91,2.0,111.6,2,88,94,,0,0,,0.067,,,,,,,,Poly
03WN00005,103050407,03,H0407,05,2,88,30,e12,5,1,1,1.0,1,1,1,90,224,134,1,10.3,68,93,0.617,84,1,1,,,0,M,.,e.9,,A8820,04,A9083,04,82,1,,,1,1,98,2.0,113.8,1,100,,,0,0,,0.071,,,,,,,,Poly
03WN00006,103050408,03,H0408,05,2,88,30,e12,5,1,1,1.0,1,1,1,90,224,134,8,7.9,58,79,0.531,72,1,1,,,0,M,.,,BRITCHY wasZ,A8820,04,A9969,04,84,3,93,260,1,1,90,2.0,111.4,3,88,88,,0,0,,0.057,,,,,,,,PPL
03WN00007,103050409,03,H0409,05,2,88,30,e12,8,2,1,1.0,1,1,1,91,224,133,6,6.7,52,70,0.476,64,1,1,,,0,M,  2,,,A8820,04,A9964,04,83,2,92,261,3,2,85,2.1,109.8,2,79,84,,0,0,,0.047,,,,,,,,Poly
03WN00008,103050411,03,H0411,05,1,88,30,e13,8,2,2,1.0,1,1,1,91,224,133,12,10.8,63,87,0.573,80,1,1,,,0,M,.,,,A8879,04,P0231,05,84,3,93,258,5,3,94,2.1,125.8,3,97,,,0,0,,0.046,,,,,,,,
03WN00009,103050412,03,H0412,05,2,88,30,e13,8,2,2,1.0,1,1,1,91,224,133,10,7.6,50,70,0.469,64,1,1,,,0,M,  3,,,A8879,04,P0231,05,84,2,92,261,5,7,93,2.1,125.8,2,73,82,,0,0,,0.046,,,,,,,,Poly
03WN00010,103050414,03,H0414,05,2,88,30,e13,8,2,1,1.0,1,1,1,92,224,132,15,7.0,60,86,0.598,79,1,1,,,0,M,  1,,,A8879,04,A9981,04,84,2,92,261,3,2,91,2.1,104.9,2,91,97,,0,0,,0.045,,,,,,,,Poly
03WN00011,103050415,03,H0415,05,2,88,30,e10,8,2,1,1.0,1,1,1,92,224,132,4,7.9,60,84,0.577,77,1,1,,,0,M,  1,,,A8579,04,A9435,04,84,2,92,261,3,2,93,2.1,112.4,2,97,98,,0,0,,0.045,,,,,,,,Poly
03WN00012,103050417,03,H0417,05,2,88,30,e13,8,2,1,1.0,1,1,1,92,224,132,7,9.3,63,88,0.596,81,1,1,,,0,M,.,,DEAD,A8879,04,A9887,04,81,6,01,207,3,2,96,2.1,113.2,6,0,,,0,0,,0.06,,,,,,,,
03WN00013,103050419,03,H0419,05,2,88,30,e13,5,1,1,1.0,1,1,1,92,224,132,9,11.0,73,98,0.659,90,1,1,,,0,M,.,e10,,A8879,04,A9218,04,83,1,,,1,1,101,2.0,115.0,1,97,,,0,0,,0.048,,,,,,,,Poly
03WN00014,103050420,03,H0420,05,2,88,30,e13,8,2,1,1.0,1,1,1,92,224,132,11,6.5,56,74,0.511,68,1,1,,,0,M,  2,,,A8879,04,A9608,04,82,2,92,261,3,2,88,2.1,110.6,2,79,83,,0,0,,0.049,,,,,,,,Poly
03WN00015,103050422,03,H0422,05,2,88,30,e10,8,2,1,1.0,1,1,1,93,224,131,5,8.3,65,86,0.593,79,1,1,,,0,M,.,,X,A8579,04,A9322,04,84,3,93,260,3,2,94,2.1,112.8,3,94,,,0,0,,0.06,,,,,,,,Poly
03WN00016,103050424,03,H0424,05,1,88,30,e10,8,2,1,1.0,1,1,1,93,224,131,4,10.6,78,109,0.751,101,1,1,,,0,M,.,,,A8579,04,P0083,05,83,1,,,3,2,100,2.1,117.2,1,111,,,0,0,,0.028,,,,,,,,
03WN00017,103050426,03,H0426,05,3,88,30,e12,5,1,1,1.0,1,1,1,94,224,130,5,8.7,57,88,0.61,82,1,1,,,0,M,.,,,A8820,04,P0204,05,84,3,93,260,1,1,0,2.0,113.4,3,96,,,0,0,,0.041,,,,,,,,W.
03WN00018,103050427,03,H0427,05,1,88,30,e13,8,2,2,1.0,1,1,1,94,224,130,8,8.9,49,76,0.516,71,1,1,,,0,M,.,,,A8879,04,A9927,04,84,3,93,258,5,7,91,2.1,129.0,3,80,,,0,0,,0.054,,,,,,,,
03WN00019,103050428,03,H0428,05,2,88,30,e13,8,2,2,1.0,1,1,1,94,224,130,8,12.8,66,95,0.632,89,1,1,,,0,M,.,e10,,A8879,04,A9927,04,84,1,,,5,3,107,2.1,129.0,1,98,,,0,0,,0.054,,,,,,,,Poly
03WN00020,103050429,03,H0429,05,3,88,30,e13,8,2,1,1.0,1,1,1,94,224,130,2,9.0,63,86,0.592,80,1,1,,,0,M,.,,,A8879,04,P0323,05,83,3,93,260,3,2,0,2.1,113.0,3,90,,,0,0,,0.041,,,,,,,,W.
03WN00021,103050432,03,H0432,05,2,88,30,e13,8,2,1,1.0,1,1,1,95,224,129,9,11.0,69,92,0.628,86,1,1,,,0,M,.,e10,,A8879,04,P0075,05,83,1,,,3,2,99,2.1,114.2,1,103,,,0,0,,0.059,,,,,,,,Poly
03WN00022,103050436,03,H0436,05,3,88,30,e13,8,2,1,1.0,1,1,1,94,224,130,3,6.8,56,78,0.548,73,1,1,,,0,M,.,,,A8879,04,A9677,04,81,3,93,260,3,2,0,2.1,111.6,3,92,,,0,0,,0.074,,,,,,,,W.
03WN00023,103050437,03,H0437,05,3,88,30,e13,5,1,1,1.0,1,1,1,94,224,130,10,11.7,83,103,0.702,96,1,1,,,0,M,.,,,A8879,04,A9471,04,84,3,93,260,1,1,0,2.0,116.2,3,118,,,0,0,,0.064,,,,,,,,W.
03WN00024,103050439,03,H0439,05,2,88,30,e13,8,2,1,1.0,1,1,1,94,224,130,7,8.5,69,100,0.704,93,1,1,,,0,M,.,e10,,A8879,04,A9318,04,83,1,,,3,2,103,2.1,115.6,1,106,,,0,0,,0.054,,,,,,,,Poly
03WN00025,103050440,03,H0440,05,1,88,30,e10,5,1,1,1.0,1,1,1,94,224,130,10,11.5,72,84,0.558,78,1,1,,,0,M,.,,,A8579,04,A9910,04,84,3,93,258,1,1,87,2.0,112.6,3,91,,,0,0,,0.051,,,,,,,,
03WN00026,103050441,03,H0441,05,1,88,30,e12,8,2,2,1.0,1,1,1,95,224,129,13,5.8,43,66,0.467,62,1,1,,,0,M,.,,DEAD,A8820,04,A9307,04,81,6,01,203,5,7,84,2.1,123.4,6,0,,,0,0,,0.063,,,,,,,,
03WN00027,103050442,03,H0442,05,2,88,30,e12,8,2,2,1.0,1,1,1,95,224,129,3,8.4,54,75,0.516,70,1,1,,,0,M,.,,X,A8820,04,A9307,04,81,3,93,260,5,3,95,2.1,123.4,3,76,,,0,0,,0.063,,,,,,,,Poly
03WN00028,103050443,03,H0443,05,1,88,30,e13,8,2,2,1.0,1,1,1,96,224,128,16,10.2,46,72,0.483,68,1,1,,,0,M,.,,,A8879,04,P0208,05,81,3,93,258,5,4,87,2.1,122.6,3,79,,,0,0,,0.065,,,,,,,,
03WN00029,103050444,03,H0444,05,2,88,30,e13,8,2,2,1.0,1,1,1,96,224,128,7,8.6,41,63,0.425,60,1,1,,,0,M,.,,,A8879,04,P0208,05,81,3,93,260,5,6,89,2.1,122.6,3,65,,,0,0,,0.065,,,,,,,,Poly
03WN00030,103050445,03,H0445,05,3,88,30,e12,8,2,2,1.0,1,1,1,96,224,128,9,6.4,41,68,0.481,64,1,1,,,0,M,.,,HAIRY,A8820,04,A9180,04,82,3,93,260,5,4,0,2.1,122.4,3,75,,,0,0,,0.068,,,,,,,,W.
03WN00031,103050446,03,H0446,05,3,88,30,e12,8,2,2,1.0,1,1,1,96,224,128,1,5.0,41,67,0.484,63,1,1,,,0,M,.,,RAT,A8820,04,A9180,04,82,3,93,260,5,6,0,2.1,122.4,3,71,,,0,0,,0.068,,,,,,,,W.
