UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY
04WN00001,104050745,04,H0745,05,2,82,30,11P,3,4,1,6.5,6,4,1,83,216,133,2,6.0,0,93,0.654,84,1,1,,,0,C,.,e11,,A9750,04,A4801,04,73,1,,,7,2,104,3.25,135.7,1,101,103,,0.035,
04WN00002,104050746,04,H0746,05,1,83,30,02P,9,3,2,5.0,5,4,1,88,216,128,14,8.2,0,91,0.647,86,1,1,,,0,W,.,,"UGLY, X",A8647,04,90684,09,88,3,97,244,8,5,95,2.15,126.6,7,0,,,0.03,
04WN00003,104050747,04,H0747,05,2,83,30,02P,9,3,2,5.0,5,4,1,88,216,128,22,8.7,0,87,0.612,82,1,1,,,0,W,.,e10,,A8647,04,90684,09,88,1,,,8,5,99,2.15,126.6,1,104,106,,0.03,
04WN00004,104050748,04,H0748,05,1,83,30,02P,5,1,1,3.0,3,3,1,88,216,128,8,11.5,0,111,0.777,105,1,1,,,0,W,.,,tb=1,A8647,04,A8752,04,83,3,93,259,1,1,102,2.03,122.0,3,123,,,0.049,
04WN00005,104050749,04,H0749,05,2,83,30,04P,9,3,2,3.0,3,3,1,88,216,128,20,7.1,0,77,0.546,73,1,1,,,0,W,  1,,,A9232,04,A8456,04,84,2,92,267,8,5,91,2.31,120.0,2,93,96,,0.051,
04WN00006,104050750,04,H0750,05,1,83,30,04P,9,3,2,3.0,3,3,1,88,216,128,6,6.2,0,74,0.53,70,1,1,,,0,W,.,,,A9232,04,A8456,04,84,3,93,259,8,5,85,2.31,120.0,3,83,,,0.051,
04WN00007,104050752,04,H0752,05,1,82,30,14P,8,2,2,5.5,5,4,1,88,216,128,6,10.4,0,96,0.669,91,1,1,,,0,C,.,,,A9963,04,A5770,04,73,1,,,5,5,109,2.15,154.2,1,112,,,0.042,
04WN00008,104050753,04,H0753,05,2,82,30,14P,8,2,2,5.5,5,4,1,88,216,128,18,11.2,0,88,0.6,83,1,1,,,0,C,.,e11,,A9963,04,A5770,04,73,1,,,5,5,112,2.15,154.2,1,101,104,,0.042,
04WN00009,104050754,04,H0754,05,1,82,30,14P,9,3,3,4.0,4,4,1,88,216,128,25,10.2,0,83,0.569,78,1,1,,,0,C,.,,,A9963,04,A7609,04,82,3,93,259,9,8,103,2.48,152.8,3,92,,,0.104,
04WN00010,104050755,04,H0755,05,2,82,30,14P,9,3,3,4.0,4,4,1,88,216,128,21,9.6,0,83,0.573,78,1,1,,,0,C,.,e10,,A9963,04,A7609,04,82,1,,,9,8,108,2.48,152.8,1,97,99,,0.104,
04WN00011,104050756,04,H0756,05,1,82,30,14P,9,3,3,4.0,4,4,1,88,216,128,5,10.0,0,91,0.633,86,1,1,,,0,C,.,,,A9963,04,A7609,04,82,1,,,9,8,106,2.48,152.8,1,104,,,0.104,
04WN00012,104050757,04,H0757,05,3,82,30,11P,9,3,1,2.0,2,2,1,88,216,128,11,6.8,0,90,0.65,85,1,1,,,0,C,.,,,A9750,04,A9235,04,84,3,93,275,7,2,0,2.41,109.1,3,106,,,0.073,
04WN00013,104050758,04,H0758,05,2,83,30,02P,8,2,1,2.0,2,2,1,88,216,128,21,6.8,0,73,0.517,69,1,1,,,0,W,  6,,BRITCHY,A8647,04,P0076,05,83,2,92,267,3,2,87,2.07,116.0,2,87,85,,0.07,
04WN00014,104050760,04,H0760,05,2,83,30,01P,8,2,2,2.0,2,2,1,89,216,127,16,8.0,0,73,0.512,69,1,1,,,0,W,.,,"X, HAIRY",A7284,04,A9964,04,83,3,93,275,5,5,93,2.24,127.8,3,90,,,0.046,
04WN00015,104050761,04,H0761,05,2,83,30,01P,8,2,2,2.0,2,2,1,89,216,127,4,8.9,0,79,0.552,75,1,1,,,0,W,.,e10,,A7284,04,A9964,04,83,1,,,5,5,96,2.24,127.8,1,96,98,,0.046,
