UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
11WN00001,2011829814,11,X9814,82,3,,00,71,5,1,1,2.0,2,2,1,24,199,175,0,12.1,,95,0.474,69,5,1,,,0,.,.,,H.SPECKLENOSE,X0000,00,X7996,82,.,3,93,272,1,1,,,,,113,,,0.0,,,0
11WN00002,2011829817,11,X9817,82,2,,SC,22,5,1,1,3.0,3,3,1,69,199,130,0,8.8,,87,0.602,81,5,1,,,0,.,Mat,e16,4TEATS.SCOURS,X7352,82,K4251,64,6M,1,,0,1,1,,,,,113,,,0.0,,,0
11WN00003,2011700242,11,L0242,70,2,,PC,9,5,1,1,3.0,3,3,1,71,199,128,0,13.1,,98,0.663,93,5,1,,,0,.,TSC,e15,NICE SL E R E,X7737,82,X7088,82,99,1,,0,1,1,,,,,124,,,0.005,,,0
11WN00004,2011700243,11,L0243,70,2,,PC,4,5,1,1,2.0,2,2,1,71,199,128,0,9.9,,92,0.641,87,5,1,,,0,.,STC,e15,.,X6640,82,X7310,82,.,1,,0,1,1,,,,,112,,,0.0,,,0
11WN00005,2011453541,11,T3541,45,2,,02,29,8,2,2,4.0,4,4,1,72,199,127,0,9.0,,47,0.299,45,1,1,,,7,.,.,,3T  SCOURS,T1926,45,T1518,45,48,1,,0,5,5,,,,,71,,,0.015,,,0
11WN00006,2011453542,11,T3542,45,1,,02,29,8,2,2,4.0,4,4,1,72,199,127,0,9.7,,69,0.467,66,1,1,,,7,.,.,,.,T1926,45,T1518,45,48,3,93,230,5,5,,,,,79,,,0.015,,,0
11WN00007,2011829818,11,X9818,82,2,,S3,23,8,2,1,2.0,2,2,1,72,199,127,0,6.9,,68,0.481,65,5,1,,,0,.,TC,e7,E2E,X5140,82,X7491,82,.,1,,0,3,2,,,,,98,,,0.0,,,0
11WN00008,2011829820,11,X9820,82,2,,00,12,5,1,1,2.0,2,2,1,72,199,127,0,13.1,,95,0.645,91,1,1,,,1,.,BLK,,3T.HAIRY.NICE,H5144,05,X7511,82,.,3,93,272,1,1,,,,,114,,,0.0,,,0
11WN00009,2011700244,11,L0244,70,1,,PC,13,8,2,1,2.0,2,2,1,72,199,127,0,9.4,,88,0.619,84,5,1,,,0,.,.,,4T NICE,X7353,82,X7359,82,.,3,93,230,3,2,,,,,95,,,0.011,,,0
11WN00010,2011700246,11,L0246,70,1,,PC,9,8,2,2,2.0,2,2,1,72,199,127,0,8.4,,51,0.335,49,5,2,,,0,.,.,,.,X7737,82,X7297,82,.,3,93,230,5,4,,,,,61,,,0.006,,,0
