UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDAR
20WN00001,2020060716,20,A0716,06,2,,30,23,9,3,1,2.0,2,2,O,68,196,128,,9.0,  0,94,0.664,89,1,1,,,0,,,,.,A0714,00,A0236,06,,3,93,292,7,2,,,,,,,,,0.0,Trip,Or,
20WN00002,2020060717,20,A0717,06,2,,30,23,9,3,2,2.0,2,2,1,68,195,127,,7.6,  0,56,0.381,53,1,1,,,0,,,,.,A0714,00,A0236,06,,3,93,255,8,5,,,,,73,244,,,0.0,Tr>X,,
20WN00003,2020060718,20,A0718,06,2,,30,23,9,3,2,2.0,2,2,1,68,195,127,,7.2,  0,57,0.392,54,1,1,,,0,,,,.,A0714,00,A0236,06,,3,93,315,8,5,,,,,74,244,,,0.0,Trip,,
20WN00004,2020060719,20,A0719,06,1,,30,28,9,3,2,5.0,5,4,1,69,195,126,,10.5,  0,79,0.544,76,1,1,1,2,,,,,.,M0031,51,H9134,05,,1,01,265,8,5,,,,6,99,218,,,0.037,,,
20WN00005,2020060720,20,A0720,06,2,,30,28,9,3,2,5.0,5,4,1,69,195,126,,8.9,  0,72,0.501,69,1,1,,,,,,e6,.,M0031,51,H9134,05,,1,,,8,6,,,,,96,244,,,0.037,,,
20WN00006,2020060721,20,A0721,06,2,,30,25,9,3,2,5.0,5,4,1,69,195,126,,8.0,  0,78,0.556,75,1,1,,,0,.,,,.,H9421,05,H8988,05,,3,93,315,8,5,,,,,98,244,,,0.032,Trip,,
20WN00007,2020060722,20,A0722,06,2,,30,25,9,3,2,5.0,5,4,1,69,195,126,,7.8,  0,74,0.525,71,1,1,,,0,.,,,.,H9421,05,H8988,05,,3,93,255,8,5,,,,,90,244,,,0.032,Tr>X,,
20WN00008,2020060725,20,A0725,06,2,,30,21,9,3,2,6.0,6,4,1,69,195,126,,11.0,  0,69,0.46,66,1,1,,,,,,,.,A0209,06,H8765,05,,3,93,255,8,4,,,,,86,244,,,0.033,Tr>X,,
20WN00009,2020060726,20,A0726,06,2,,30,21,9,3,2,6.0,6,4,1,69,195,126,,9.4,  0,70,0.481,67,1,1,,,,,,,.,A0209,06,H8765,05,,3,93,255,8,5,,,,,89,244,,,0.033,Tr>X,,
20WN00010,2020060727,20,A0727,06,3,,30,23,8,2,2,2.0,2,2,1,70,195,125,,6.8,  0,68,0.49,66,1,1,,,,,,,1ST,A0714,00,A0070,06,,3,93,255,5,5,,,,,84,244,,,0.0,,,
