UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,C4445,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
50WN00001,50,2,3041,1,61,600,2532,1,11,29,1,2,75,135,1,3,06,1,62,11,03,06,10,033,08,,,,,2,2,,396,07,05,11,1,1,,4,,1,131,86,,1,,0,2
50WN00002,50,2,3042,1,34,340,2571,1,11,00,1,2,73,133,2,1,07,1,70,10,03,06,08,036,06,,,,,2,2,,453,09,20,11,1,1,,0,,1,132,98,1,1,,0,2
50WN00003,50,2,3043,1,34,340,2332,1,11,00,5,3,73,133,1,5,06,1,65,08,03,05,10,031,05,2,,,,1,2,,426,09,32,11,5,2,,0,,1,146,84,,1,,0,3
50WN00004,50,2,3044,1,34,340,2332,1,11,00,5,3,73,133,1,4,08,1,63,08,03,05,06,032,07,2,,,,2,3,,421,09,32,11,5,2,,0,,1,136,70,2,2,76,0,3
50WN00005,50,1,3045,1,32,320,2608,1,11,00,1,2,73,133,1,5,07,1,71,14,04,06,07,029,07,3,,,,1,2,,462,09,17,11,1,1,,1,,1,100,96,,3,10,0,2
50WN00006,50,2,3046,1,34,340,1996,1,11,00,4,4,72,132,1,7,07,1,55,12,03,07,09,030,09,,,,,3,2,,371,10,27,11,3,3,,0,,1,106,60,,3,37,0,4
50WN00007,50,1,3047,1,34,340,1996,1,11,00,3,4,72,132,1,7,06,1,95,08,03,04,06,031,05,2,,,,3,3,,653,10,27,11,3,3,,0,,1,158,88,,1,,0,4
50WN00008,50,2,3048,1,34,340,2518,1,11,00,1,2,72,132,1,3,07,1,69,10,03,05,06,031,07,1,,,,2,2,,458,10,28,11,1,1,,0,,1,123,86,,1,,0,2
50WN00009,50,1,3050,1,23,231,2561,1,11,17,1,2,72,132,1,7,07,1,75,13,03,10,09,032,06,,,,,1,2,,492,10,15,11,1,1,,1,,1,129,100,,3,57,0,2
50WN00010,50,2,3051,1,34,340,2241,1,11,00,1,3,72,132,1,3,05,1,85,13,03,04,08,029,10,,,,,2,3,,568,10,24,11,1,1,,0,,1,126,100,2,1,,0,3
50WN02162,50,2,1642,7,61,035,0959,8,68,,5,2,48,108,1,1,10,1,68,08,03,07,08,031,09,5,7,3,,2,3,,543,34,,67,5,2,,4,,5,,94,,1,,0,2
50WN02163,50,1,1643,7,61,065,0875,8,68,,1,2,35,95,1,1,05,1,81,14,03,06,07,034,06,6,7,2,,,,,758,,,67,1,1,,4,,5,,90,,3,17,0,2
50WN02164,50,2,0409,9,61,161,1328,9,66,,5,3,53,113,2,1,09,3,55,09,03,08,10,038,07,5,7,3,,,,,402,,,69,5,2,,4,,5,,96,1,2,01,0,3
50WN02165,50,1,0410,9,61,161,1328,9,66,,5,3,53,113,1,4,08,1,48,12,03,08,11,030,07,5,7,3,,,,,326,,,69,5,2,,4,,5,,112,,3,17,0,3
50WN02166,50,1,0411,9,61,171,1333,9,66,,1,3,51,111,1,1,05,1,102,15,04,05,07,034,08,5,6,2,,,,,800,,,69,1,1,,4,,5,,132,,3,17,0,3
50WN02167,50,1,0412,9,61,171,1327,9,66,,3,3,51,111,1,1,06,1,81,08,03,06,08,040,07,5,6,2,,,,,652,,,69,3,3,,4,,5,,86,,3,17,0,3
50WN02168,50,2,6404,3,61,600,5590,3,17,,1,2,61,121,1,1,06,1,68,12,03,07,08,030,05,3,,,,,,,471,,,17,1,1,,4,,1,,110,,,,0,2
50WN02169,50,2,7918,6,10,150,6877,6,60,,1,2,53,113,1,1,06,1,68,12,03,06,08,038,,4,6,3,,,,,526,29,,60,1,1,,0,,5,,86,,1,,0,2
50WN02170,50,2,7919,6,08,130,6960,6,60,,1,2,53,113,1,1,06,1,72,09,03,04,07,052,,8,9,2,,,,,542,29,,60,1,1,,0,,5,,108,,1,,0,2
50WN02171,50,2,6495,3,00,000,5301,3,17,00,1,4,42,102,1,4,07,2,82,10,03,04,06,033,,4,5,2,,,,,696,,,17,1,1,,0,,5,145,110,,1,,0,4
