UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,SIRE,LBRD,ADG,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
54WN00001,54,1,1708,0,00,000,9480,2,13,,6,6,84,144,1,6,05,1,108,11,03,06,07,040,12,2,2,1,32,,,,,10,688,5,2,,0,4,1,165,90,,3,17,0,4
54WN00002,54,1,1709,0,00,000,9480,2,13,,5,6,84,144,1,7,07,1,100,11,06,05,05,036,12,1,2,2,32,,,,,10,611,5,2,,0,5,1,138,120,,3,17,0,4
54WN00003,54,2,1710,0,69,359,1704,0,10,,1,2,78,138,1,4,05,1,84,13,03,05,06,037,11,2,3,2,33,,,1,,10,533,1,1,,4,,1,128,104,,1,,0,2
54WN00004,54,1,1711,0,69,328,1668,0,10,,2,2,76,136,1,4,11,1,76,10,03,09,12,028,14,2,2,1,30,,,,,10,497,1,1,,4,1,1,144,84,,3,10,0,2
54WN00005,54,2,1712,0,69,399,1667,0,10,,1,2,76,136,1,5,05,1,87,09,03,04,07,038,12,2,2,1,32,,,1,,10,560,1,1,,4,,1,155,108,,1,,0,2
54WN00006,54,1,1713,0,69,508,1641,0,10,,5,5,75,135,1,7,08,1,73,15,04,07,09,035,11,2,3,2,32,,,,,10,462,5,2,,4,1,1,113,106,,3,10,0,4
54WN00007,54,2,1714,0,69,508,1641,0,10,,5,5,75,135,1,3,07,1,70,15,10,10,07,032,11,2,2,1,31,,,,,10,441,5,2,,4,,1,83,104,,2,10,0,4
54WN00008,54,1,1715,0,69,298,1685,0,10,,1,2,75,135,1,7,09,1,87,09,04,06,09,033,12,2,2,1,36,,,,,10,553,1,1,,4,4,1,152,124,,3,10,0,2
54WN00009,54,1,1716,0,69,368,1625,0,10,,3,8,75,135,1,7,07,1,85,11,03,07,08,033,14,2,2,1,29,,,,,10,556,3,3,,4,1,1,140,100,,3,10,0,5
54WN00010,54,2,1717,0,69,368,1625,0,10,,4,8,75,135,1,3,05,1,75,09,04,06,07,036,14,2,3,2,28,,,1,,10,490,3,3,,4,,1,138,88,,1,,0,5
54WN02743,54,2,1774,7,75,196,0885,8,68,,5,6,56,116,1,1,07,1,71,07,03,07,09,044,10,4,5,2,30,,,1,,67,536,5,2,,9,,9,132,88,,1,,0,4
54WN02744,54,1,1775,7,75,196,0885,8,68,,5,6,56,116,1,4,07,1,104,11,04,05,06,048,9,5,8,4,25,,,,,67,810,5,2,,9,4,9,148,100,,2,17,0,4
54WN02745,54,1,1777,7,75,036,0843,8,68,,5,6,55,115,2,1,05,1,80,09,03,06,11,055,8,5,6,2,25,,,,,67,588,5,2,,9,4,9,139,124,,2,17,0,4
54WN02746,54,2,1778,7,75,036,0843,8,68,,5,6,55,115,1,1,06,1,82,09,03,06,06,048,7,4,5,2,21,,,1,,67,612,5,2,,9,,9,142,116,,1,,0,4
54WN02747,54,2,1779,7,75,096,0937,8,68,,5,6,55,115,1,1,11,1,63,08,03,10,10,045,9,3,4,2,30,,,1,,67,443,5,2,,9,,9,137,120,,1,,0,4
54WN02748,54,1,1780,7,75,096,0937,8,68,,5,6,55,115,1,1,07,1,66,13,03,09,11,042,11,4,6,3,27,,,,,67,461,5,2,,9,1,9,123,130,,3,12,0,4
54WN02749,54,2,1781,7,75,106,0968,8,68,,5,6,54,114,1,1,09,1,69,08,03,06,09,051,8,4,6,3,22,,,1,,67,512,5,2,,9,,9,136,106,,1,,0,4
54WN02750,54,2,1782,7,75,106,0968,8,68,,5,6,54,114,1,1,06,1,78,09,03,06,08,050,9,5,6,2,23,,,2,,67,598,5,2,,9,,9,138,98,,1,,0,4
54WN02751,54,2,1783,7,75,046,0983,8,68,,1,6,54,114,1,1,05,1,87,14,03,06,03,046,9,5,6,2,28,,,,,67,665,1,1,,9,,9,126,112,,2,10,0,4
54WN02752,54,2,0420,9,75,016,1333,9,66,,3,7,62,122,1,1,04,1,100,11,04,06,05,058,7,6,7,2,35,,,,,69,702,3,3,,9,,5,157,144,,2,10,0,5
