UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,CADAM_25,TBRE,CTBR,C53,SIRE,SB1,LBRD1,ADG,LBRD2,LBRD,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,C80
55WN00001,55,1,1801,0,69,258,1638,0,10,,1,7,77,137,1,7,07,1,105,12,04,06,05,037,9,2,2,1,28,5,1,1,,5055,1,1,673,0,10,68,4,3,1,137,128,,3,10,0,
55WN00002,55,1,1802,0,69,409,1691,0,10,,1,3,77,137,1,7,07,1,109,09,04,07,05,034,16,2,2,1,21,3,1,1,,0935,2,1,704,0,10,68,4,5,1,154,126,,,,0,
55WN00003,55,2,1803,0,69,358,1693,0,10,,1,3,77,137,1,3,07,1,85,10,03,06,05,035,15,2,3,2,27,3,1,1,1,0511,2,1,531,0,10,68,4,,1,134,122,,,,0,
55WN00004,55,1,1804,0,69,718,1704,0,10,,1,3,76,136,1,7,07,1,90,13,03,09,09,034,12,2,2,1,24,3,1,1,,7473,3,1,576,0,10,68,4,3,1,130,116,,3,10,0,
55WN00005,55,2,1806,0,69,498,1639,0,10,,1,6,76,136,1,2,07,3,87,11,04,08,07,038,15,2,2,1,21,4,1,1,1,1037,2,1,566,0,10,68,4,,1,136,100,,,,0,
55WN00006,55,1,1807,0,69,399,1701,0,10,,1,3,75,135,1,7,06,1,91,10,03,06,07,037,16,2,2,1,18,3,1,1,,1240,2,1,593,0,10,68,4,3,1,143,110,,,,0,
55WN00007,55,2,1808,0,69,468,1792,0,10,,1,2,74,134,1,3,06,1,76,11,04,07,06,032,16,2,3,2,25,2,1,1,,0693,2,1,494,0,10,68,4,,1,124,98,,7,,0,
55WN00008,55,1,1809,0,69,398,1654,0,10,,1,3,74,134,1,7,07,1,88,12,03,08,09,040,14,2,2,1,18,3,1,1,,0396,2,1,563,0,10,68,4,4,1,138,126,,,,0,
55WN00009,55,1,1810,0,69,408,1651,0,10,,1,3,74,134,1,7,06,1,88,09,05,10,08,032,16,2,3,2,21,3,1,1,,1209,2,1,569,0,10,68,4,1,1,138,118,,3,10,0,
55WN00010,55,1,1811,0,69,718,1797,0,10,,5,6,72,132,1,4,07,1,90,09,04,08,07,033,14,2,2,1,20,4,5,2,,7473,3,1,600,0,10,68,4,3,1,149,108,,,,0,
55WN02680,55,2,1809,7,73,186,0856,8,68,,3,7,57,117,1,1,08,1,84,09,03,07,05,045,6,4,6,3,26,5,3,3,1,9068,6,6,624,7,67,61,9,,9,136,110,,,,0,
55WN02681,55,1,1811,7,73,116,0875,8,68,,5,7,55,115,1,2,09,1,85,07,03,09,06,035,11,3,4,2,27,5,5,2,,9164,6,6,652,7,67,61,9,5,9,134,100,,3,17,0,
55WN02682,55,2,1812,7,73,116,0875,8,68,,5,7,55,115,1,1,09,1,76,10,03,08,05,039,11,3,5,3,25,5,5,2,,9164,6,6,577,7,67,61,9,,9,135,96,,2,44,0,
55WN02683,55,2,1814,7,73,046,0967,8,68,,3,7,55,115,1,1,09,1,81,10,03,06,03,055,7,5,6,2,25,5,3,3,1,9150,6,6,617,7,67,61,9,,9,135,100,,,,0,
55WN02684,55,1,1816,7,73,166,0969,8,68,,3,7,53,113,1,1,07,1,80,12,03,08,10,045,8,3,4,2,26,5,3,3,,8407,6,6,614,7,67,61,9,4,9,137,106,,3,17,0,
55WN02685,55,1,0955,6,86,025,8730,6,60,,1,3,69,129,1,1,08,2,108,12,03,06,05,048,8,4,6,3,25,3,1,1,,8774,6,6,752,1,61,85,7,,9,145,110,,3,17,0,
55WN02686,55,1,0954,6,84,075,9224,6,60,,1,2,39,99,1,2,08,1,66,09,03,08,09,049,8,5,7,3,25,2,1,1,,9197,6,6,576,1,61,83,7,,9,121,90,,3,17,0,
55WN02687,55,2,2029,5,00,230,3961,1,11,,1,2,31,91,1,2,08,1,70,11,04,10,10,038,11,3,4,2,25,2,1,1,,0000,6,4,659,8,48,23,0,,5,130,100,,2,17,,
55WN02688,55,2,8060,3,72,890,7424,3,17,,5,2,69,129,1,3,07,1,65,09,03,10,09,034,10,2,3,2,22,2,5,2,,7282,3,1,425,7,17,71,3,,1,145,102,,,,,
55WN02689,55,2,2358,2,28,280,8278,2,13,15,4,9,72,132,1,4,07,1,73,15,04,08,08,036,16,2,2,1,25,5,3,3,,0908,2,1,483,4,14,28,1,,1,111,92,,,,,
