UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4951,TBRE,CTBR,CADAM_25,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,C80
57WN00001,57,2,1991,0,69,581,1792,0,10,,5,4,80,140,1,1,07,1,61,13,03,09,10,030,13,1,2,2,,5,2,4,4150,1,,380,38,10,68,5,0,1,113,78,,2,,0,
57WN00002,57,1,1992,0,69,581,1792,0,10,,5,4,80,140,1,4,10,1,68,10,03,10,10,023,18,2,2,1,,5,2,4,4150,1,,423,42,10,68,5,3,1,129,88,,3,10,0,
57WN00003,57,1,1993,0,69,469,1760,0,10,,3,3,79,139,2,7,11,1,82,13,03,09,09,030,13,1,2,2,,3,3,3,1575,2,,521,52,10,69,4,1,1,125,96,,3,12,0,
57WN00004,57,1,1995,0,69,348,1869,0,10,,1,2,78,138,1,7,09,1,87,09,05,09,08,035,20,1,2,2,,1,1,2,4375,1,,561,56,10,69,4,1,1,142,96,,3,10,0,
57WN00005,57,2,1996,0,69,671,1638,0,10,,1,9,78,138,1,1,07,1,82,09,03,06,08,038,16,2,2,1,,1,1,5,2504,2,,523,52,10,68,5,3,1,145,98,,,,0,
57WN00006,57,1,1998,0,69,701,1671,0,10,,5,5,78,138,1,4,10,1,76,07,03,09,09,034,18,2,3,2,,5,2,4,2724,2,,480,48,10,68,5,0,1,158,98,,,,0,
57WN00007,57,2,1999,0,69,701,1671,0,10,,5,5,78,138,1,1,10,1,79,08,03,08,09,027,18,2,2,1,,5,2,4,2724,2,,504,50,10,68,5,4,1,153,94,,,,0,
57WN00008,57,2,2000,0,69,398,1728,0,10,,1,3,77,137,1,3,07,1,88,11,04,08,08,047,14,2,2,1,,1,1,3,0396,2,,556,55,10,69,4,6,1,144,118,,,,0,
57WN00009,57,2,2001,0,69,691,1688,0,10,,1,5,77,137,1,1,09,1,90,08,03,07,07,040,16,2,2,1,,1,1,4,2756,2,,569,56,10,68,5,9,1,157,120,,,,0,
57WN00010,57,1,2002,0,69,348,1731,0,10,,1,3,77,137,1,7,07,1,96,09,05,08,08,039,13,2,4,3,,1,1,3,4375,1,,609,60,10,69,4,9,1,151,126,,3,10,0,
57WN02572,57,2,2096,6,10,100,8167,6,60,12,3,6,40,100,2,1,10,1,71,08,03,08,08,048,11,3,4,2,,3,3,4,9858,6,,620,62,61,10,1,0,9,144,90,,,,0,
57WN02573,57,1,2098,6,73,066,1673,7,67,,1,6,37,97,1,4,05,1,83,07,03,07,08,051,9,5,8,4,,1,1,4,0340,6,,722,72,61,61,9,2,9,133,130,,3,36,0,
57WN02574,57,2,1824,7,73,056,0998,8,68,,1,9,55,115,3,1,08,2,87,09,03,06,07,042,10,4,6,3,,1,1,5,9744,6,,654,65,67,61,9,4,9,130,118,,2,,0,
57WN02575,57,2,1034,8,00,242,9290,4,40,,1,2,51,111,1,1,07,1,67,12,04,09,07,038,10,3,4,2,,1,1,2,,,,519,51,68,65,0,9,9,128,94,,2,,0,
57WN02576,57,2,1035,8,00,322,6672,4,40,,1,5,49,109,2,1,09,2,84,09,03,07,07,050,11,4,4,1,,1,1,4,,,,688,68,68,62,0,8,9,139,90,,2,,0,
57WN02577,57,1,9018,3,72,965,6917,3,17,,3,5,70,130,1,7,09,1,96,09,05,09,08,032,13,2,2,1,,3,3,4,8193,3,,648,64,17,71,3,8,5,,118,,,,0,
57WN02578,57,1,9152,3,72,935,7528,3,17,,1,4,64,124,1,4,09,1,98,09,03,08,08,040,14,2,2,1,,1,1,4,8197,3,,685,68,17,71,3,5,5,,130,,,,0,
57WN02579,57,1,1036,8,00,242,6699,4,40,,5,5,47,107,2,1,09,1,83,14,03,08,09,040,9,2,3,2,,5,2,4,,,,673,67,68,62,0,3,9,150,110,,3,17,0,
57WN02580,57,1,1037,8,00,242,6699,4,40,,5,5,47,107,1,1,09,1,73,12,03,09,10,042,14,3,4,2,,5,2,4,,,,589,58,68,62,0,9,9,140,100,,3,17,0,
57WN02581,57,2,1038,8,00,302,7136,4,40,,1,4,46,106,2,1,09,1,79,08,03,07,09,047,9,5,6,2,,1,1,4,,,,649,64,68,62,0,9,9,129,102,,2,,0,
