UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4953,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM_25,TBRE,CTBR,C79,C80
58WN00001,58,2,2076,0,00,325,0536,2,14,,5,6,99,159,1,1,05,2,72,08,04,09,07,037,16,2,2,1,,,,,405,33,10,51,0,0,1,117,76,,2,4,5,2,0,-
58WN00002,58,2,2077,0,00,325,0536,2,14,,5,6,99,159,1,1,05,1,61,09,03,10,09,036,14,1,2,2,,,,,343,28,10,51,0,0,1,109,64,,2,4,5,2,0,-
58WN00003,58,2,2079,0,00,805,7712,3,17,,3,4,99,159,1,1,08,1,62,11,04,09,10,048,14,2,4,3,,,,,351,28,10,72,0,8,1,100,62,,2,4,3,3,0,-
58WN00004,58,1,2082,0,00,660,7372,3,17,,1,5,99,159,1,6,05,2,83,12,04,09,08,038,16,2,2,1,,,,,464,38,10,62,0,8,1,99,92,,3,4,1,1,0,-
58WN00005,58,2,2084,0,00,490,1284,2,14,,1,5,99,159,1,1,04,1,86,10,03,07,06,046,13,2,2,1,,,,,464,39,10,49,0,1,1,120,122,,2,4,1,1,0,-
58WN00006,58,2,2085,0,00,220,1203,2,14,,5,5,99,159,1,6,11,2,86,10,03,09,09, 45,16,1,2,2,,,,,488,39,10,22,0,2,7,134,84,,,4,5,2,0,-
58WN00007,58,1,2086,0,00,220,1203,2,14,,5,5,99,159,1,7,10,2,115,10,03,08,09, 40,14,2,2,1,,,,,664,53,10,22,0,3,7,155,94,,3,4,5,2,0,-
58WN00008,58,2,2087,0,00,835,7005,3,17,,5,6,99,159,1,3,05,2,100,09,05,06,07,047,13,2,2,1,,,,,560,47,10,71,0,1,1,141,110,,2,4,5,2,0,-
58WN00009,58,2,2088,0,00,835,7005,3,17,,5,6,99,159,1,1,09,1,83,11,04,10,08,045,14,2,3,2,,,,,459,38,10,71,0,6,1,124,100,,2,4,5,2,0,-
58WN00010,58,1,2089,0,00,720,8245,3,17,,1,3,99,159,1,6,06,1,94,10,03,07,09,039,11,2,3,2,,,,,523,44,10,70,0,0,1,123,108,,3,3,1,1,0,-
58WN02773,58,3,0032,9,00,122,6806,4,40,,5,6,23,83,4,2,09,2,57,15,03,09,09,038,7,4,4,1,,,,,554,55,90,12,0,4,7,128,110,,3,4,5,2,0,-
58WN02774,58,2,0033,9,00,122,6806,4,40,,5,6,23,83,5,1,10,2,46,13,03,10,10,034,9,2,3,2,,,,,422,42,90,12,0,2,7,127,110,,3,4,5,2,0,-
58WN02775,58,3,0034,9,00,723,1404,6,61,,1,2,28,88,5,1,07,1,59,10,03,09,09,040,10,4,5,2,,,,,557,55,90,75,0,7,9,116,100,,3,2,1,1,0,-
58WN02776,58,2,0035,9,00,182,1136,4,41,19,1,2,28,88,5,1,09,1,59,10,03,11,08,034,12,3,3,1,,,,,557,55,90,18,0,7,9,138,100,,3,2,1,1,0,-
58WN02777,58,3,0038,9,00,092,8422,4,40,,1,4,67,127,5,2,09,1,69,09,04,07,06,036,10,3,3,1,,,,,465,46,90,09,0,5,9,107,100,,3,4,1,1,0,-
58WN02778,58,2,2157,6,05,050,8900,6,60,27,5,6,65,125,1,1,07,4,82,09,03,05,07,056,10,5,6,2,,9511,6,,555,55,61,05,1,5,5,,126,,,4,5,2,0,
58WN02779,58,2,9270,3,72,895,7163,3,17,,4,5,78,138,1,1,08,1,73,09,03,10,09,039,14,2,2,1,,8741,3,,458,45,17,71,3,8,1,,98,,,4,3,3,0,
58WN02780,58,1,3082,4,17,172,8643,4,40,22,1,4,58,118,1,1,08,2,77,05,03,09,10,043,10,4,4,1,,8875,4,,554,55,41,17,1,4,9,,116,,3,4,1,1,0,
58WN02781,58,2,3359,4,00,,6364,4,40,,9,7,48,108,1,1,07,1,59,12,03,09,09,044,10,4,5,2,,,,,472,47,41,11,0,2,9,,80,,2,5,8,2,0,
58WN02782,58,3,0030,9,00,182,7343,4,40,,5,5,23,83,5,1,09,1,61,14,04,08,09,034,9,3,3,1,,,,,600,60,90,18,0,0,7,,112,,3,4,5,2,0,-
