UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,CADAM_27,C28,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,LBRD,DB2,C52,CADAM_25,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,CJAW,CADAM_12,TBRE,CTBR,TM2,DISP
61WN00001,61,2,2478,0,00,000,3893,1,14,23,1,4,47,107,1,1,4,2,1,88,10,03,08,08,051,38,3,3,1,10,4,,4,,,748,74,07,53,0,8,1,177,80,,4,1,1,1,0,2
61WN00002,61,2,2479,0,00,000,1877,4,41,,1,4,73,133,1,1,4,2,2,80,09,03,06,07,058,35,2,3,2,10,1,,4,,,526,52,21,18,0,6,1,116,100,,5,1,1,1,0,2
61WN00003,61,2,2480,0,69,428,2021,1,10,,1,4,71,131,1,1,4,,1,79,12,06,09,08,034,28,1,2,2,10,0,,4,0122,91,527,52,,69,4,7,1,116,100,,4,1,1,1,4,
61WN00004,61,1,2481,0,69,478,2183,1,10,,1,3,69,129,1,7,3,,1,87,13,07,10,09,035,4,2,2,1,10,0,,3,2461,14,578,57,,69,4,8,1,115,124,,4,1,1,1,4,3
61WN00005,61,1,2482,0,69,198,2232,1,10,,1,2,68,128,1,6,2,,1,96,09,04,06,07,043,30,2,2,1,10,0,,2,5223,11,661,66,,69,4,1,1,163,114,,4,2,1,1,4,3
61WN00006,61,1,2483,0,69,418,1972,1,10,,5,5,68,128,1,1,4,,2,88,12,04,09,10,042,12,2,2,1,10,0,,4,5403,14,613,61,,69,4,3,1,151,96,,5,1,5,2,4,9
61WN00007,61,2,2484,0,69,418,1972,1,10,,5,5,68,128,1,1,4,,1,67,10,04,09,09,037,33,2,2,1,10,0,,4,5403,14,447,44,,69,4,7,1,139,98,,4,1,5,2,4,2
61WN00008,61,1,2485,0,69,408,1962,1,10,,5,5,67,127,1,7,4,,1,88,10,03,10,09,037,8,2,2,1,10,0,,4,3087,14,620,62,,69,4,0,1,159,92,,4,1,5,2,4,3
61WN00009,61,2,2486,0,69,408,1962,1,10,,5,5,67,127,1,3,4,,1,77,11,03,09,09,036,27,2,2,1,10,0,,4,3087,14,526,52,,69,4,6,1,147,102,,4,1,5,2,4,
61WN00010,61,2,2487,0,69,518,2005,1,10,,1,4,67,127,1,3,4,,1,74,10,03,08,09,053,37,3,3,1,10,0,,4,4420,14,480,48,,69,4,0,1,152,130,,4,1,1,1,4,
61WN02741,61,3,0353,9,00,400,5077,1,14,,1,2,28,88,5,1,2,2,1,58,13,04,06,07,031,17,1,2,2,90,4,,2,,,514,51,27,40,0,4,3,131,128,,4,2,1,1,0,3
61WN02742,61,3,0354,9,00,018,1622,6,61,,1,4,31,91,5,1,4,2,1,57,10,03,08,09,033,14,2,3,2,90,1,,4,,,510,51,31,03,0,0,3,132,106,,4,1,1,1,0,3
61WN02743,61,2,0355,9,00,062,2677,4,41,,1,3,34,94,5,1,3,2,1,65,11,04,06,06,048,5,4,4,1,90,1,,3,,,570,57,24,06,0,0,3,151,114,,4,1,1,1,0,3
61WN02744,61,3,0356,9,00,378,2148,1,10,,5,3,24,84,5,3,3,2,2,71,11,03,07,09,031,1,3,3,1,90,0,,3,,,702,70,,69,0,2,3,161,120,,5,1,5,2,0,3
61WN02745,61,2,0357,9,00,378,2148,1,10,,5,3,23,83,5,1,3,2,5,59,11,03,06,10,040,1,4,4,1,90,0,,3,,,584,58,,69,0,4,7,161,105,,2,1,5,2,0,3
61WN02746,61,3,0358,9,00,940,7251,1,17,,1,8,22,82,5,1,5,2,1,76,14,11,07,09,034,1,4,4,1,90,7,,5,,,756,75,01,71,0,6,7,118,140,,4,1,1,1,0,3
61WN02747,61,3,0359,9,00,258,1806,1,10,,1,6,22,82,5,3,4,2,0,80,10,04,06,07,031,1,2,2,1,90,0,,4,,,815,81,,69,0,5,7,160,132,,4,1,1,1,0,3
61WN02748,61,2,0360,9,00,470,2310,1,14,,1,6,22,82,5,1,4,2,1,71,11,04,06,06,034,1,3,3,1,90,4,,4,,,710,71,18,47,0,0,7,152,128,,4,1,1,1,0,3
61WN02749,61,1,0800,3,70,710,9904,1,17,,1,2,64,124,1,2,2,,1,75,10,04,08,08,040,10,2,2,1,18,7,,2,9915,17,516,51,,70,2,6,2,,110,,,2,1,1,2,
61WN02750,61,2,5857,4,14,142,9457,4,40,24,5,6,74,134,1,1,4,,1,45,09,03,10,11,040,20,3,4,2,41,0,,4,3160,41,263,26,24,14,1,3,1,,98,,2,1,5,2,1,3
