UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TRT,BAND
63WN00001,63,3,2621,0,00,000,3497,6,61,,1,4,99,159,1,1,,3,89,10,03,06,08,089,1,7,9,3,,1,10,,,503,50,,71,0,3,3,123,90,,3,4,1,1,,1
63WN00002,63,3,2622,0,00,000,9738,8,80,,1,4,94,154,1,1,,1,98,08,04,06,07,049,35,2,2,1,,0,10,, 4,571,57,,61,0,1,3,119,100,,4,4,1,1,,1
63WN00003,63,3,2623,0,00,000,9740,8,80,,1,4,94,154,1,1,,2,107,08,03,07,06,069,23,5,5,1,,0,10,,,617,61,,61,0,7,3,134,120,,5,4,1,1,,1
63WN00004,63,2,2624,0,00,000,5247,4,41,,1,3,74,134,1,1,,1,105,05,03,05,07,078,40,5,6,2,,1,10,,,687,68,31,01,0,7,,206,130,,4,3,1,1,,1
63WN00005,63,2,2625,0,00,000,0000,,,,2,2,72,132,1,1,,2,64,07,03,08,09,053,12,3,4,2,,,10,,,430,43,,,0,0,3,109,72,,5,2,1,1,,1
63WN00006,63,3,2626,0,00,000,5999,1,14,,5,2,69,129,1,1,,2,54,13,04,11,10,036,15,2,2,1,,4,10,,,347,34,00,41,0,7,3,105,92,,5,2,5,2,,1
63WN00007,63,2,2627,0,00,000,5999,1,14,,5,2,69,129,1,1,,1,73,09,03,10,08,043,8,2,2,1,,4,10,,,501,50,00,41,0,1,,148,84,,4,2,5,2,,1
63WN00008,63,1,5881,1,82,215,5132,1,11,,5,5,75,135,1,7,,1,67,12,03,09,09,054,40,2,2,1,,1,11,5629,11,421,42,43,34,7,1,3,144,102,,4,4,5,2,,1
63WN00009,63,2,5882,1,82,215,5132,1,11,,5,5,75,135,1,3,,1,61,09,03,09,09,042,4,2,2,1,,1,11,5629,11,387,38,43,34,7,7,,141,88,,4,4,5,2,,1
63WN00010,63,1,5883,1,82,344,5616,1,11,,1,2,75,135,1,7,,1,60,15,03,10,11,054,36,2,2,1,,1,11,5648,11,385,38,35,21,7,5,3,120,80,,4,2,1,1,,1
63WN03243,63,3,1078,9,00,498,9361,8,80,,1,5,35,95,5,1,,1,88,05,03,05,07,031,1,2,2,1,,0,90,,,800,80,,61,0,0,3,170,120,,4,4,1,1,,3
63WN03244,63,3,1079,9,00,494,3488,1,14,,5,6,27,87,5,1,,1,72,06,04,07,08,047,7,3,3,1,,4,90,,,676,67,00,45,0,6,3,179,132,,4,4,5,2,,3
63WN03245,63,3,1080,9,00,494,3488,1,14,,5,6,27,87,5,1,,2,73,05,03,08,08,034,5,2,2,1,,4,90,,,687,68,00,45,0,7,3,180,132,,5,4,5,2,,3
63WN03246,63,2,1081,9,00,515,5331,1,14,,1,3,27,87,5,1,,2,54,06,03,08,10,032,20,3,3,1,,4,90,,,506,50,25,47,0,6,,165,100,,5,3,1,1,,3
63WN03247,63,3,1082,9,00,519,9422,8,80,,1,5,27,87,5,1,,1,65,06,03,08,10,042,21,2,2,1,,0,90,,,591,59,,61,0,1,3,162,136,,4,4,1,1,,3
63WN03248,63,3,1083,9,00,539,9600,8,80,,5,4,26,86,5,1,,1,61,06,03,08,10,040,3,2,2,1,,0,90,,,584,58,,61,0,4,3,134,108,,4,4,5,2,,3
63WN03249,63,3,1084,9,00,539,9600,8,80,,5,4,26,86,5,1,,1,55,08,03,09,10,035,20,2,3,2,,0,90,,,500,50,,61,0,0,3,125,120,,4,4,5,2,,3
63WN03250,63,1,6852,2,82,444,5513,1,14,,1,3,65,125,1,1,,2,97,10,03,09,09,042,5,2,2,1,,4,14,5808,14,679,67,,54,7,9,,,121,,,3,1,1,,2
63WN03251,63,1,8252,4,70,712,6131,4,41,,1,2,75,135,1,1,,1,109,09,03,08,08,050,25,3,3,1,,1,41,6164,41,689,68,,70,2,9,,,160,,,2,1,1,,1
63WN03252,63,2,0703,9,,096,2538,6,61,,5,5,94,154,5,1,,1,80,10,03,04,07,063,1,5,5,1,,1,90,,,438,43,,70,8,8,,,126,,5,4,5,2,,5
