UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TM2,BAND
64WN00001,64,2,2631,0,00,000,5382,6,61,,1,2,68,128,1,5,,1,90,10,07,06,06,053,7,2,3,2,5,1,10,,,618,61,,72,0,8,3,132,109,,4,2,1,1,0,1
64WN00002,64,1,5977,1,32,320,5619,1,11,26,5,3,64,124,1,1,,2,63,09,04,10,12,035,15,2,2,1,5,1,11,5785,11,440,44,25,32,1,0,6,137,84,,5,3,5,2,1,1
64WN00003,64,1,5978,1,32,320,5619,1,11,26,5,3,64,124,1,5,,1,68,09,04,10,10,028,28,1,2,2,5,1,11,5785,11,479,47,25,32,1,9,,133,86,,4,3,5,2,1,1
64WN00004,64,2,5979,1,24,240,5674,1,11,31,1,3,63,123,1,1,,2,86,08,05,08,07,041,26,2,2,1,1,1,11,5771,11,605,60,27,24,1,5,,142,116,,5,3,1,1,1,1
64WN00005,64,2,5980,1,21,210,5617,1,11,52,1,3,62,122,1,1,,1,73,09,04,09,09,048,36,2,2,1,1,1,11,5229,11,480,48,40,21,1,0,,147,144,,4,3,1,1,1,1
64WN00006,64,1,5981,1,20,200,4886,1,11,27,3,7,61,121,1,7,,2,75,09,04,08,09,039,17,2,2,1,3,1,11,5699,11,532,53,32,20,1,2,,143,106,,5,5,3,3,1,1
64WN00007,64,2,5983,1,24,240,5335,1,11,27,5,5,60,120,1,2,,1,76,11,04,07,07,046,16,3,6,4,5,1,11,5771,11,545,54,21,24,1,5,2,135,106,2,4,4,5,2,1,1
64WN00008,64,1,5984,1,24,240,5335,1,11,27,5,5,60,120,1,5,,1,82,12,05,09,10,031,5,2,2,1,5,1,11,5771,11,575,57,21,24,1,5,3,154,130,,4,4,5,2,1,1
64WN00009,64,1,5986,1,34,340,5514,1,11,44,3,4,60,120,1,7,,1,72,14,04,10,10,031,9,2,2,1,3,1,11,5780,11,515,51,45,34,1,5,,114,102,,4,4,3,3,1,1
64WN00010,64,2,5987,1,24,240,5128,1,11,31,1,6,60,120,1,1,,1,83,12,09,08,07,035,30,2,2,1,1,1,11,5771,11,588,58,28,24,1,8,2,101,125,,4,4,1,1,1,1
64WN03224,64,3,1557,9,00,069,6141,4,41,,1,3,23,83,5,1,,2,73,12,04,05,07,043,1,3,3,1,1,1,90,,,747,74,29,02,0,7,3,129,110,,5,3,1,1,0,1
64WN03225,64,2,1558,9,00,044,9307,8,80,,1,6,21,81,4,1,,1,68,08,04,08,07,035,26,2,2,1,1,0,90,,,706,70,,61,0,6,3,138,108,,4,4,1,1,0,1
64WN03226,64,2,8921,4,82,148,3977,4,41,,4,5,71,131,1,1,,1,74,08,04,08,08,050,20,3,4,2,,1,41,7198,41,504,50,,07,7,4,,,80,,,4,3,3,7,1
64WN03227,64,2,9407,4,16,161,5503,4,41,26,5,4,61,121,1,1,,1,88,09,03,08,09,045,10,3,4,2,,1,41,7597,41,641,64,28,16,1,1,,,104,,,4,5,2,1,1
64WN03228,64,2,6770,6,72,843,3878,6,61,,1,4,66,126,1,1,,1,88,10,03,07,08,050,10,5,6,2,,1,61,5710,61,613,61,,71,3,3,,,108,,,4,1,1,3,1
64WN03229,64,2,7010,6,82,085,3945,6,61,,3,4,60,120,1,1,,1,72,08,03,08,09,050,10,4,5,2,,1,61,5343,61,508,50,,04,7,8,,,110,,,4,3,3,7,1
64WN03230,64,3,0591,8,62,304,9064,8,80,,3,6,74,134,1,1,02,1,55,09,04,10,10,040,1,3,3,1,,0,84,5274,41,321,32,,61,4,1,,,120,,,4,3,3,4,3
64WN03231,64,2,0606,8,62,274,9721,8,80,,5,5,74,134,1,1,03,1,83,08,04,06,07,045,10,4,4,1,5,0,84,6728,41,528,52,,,4,8,,,122,,5,4,5,2,4,5
64WN03232,64,2,1085,9,, 16,5525,4,41,,1,4,37,97,5,1,,1,67,11,04,08,08,039,2,4,4,1,5,1,90,,98,569,56,,07,8,9,3,,118,,,4,1,1,8,7
64WN03233,64,2,1559,9,00,470,4296,1,14,,1,6,21,81,5,1,,1,75,08,04,06,07,035,10,3,3,1,1,4,90,,,770,77,,47,0,0,3,,126,,,4,1,1,0,1
