UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,C76,CADAM,TBRE,CTBR,CJAW,DISP
66WN00001,66,1,6239,1,82,194,6105,1,11,,1,2,62,122,1,6,29,2,85,09,03,08,06,037,25,2,2,1,,1,11,5965,11,628,62,29,24,7,8,2,151,84,,,2,1,1,5,3
66WN00002,66,1,6240,1,82,195,6150,1,11,,1,2,61,121,1,7,31,1,83,10,03,08,08,034,4,2,2,1,,1,11,5806,11,603,60,31,24,7,3,2,146,100,,,2,1,1,4,3
66WN00003,66,2,6241,1,23,230,5698,1,11,19,3,5,60,120,1,1,,1,62,12,03,11,09,029,1,2,2,1,,1,11,6021,11,438,43,12,23,1,8,2,111,94,,,4,3,3,4,
66WN00004,66,2,6243,1,82,244,5817,1,11,,1,4,59,119,1,1,38,1,80,09,03,07,06,041,6,2,2,1,,1,11,6031,11,580,58,38,19,7,0,2,151,110,,,4,1,1,4,
66WN00005,66,2,6244,1,82,244,5524,1,11,,1,6,59,119,1,1,43,1,65,09,03,10,08,038,11,2,2,1,,1,11,6031,11,452,45,43,19,7,2,2,141,112,2,,4,1,1,4,
66WN00006,66,2,6245,1,82,204,5786,1,11,,1,4,59,119,1,3,27,1,82,10,03,08,06,042,17,2,2,1,,1,11,5981,11,582,58,27,32,7,2,2,146,128,1,,4,1,1,4,
66WN00007,66,2,6246,1,24,241,6024,1,11,12,1,2,58,118,1,1,,3,83,11,03,06,07,042,2,3,3,1,,1,11,6036,11,608,60,32,24,1,8,2,145,112,,,2,1,1,3,
66WN00008,66,2,6247,1,32,321,5243,1,11,12,1,7,57,117,1,1,,2,73,10,03,07,08,045,7,2,2,1,,1,11,6109,11,518,51,24,32,1,8,2,145,124,,,5,1,1,5,
66WN00009,66,1,6248,1,19,190,4713,1,11,37,1,0,57,117,1,7,,1,62,11,03,10,10,026,2,2,3,2,,1,11,5965,11,434,43,26,19,1,4,2,117,112,,,5,1,1,4,
66WN00010,66,1,6249,1,82,195,5634,1,11,,5,5,57,117,1,4,32,4,87,09,03,09,09,027,16,2,2,1,,1,11,5806,11,648,64,32,24,7,8,2,165,112,,,4,5,2,6,
66WN03375,66,3,3680,9,00,840,9728,1,17,,5,7,14,74,4,1,40,1,68,16,03,10,08,034,1,2,2,1,,7,90,,,743,74,,72,0,3,3,133,130,,,5,5,2,4,3
66WN03376,66,2,3681,9,00,840,9728,1,17,,5,7,14,74,4,1,40,1,66,09,03,11,09,033,1,2,2,1,,7,90,,,749,74,,72,0,9,3,163,106,,,5,5,2,4,3
66WN03377,66,2,3682,9,00,535,4901,1,14,,1,7,14,74,5,1,40,1,65,13,03,07,06,034,1,4,4,1,,4,90,,,730,73,20,26,0,0,3,122,110,,,5,1,1,4,3
66WN03378,66,3,3683,9,00, 30,6836,6,61,,1,2,13,73,1,1,60,2,63,09,03,10,08,027,1,1,1,1,,1,90,,,693,69,,82,0,3,3,143,124,,3,2,1,1,5,3
66WN03379,66,3,3684,9,00,018,5122,4,41,,1,6,13,73,4,1,50,2,56,13,04,08,08,026,1,2,2,1,,1,90,,,586,58,26,04,0,6,3,111,132,,,4,1,1,5,3
66WN03380,66,2,1471,4,82,158,8773,4,41,,1,3,43,103,1,1,,1,68,09,03,09,09,040,10,3,3,1,,1,42,9213,41,553,55,36,04,7,3,3,,110,,,3,1,1,5,
66WN03381,66,2,2567,5,82,058,2485,4,48,,3,3,45,105,1,1,,1,74,08,03,09,09,040,10,3,3,1,,8,48,7139,41,629,62,46,20,7,9,3,,80,,,3,3,3,5,
66WN03382,66,2,2380,9,42,080,3255,8,81,,1,3,77,137,1,1,67,1,57,09,03,11,10,040,10,3,4,2,,1,90,6523,61,339,33,,81,9,9,6,,106,,,3,1,1,4,3
66WN03383,66,3,2693,9,47,080,3137,8,81,,5,3,75,135,1,1,67,1,79,08,03,09,07,036,17,3,3,1,,1,90,6523,61,498,49,,81,9,8,6,,118,,,3,5,2,4,3
66WN03384,66,3,3008,9,42,060,3286,8,81,,5,3,68,128,1,1,64,1,64,09,03,10,09,038,30,3,4,2,,1,90,6929,61,423,42,,81,9,3,7,,98,,,3,5,2,4,3
