UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM,TBRE,CTBR,TRT,MATRIX
69WN00001,69,1,6408,1,24,240,6088,1,11,39,5,5,77,137,1,1,,2,70,09,03,09,07,044,,3,3,1,,1,11,6255,11,451,45,28,24,1,1,3,144,82,,,4,5,2,,4
69WN00002,69,1,6409,1,24,240,6088,1,11,39,5,5,77,137,1,1,,3,58,16,03,11,08,035,,2,2,1,,1,11,6255,11,350,35,28,24,1,0,3,91,100,,3,4,5,2,,4
69WN00003,69,2,6411,1,24,240,5766,1,11,39,1,7,77,137,1,1,,1,82,14,03,08,08,046,,3,4,2,,1,11,6255,11,509,50,32,24,1,9,6,117,122,,,5,1,1,,4
69WN00004,69,2,6413,1,32,320,5786,1,11,30,3,7,76,136,1,1,,1,45,10,03,14,12,028,,2,2,1,,1,11,6231,11,260,26,27,32,3,0,3,103,96,,6,5,3,3,,4
69WN00005,69,2,6414,1,32,320,5970,1,11,31,1,6,76,136,1,1,,1,74,09,03,08,07,042,,2,2,1,,1,11,6231,11,466,46,35,32,1,6,6,124,106,,,4,1,1,,4
69WN00006,69,2,6415,1,24,240,6259,1,11,33,3,3,75,135,1,3,,2,83,11,03,07,06,046,,2,3,2,,1,11,6255,11,542,54,27,24,3,2,3,133,98,,2,3,3,3,,4
69WN00007,69,2,6416,1,24,240,5602,1,11,30,3,8,74,134,1,3,,2,70,10,03,10,07,042,,2,3,2,,1,11,6255,11,439,43,29,24,3,9,3,121,112,,6,5,3,3,,4
69WN00008,69,2,6417,1,24,240,5602,1,11,30,4,8,71,131,1,1,,2,72,11,03,07,06,037,,2,2,1,,1,11,6255,11,482,48,29,24,1,2,1,114,88,,,5,3,3,,4
69WN00009,69,2,6418,1,24,240,5825,1,11,43,3,7,75,135,1,1,,1,44,11,03,13,13,043,,4,4,1,,1,11,6255,11,258,25,29,24,1,8,6,112,92,,6,5,3,3,,4
69WN00010,69,2,6419,1,24,240,5825,1,11,43,4,7,79,139,1,1,,3,40,11,03,14,14,024,,3,4,2,,1,11,6255,11,217,21,29,24,1,7,9,94,98,,,5,4,3,,4
69WN03058,69,2,7451,9,, 21,4005,8,81,,5,4,64,124,1,1,17,1,26,08,03,12,12,030,,2,2,1,,4,90,7337,14,152,15,,81,9,2,1,,72,,3,4,5,2,4,5
69WN03059,69,3,7464,9,, 21,4168,8,81,,8,4,63,123,1,1,17,1,78,08,03,08,07,040,,2,3,2,,4,90,7337,14,561,56,,81,9,1,9,,90,,3,4,6,3,2,5
69WN03060,69,3,7504,9,, 21,3780,8,81,,5,4,64,124,1,1,14,1,62,10,03,09,08,045,,4,4,1,,6,90,7337,14,431,43,,81,9,1,2,,86,,3,4,5,2,4,5
69WN03061,69,2,7542,9,,49,8386,1,14,,3,3,60,120,1,1,,1,62,09,03,10,08,032,,2,2,1,,4,90,1332,18,462,46,,78,6,2,1,,66,,2,3,3,3,,5
69WN03062,69,3,7578,9,, 77,7833,1,14,,5,4,59,119,1,1,07,1,78,09,03,09,08,038,,2,2,1,,4,90,2885,18,578,57,,76,9,8,1,,92,,,4,5,2,2,5
69WN03063,69,3,7639,9,, 9,0353,4,42,,5,4,36,96,1,4,52,1,58,03,03,10,08,041,,5,6,2,,2,90,1084,,504,50,,73,8,4,3,,96,,3,4,5,2,,9
69WN03064,69,3,7670,9,00,000,3220,4,42,,5,2,21,81,1,1,,1,45,09,03,10,10,030,,4,4,1,,2,90,,,442,44,,00,0,2,3,,92,,3,2,5,2,,0
69WN03065,69,2,7671,9,00,000,3220,4,42,,5,2,21,81,1,1,,1,27,09,03,10,10,030,,4,4,1,,2,90,,,225,22,,00,0,5,3,,88,,3,2,5,2,,0
69WN03066,69,3,7672,9,00,000,9408,1,14,,1,1,18,78,1,1,,1,33,09,03,10,10,030,,4,4,1,,4,90,,,290,29,,00,0,0,3,,104,,3,2,1,1,,0
69WN03067,69,2,7673,9,00,000,9490,1,14,,1,1,14,74,1,1,,1,46,09,03,10,10,030,,4,4,1,,4,90,,,478,47,,00,0,8,3,,106,,3,2,1,1,,0
