UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
70WN00001,70116454,70,2,6454,1,32,320,6391,11,1,40,1,2,79,139,1,1,,2,71,09,03,09,07,045,4,2,2,1,,1,11,6381,11,440,44,29,32,1,0,7,127,98,,,2,1,
70WN00002,70116455,70,1,6455,1,24,240,6010,11,1,43,5,6,80,140,1,4,,1,82,13,03,10,10,040,2,2,3,2,,1,11,6255,11,514,51,38,24,1,4,6,134,100,,3,4,2,
70WN00003,70116456,70,2,6456,1,24,240,6010,11,1,43,5,6,80,140,1,1,,1,72,12,03,09,09,040,1,2,3,2,,1,11,6255,11,441,44,38,24,1,1,6,124,102,,,4,2,
70WN00004,70116457,70,1,6457,1,24,240,6100,11,1,40,3,6,78,138,1,2,,2,82,12,03,10,09,038,1,4,4,1,,1,11,6255,11,539,53,30,24,1,9,6,120,76,,,4,3,
70WN00005,70116458,70,2,6458,1,24,240,6100,11,1,40,3,6,76,136,1,1,,2,74,09,03,07,07,041,2,4,4,1,,1,11,6255,11,497,49,30,24,1,7,2,126,64,,,4,3,
70WN00006,70116459,70,2,6459,1,32,320,5970,11,1,30,1,7,78,138,1,1,,1,73,09,03,11,08,042,2,2,2,1,,1,11,6381,11,449,44,35,32,1,9,6,136,110,,,5,1,
70WN00007,70116460,70,2,6460,1,24,240,6105,11,1,41,1,6,77,137,1,1,,1,81,10,03,09,07,043,1,2,2,1,,1,11,6255,11,531,53,29,24,1,1,6,132,82,,,4,1,
70WN00008,70116461,70,2,6461,1,24,240,6088,11,1,39,3,6,73,133,1,1,,2,81,13,03,07,06,045,15,4,4,1,,1,11,6255,11,528,52,28,24,1,8,7,119,108,,,4,3,
70WN00009,70116463,70,2,6463,1,24,240,6185,11,1,34,1,5,73,133,1,3,,1,89,09,05,07,06,046,3,3,3,1,,1,11,6255,11,579,57,30,24,1,9,7,136,120,,,4,1,
70WN00010,70116465,70,2,6465,1,32,320,6110,11,1,34,3,6,73,133,1,1,,1,49,10,03,15,13,028,1,2,2,1,,1,11,6381,11,305,30,26,32,1,5,6,109,84,,3,4,3,
70WN03144,70907963,70,2,7963,9,00,741,1568,42,4,,1,3,19,79,5,1,,2,62,09,03,06,06,033,14,3,3,1,,2,90,0000,98,648,64,,74,0,8,1,124,108,,3,3,1,
70WN03145,70907964,70,3,7964,9,00,782,9283,41,4,,1,6,19,79,5,1,,4,74,08,03,06,06,035,14,2,3,2,,1,90,0000,98,767,76,,78,0,7,1,130,134,,3,4,1,
70WN03146,70907965,70,3,7965,9,00,732,6556,14,1,,1,7,17,77,5,1,,2,67,09,03,06,05,033,4,2,3,2,,4,90,0000,98,717,71,,73,0,7,3,126,118,,3,5,1,
70WN03147,70907966,70,2,7966,9,00,741,1128,42,4,,1,4,17,77,5,1,,3,68,09,03,06,05,037,13,2,3,2,,2,90,0000,98,709,70,,74,0,9,1,119,134,,3,4,1,
70WN03148,70907967,70,2,7967,9,00,761,0757,42,4,,1,4,16,76,5,1,,1,63,07,03,08,05,034,9,2,3,2,,2,90,0000,98,668,66,,76,0,8,3,123,122,,3,4,1,
70WN03149,70184535,70,1,4535,3,78,782,6559,14,1,,1,7,70,130,1,1,,1,84,09,03,09,08,036,13,2,2,1,,4,18,3681,18,538,53,,78,6,8,2,,140,,,5,1,
70WN03150,70424670,70,1,4670,4,73,731,9420,41,4,,5,6,66,126,1,1,,1,73,07,03,08,07,046,36,4,4,1,,1,42,4374,42,495,49,,73,6,5,1,,106,,,4,2,
70WN03151,70424962,70,1,4962,4,73,731,1132,42,4,,1,4,61,121,1,1,,1,73,09,03,09,08,040,10,4,4,1,,2,42,4374,42,504,50,,73,6,4,1,,120,,,4,1,
70WN03152,70425712,70,1,5712,4,08,082,2224,42,4,39,5,3,49,109,1,1,,2,61,09,03,09,09,038,17,3,4,2,,2,42,2795,42,466,46,37,08,1,6,7,,102,,,3,2,
70WN03153,70907940,70,2,7940,9,00,740,9141,61,6,,1,3,24,84,5,1,,1,65,06,03,07,07,033,6,3,3,1,,1,90,0000,98,624,62,,74,0,4,2,,126,,3,3,1,
