UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,ADAM2,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN,TB,TR
78WN00001,78017204,78,2,7204,01,0,70,704,4717,,5,2,20,70,130,1,1,30,2,71,04,03,09,07,044,8,5,7,150,1,01,5846,07,477,960,,1,158,90,97,2,5,,2,2
78WN00002,78017208,78,2,7208,01,0,71,713,4975,,5,2,20,69,129,1,1,30,3,72,04,03,09,07,040,19,4,6,200,1,01,5565,07,488,790,,1,161,91,,2,6,,2,2
78WN00003,78017209,78,1,7209,01,0,71,713,4975,244,5,2,20,69,129,1,2,30,2,74,07,03,10,09,031,19,5,7,200,1,01,5565,07,503,790,,1,144,91,93,2,6,,2,2
78WN00004,78017210,78,2,7210,01,0,70,704,4656,,3,2,20,71,131,1,1,30,2,71,07,03,09,07,045,9,4,5,200,1,01,5846,07,483,845,,2,144,77,,2,2,,2,1
78WN00005,78017212,78,1,7212,01,0,70,703,4943,225,5,2,20,69,129,1,2,30,1,72,07,03,09,09,046,5,5,6,200,1,01,5735,07,484,1240,,1,150,95,,2,6,,2,2
78WN00006,78017213,78,1,7213,01,0,70,703,4943,240,5,2,20,69,129,1,2,30,1,70,07,03,10,08,049,7,6,8,200,1,01,5735,07,473,1240,,1,148,90,93,2,6,84,2,2
78WN00007,78017214,78,1,7214,01,0,70,703,3419,258,8,4,40,69,129,1,2,30,1,79,05,03,10,08,045,9,5,6,175,1,01,5735,07,541,793,,1,164,92,,4,6,,3,2
78WN00008,78017215,78,2,7215,01,0,70,703,3419,,8,4,40,69,129,1,1,30,1,65,05,03,09,09,050,7,5,6,175,1,01,5735,07,429,793,,1,158,97,,4,6,,3,2
78WN00009,78017216,78,1,7216,01,0,70,703,3419,218,8,4,40,69,129,1,1,30,3,71,05,03,09,09,044,2,6,7,175,1,01,5735,07,474,793,,1,167,98,,4,9,,3,2
78WN00010,78017217,78,1,7217,01,0,70,704,4627,200,5,2,20,71,131,1,1,30,1,61,03,03,10,10,040,7,4,5,200,1,01,5846,07,411,1085,,2,155,72,,2,5,,2,2
78WN04185,78017144,78,1,7144,01,0,71,713,4726,273,5,2,20,72,132,1,4,30,1,75,06,03,09,09,030,19,5,7,150,1,01,5565,07,517,710,,1,146,67,93,2,5,,2,2
78WN04186,78017135,78,1,7135,01,0,70,703,4590,170,8,2,20,72,132,1,4,30,1,60,06,03,10,09,042,3,3,5,250,1,01,5735,07,396,1395,,1,143,77,,2,7,,3,2
78WN04187,78017151,78,1,7151,01,0,70,703,0001,224,1,8,80,71,131,1,2,30,1,69,07,03,10,09,038,20,4,6,113,1,37,5735,07,462,498,,1,131,85,93,5,1,,1,1
78WN04188,78017148,78,1,7148,01,0,70,703,3508,265,5,3,35,72,132,1,2,30,1,81,06,03,09,09,038,14,4,5,125,1,01,5735,07,545,665,,1,156,90,,3,5,,2,2
78WN04189,78017093,78,2,7093,01,0,70,701,3010,,1,4,40,74,134,1,1,30,2,88,10,03,08,06,055,18,3,6,125,1,01,2331,09,571,753,,1,143,115,,4,1,,1,1
78WN04190,78017060,78,2,7060,01,0,70,701,4496,,5,2,25,75,135,1,1,30,1,49,04,03,10,11,049,7,5,6,133,1,01,2331,09,301,373,,1,155,84,19,2,8,,2,2
78WN04191,78017112,78,1,7112,01,0,70,701,3013,230,7,4,40,73,133,1,1,30,1,72,07,03,10,08,033,7,4,5,175,1,01,2331,09,472,913,,1,129,92,,4,2,,3,1
78WN04192,78017037,78,2,7037,01,0,71,714,5815,,5,1,10,77,137,1,1,30,1,65,06,03,09,10,054,4,7,9,200,1,01,4794,07,423,1220,,1,165,71,,1,6,,2,2
78WN04193,78017099,78,2,7099,01,0,71,701,3723,,5,3,30,74,134,1,1,30,2,71,06,03,09,07,043,20,3,4,133,1,01,2331,09,469,780,,1,149,81,92,3,6,,2,2
78WN04194,78017083,78,1,7083,01,0,71,713,1879,310,5,5,55,74,134,1,2,30,1,89,06,03,08,08,038,10,5,6,150,1,01,5565,07,582,698,,1,159,110,,4,4,,2,2
