UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,SEQ,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
81WN00001, 81021404,81,02,1404,2,70,30,704,2,2,5,6, 4,4,4,1,85,137,14,97,86,557, 6, 3, 7, 7, 42,  0,3,4,1,1,1,159,212,1390,,,7,8640,07,5594,01,2,77,562,,,86,103,
81WN00002, 81021405,81,02,1405,2,70,30,704,2,2,5,4, 4,4,4,1,85,137,12,122,89,561, 5, 3, 7, 6, 44,  0,3,4,2,1,1,160,212,1390,,,8,8640,07,5594,01,2,79,521,,,102,102,
81WN00003, 81021406,81,02,1406,2,71,30,715,2,2,5,5, 6,6,4,1,85,137,4,105,83,529, 5, 3, 7, 7, 43,  0,6,8,2,1,1,158,237,1535,,,9,4274,08,4104,01,6,74,519,,,83,98,
81WN00004, 81021407,81,02,1407,1,71,30,715,2,2,5,5, 6,6,4,1,85,137,23,115,87,551, 5, 3, 8, 8, 46,257,6,8,2,1,4,168,237,1535,,,10,4274,08,4104,01,6,78,526,,8,0,0,
81WN00005, 81021408,81,02,1408,2,71,30,713,2,2,5,5, 4,4,4,1,85,137,22,82,78,509, 5, 3, 7, 7, 62,  0,6,8,1,1,1,168,212,1124,,,11,0353,02,5598,01,6,69,508,,,83,93,
81WN00006, 81021409,81,02,1409,2,71,30,713,2,2,5,5, 4,4,4,1,85,137,22,75,73,478, 7, 3, 8, 7, 50,  0,7,8,2,1,1,145,212,1124,,,12,0353,02,5598,01,6,65,477,,,78,84,
81WN00007, 81021410,81,02,1410,1,70,30,715,1,1,1,1, 9,9,5,1,86,136,19,97,102,679, 7, 3, 6, 6, 55,300,6,7,1,1,2,155,214,1322,,,13,4274,08,1474,01,2,91,519,,1,114,0,
81WN00008, 81021411,81,02,1411,1,71,30,713,2,2,5,5, 3,3,3,1,86,136,15,86,74,481, 7, 3, 8, 8, 54,253,7,8,1,1,2,153,200,1121,,,14,0353,02,7375,01,6,66,460,,1,85,0,
81WN00009, 81021412,81,02,1412,2,71,30,713,2,2,5,5, 3,3,3,1,86,136,5,82,65,418, 5, 3, 9, 7, 59,  0,6,8,1,1,1,155,200,1121,92,,15,0353,02,7375,01,6,58,416,,2,75,77,021
81WN00010, 81021413,81,02,1413,2,70,30,702,1,1,1,1, 4,4,4,1,86,136,9,115,85,540, 6, 3, 7, 6, 52,  0,5,6,1,1,1,149,187,1039,92,,16,8776,07,5687,01,2,76,453,,2,90,102,019
81WN04428, 81970494,81,97,0494,2,,97,,1,1,1,1, 4,4,4,4,79,140,13,166,112,681, 3, 3, 5, 5, 45,  0,7,8,2,6,1,0,,,,,24,0019,97,4749,97,,98,,,,0,0,
81WN04429, 81970496,81,97,0496,2,,97,,1,1,1,1, 2,2,2,4,82,137,13,136,110,704, 2, 3, 5, 4, 52,  0,7,9,2,6,1,0,,,,,25,0020,97,6966,97,,98,,,,0,0,
81WN04430, 81970497,81,97,0497,1,,97,,2,2,5,5, 7,7,5,4,83,136,13,102,80,513, 3, 3, 8, 6, 42,  0,6,8,2,6,1,0,,,,,26,0019,97,9922,97,,72,,,,0,0,
81WN04431, 81970498,81,97,0498,2,,97,,2,2,5,5, 7,7,5,4,83,136,13,96,72,459, 3, 3, 8, 7, 46,  0,7,9,2,6,1,0,,,,,27,0019,97,9922,97,,65,,,,0,0,
81WN04432, 81970614,81,97,0614,1,,97,,1,1,1,1, 7,7,5,4,93,126,13,155,99,663, 2, 3, 7, 7, 53,  0,7,8,2,6,1,0,,,,,134,0019,97,9919,97,,95,,,,0,0,
81WN04433, 81971039,81,97,1039,1,,97,,1,1,1,1, 1,1,1,4,100,119,13,112,70,494, 2, 3, 8, 8, 50,  0,7,8,2,6,1,0,,,,,491,0020,97,8634,97,,70,,,,0,0,
81WN04434, 81971064,81,97,1064,1,,97,,1,1,1,1, 1,1,1,4,100,119,13,108,73,523, 3, 3, 8, 8, 47,  0,7,7,2,6,1,0,,,,,510,0020,97,8635,97,,74,,,,0,0,
81WN04435, 81971599,81,97,1599,1,,97,,2,1,3,2, 1,1,1,4,105,114,13,89,60,448, 4, 3, 9, 9, 38,  0,8,8,2,6,1,0,,,,,934,0020,97,8518,97,,63,,,,0,0,
81WN04436, 81972420,81,97,2420,1,,97,,1,1,1,1, 1,1,1,4,110,109,13,110,67,514, 2, 3, 9, 9, 42,  0,7,8,2,6,1,0,,,,,1560,0020,97,8562,97,,73,,,,0,0,
81WN04437, 81193410,81,19,3410,1,13,07,131,3,1,7,2, 5,5,4,1,92,130,15,75,84,588, 9, 3, 9, 9, 45,  0,3,5,2,1,1,,192,920,,,,2663,19,0098,19,6,78,,,,0,0,
