UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
84WN00001, 84026578,84,02,6578,2,72,30,736,2,1,4,2, 10,1,1,M,53,177,18,73,96,501, 9, 6, 8, 5, 58,  0,5,6,1,1,1,189,200,530,,,,,4112,02,4603,02,,67,779,72,1,106,104,
84WN00002, 84026611,84,02,6611,3,74,30,735,2,1,4,2, 10,1,1,M,64,166,17,50,50,271, 9, 3,12, 8, 51,  0,6,7,3,1,1,154,200,250,93,98,289,,3937,02,4937,02,,38,459,74,3,63,68,
84WN00003, 84026614,84,02,6614,2,75,30,753,2,1,3,2, 20,2,2,M,69,161,18,95,100,562, 7, 3,10, 6, 53,  0,4,6,2,1,1,200,200,1253,92,,264,,4297,02,2906,02,,77,769,75,2,104,103,005
84WN00004, 84026616,84,02,6616,1,74,30,736,2,2,5,5, 10,1,1,M,70,160,18,80,62,338,12, 3,10, 7, 63,182,6,7,5,1,1,141,200,1500,93,,254,,4112,02,4367,02,,49,440,74,3,68,0,
84WN00005, 84026617,84,02,6617,1,74,30,736,2,2,5,5, 10,1,1,M,70,160,17,72,90,518,10, 3, 9, 6, 46,262,5,6,2,1,2,165,200,1500,93,,254,,4112,02,4367,02,,69,621,74,3,99,0,
84WN00006, 84026618,84,02,6618,2,75,30,752,2,2,5,5, 30,3,3,M,72,158,15,71,70,398,13, 3,10, 7, 51,  0,5,6,1,1,1,134,200,1148,92,,264,,4584,02,0961,02,,55,547,75,2,76,83,015
84WN00007, 84026619,84,02,6619,1,75,30,752,2,2,5,5, 30,3,3,M,72,158,18,65,79,459, 7, 3, 9, 7, 49,225,4,6,1,1,2,163,200,1148,93,,254,,4584,02,0961,02,,62,535,75,3,89,0,
84WN00008, 84026620,84,02,6620,1,75,30,751,2,1,3,2, 40,4,4,M,74,156,23,92,92,531, 8, 8, 9, 6, 43,243,5,6,1,1,2,158,257,1343,93,,254,,4702,02,9815,01,,73,665,75,3,100,0,
84WN00009, 84026621,84,02,6621,2,75,30,755,2,1,4,2, 10,1,1,M,74,156,21,64,67,388, 6, 3, 9, 7, 44,  0,5,7,3,1,1,174,200,370,92,,264,,4296,02,4180,02,,53,582,75,2,72,78,017
84WN00010, 84026623,84,02,6623,2,75,30,753,2,1,4,2, 50,5,4,M,74,156,2,69,63,360, 5, 3, 9, 7, 57,  0,6,7,2,1,1,183,267,1433,92,,264,,4297,02,7710,01,,50,570,75,2,53,53,021
84WN04389, 84976574,84,97,6574,1,97,97,297,1,1,1,1, 30,3,3,4,86,144,14,136,126,781, 4, 4, 4, 5, 49,288,8,9,2,6,1,0,133,1130,,,,,0020,97,0480,97,,107,,,1,130,0,
84WN04390, 84976576,84,97,6576,1,97,97,297,1,1,1,1, 20,2,2,4,88,142,14,130,105,648, 3, 3, 5, 6, 41,287,8,9,2,6,1,0,150,800,,,,,0020,97,2441,97,,91,,,1,116,0,
84WN04391, 84976577,84,97,6577,2,97,97,197,2,2,5,5, 60,6,4,4,88,142,14,112,76,456, 3, 3, 8, 6, 46,  0,8,9,2,6,1,0,150,1183,,,,,8633,97,5581,97,,66,,,1,73,82,397
84WN04392, 84976578,84,97,6578,1,97,97,197,2,2,5,5, 60,6,4,4,88,142,14,96,81,503, 4, 3, 7, 6, 48,251,8,9,2,6,1,0,150,1183,,,,,8633,97,5581,97,,70,,,1,90,0,
84WN04393, 84976581,84,97,6581,2,97,97,197,1,2,3,3, 20,2,2,4,92,138,14,125,81,496, 4, 3, 7, 6, 50,  0,7,8,2,6,1,0,100,895,,,,,8633,97,2487,97,,72,,,1,82,86,397
84WN04394, 84976582,84,97,6582,2,97,97,397,1,2,3,4, 10,1,1,4,93,137,14,103,86,553, 4, 5, 7, 6, 41,  0,8,9,2,6,1,0,100,1020,,,,,0021,97,4526,97,,77,,,1,83,88,397
84WN04395, 84976583,84,97,6583,2,97,97,397,1,1,1,1, 10,1,1,4,93,137,14,124,85,530, 3, 4, 7, 5, 57,  0,8,9,1,6,1,0,100,760,,,,,0021,97,4537,97,,76,,,1,85,92,397
84WN04396, 84976587,84,97,6587,1,97,97,397,1,1,1,1, 10,1,1,4,98,132,14,123,98,649, 5, 3, 7, 6, 48,267,8,9,2,6,1,0,100,900,,,,,0021,97,4564,97,,90,,,1,102,0,
84WN04397, 84976589,84,97,6589,1,97,97,397,1,1,1,1, 10,1,1,4,98,132,14,86,100,692, 4, 3, 8, 6, 45,255,8,9,2,6,1,0,100,920,,,,,0021,97,4527,97,,92,,,1,98,0,
84WN04398, 84977824,84,97,7824,1,97,97,397,1,1,1,1, 10,1,1,4,121,109,14,94,63,492, 6, 3, 9, 7, 38,183,7,8,1,6,1,0,100,680,,,,,0021,97,4570,97,,68,,,1,70,0,
