UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,MELA,VACC,SAMP,L,LOT,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
89WN00001, 89033334,89,03,L3334,3,7x,30,P1,2,1,3,2,1.0,1,1,1,82,138,10,95,101,663,07,,,,,,,,1,1,1,0,207,1277,93,,,,1509,03,2496,03,,89,669,71,3,113
89WN00002, 89033335,89,03,L3335,2,7x,30,P1,2,1,3,2,1.0,1,1,1,82,138,11,82,95,629,07,,B,,,G.8,,,1,1,1,0,207,1277,,,,,1509,03,2496,03,,84,666,71,1,107
89WN00003, 89033336,89,03,L3336,2,71,30,P1,2,1,3,2,1.0,1,1,1,84,136,10,75,87,585,11,,C,,,G.2,,,3,1,1,0,207,1253,,,,,1509,03,2002,03,,78,622,71,1,99
89WN00004, 89033337,89,03,L3337,3,71,30,P1,2,1,3,2,1.0,1,1,2,84,138,12,85,92,605,07,,,,,,,,3,1,2,0,207,1253,93,,,,1509,03,2002,03,,81,611,71,3,98
89WN00005, 89033338,89,03,L3338,2,7x,30,P5,2,1,3,2,1.0,1,1,1,85,135,3,91,95,636,09,,A,,,G.7,,,1,1,1,0,207,1273,,,,,1206,03,1922,03,,85,664,70,1,109
89WN00006, 89033339,89,03,L3339,2,7x,30,P5,2,1,3,2,1.0,1,1,1,85,135,8,64,91,627,08,,B,BL,,G.6,,,1,1,1,0,207,1273,,,,,1206,03,1922,03,,82,662,70,1,103
89WN00007, 89033340,89,03,L3340,2,71,30,P5,1,1,1,1,1.0,1,1,1,85,135,12,108,73,461,10,,,,,022,,,1,1,1,0,197,1141,92,,264,,1206,03,2259,03,,66,486,71,2,85
89WN00008, 89033341,89,03,L3341,1,71,30,P2,1,1,1,1,1.0,1,1,1,85,135,18,132,105,680,08,,,,,,,,1,1,2,0,197,1195,93,,,,1233,03,2185,03,,95,632,71,3,111
89WN00009, 89033342,89,03,L3342,2,71,30,P3,1,1,1,1,1.0,1,1,1,86,134,23,108,81,524,10,,B,,,G.4,,,1,1,1,0,197,1161,,,,,1244,03,2162,03,,74,565,71,1,91
89WN00010, 89033343,89,03,L3343,2,71,30,P3,2,1,3,2,1.0,1,1,1,86,134,2,76,100,690,06,,,,,024,,N,1,1,1,0,207,1295,92,34,264,,1244,03,1875,03,,90,717,71,2,111
89WN03190, 89809021,89,80,X9021,3,00,58,  1,2,2,5,4,2.0,2,2,2,132,90,3,102,66,620, 0,,,,,,,,,5,,0,192,1284,93,,,,0000,97,4878,80,,85,751,47,3,78
89WN03191, 89809022,89,80,X9022,3,00,58,  3,2,2,5,5,4.0,4,4,2,132,90,21,120,69,633, 0,,,,,,,,,5,,0,215,1450,93,,,,0000,97,0613,80,,88,778,47,3,87
89WN03192, 89809023,89,80,X9023,3,00,58,  3,2,2,5,5,4.0,4,4,2,132,90,4,122,74,687, 0,,,,,,,,,5,,0,215,1450,93,,,,0000,97,0613,80,,95,826,47,3,86
89WN03193, 89809024,89,80,X9024,3,00,58,  7,2,2,5,5,4.0,4,4,2,132,90,22,155,85,772, 0,,,,,,,,,5,,0,202,1451,93,21,,,0000,97,0556,80,,108,917,45,3,101
89WN03194, 89809025,89,80,X9025,2,00,58,  7,2,2,5,5,4.0,4,4,2,132,90,2,140,56,467, 0,,,,,,,,,5,,0,202,1451,93,,,,0000,97,0556,80,,70,608,45,3,69
89WN03195, 89809027,89,80,X9027,2,00,58,  5,2,1,3,2,3.0,3,3,2,133,89,12,108,78,755, 0,,,,,,,,,5,,0,207,1188,93,,258,,0000,97,2091,80,,101,820,45,5,94
89WN03196, 89809029,89,80,X9029,3,00,59,BF2,2,2,5,5,2.0,2,2,2,133,117,,131,60,401,,,,,,,,,,5,,,,,93,,282,,0000,97,3961,80,,61,,65,3,60
89WN03197, 89809030,89,80,X9030,2,00,59,BF2,2,2,5,5,2.0,2,2,2,133,89,22,126,68,622, 0,,,,,,,,,5,,0,192,1106,93,,258,,0000,97,3961,80,,87,736,65,5,85
89WN03198, 89809035,89,80,X9035,2,00,20,952,2,2,5,6,5.0,5,4,2,135,87,19,100,45,402, 0,,,,,,,,,5,,0,134,852,93,,282,,0000,97,6671,43,,58,564,42,3,58
89WN03199, 89809036,89,80,X9036,3,00,20,952,2,2,5,4,5.0,5,4,2,135,87,5,123,61,560, 0,,,,,,,,,5,,0,134,852,93,,,,0000,97,6671,43,,79,662,42,3,75
