UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,LOT,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
91WN00001, 91000001,91,00,00001,2,00,59,-0-,3,2,8,5,5.0,5,4,3,143,82,1,100,55,549, 0, 0, 0, 0, 30,,,,,5,,0,221,1399,93,,281,3,000097,97,1019,80,,76,825,65,3,59
91WN00002, 91000002,91,00,00002,3,00,59,-0-,2,2,5,5,3.0,3,3,3,143,82,2,100,49,476, 0, 0, 0, 0, 26,,,,,5,,0,227,1168,93,,281,3,000097,97,5736,80,,67,704,67,3,56
91WN00003, 91000003,91,00,00003,2,00,58,-0-,2,1,3,2,3.0,3,3,3,143,82,1,100,53,524, 0, 0, 0, 0, 25,,,,,5,,0,184,931,93,,281,3,000097,97,6523,80,,73,717,45,3,63
91WN00004, 91000004,91,00,00004,2,00,58,-0-,2,2,5,5,4.0,4,4,3,143,82,1,100,55,549, 0, 0, 0, 0, 29,,,,,5,,0,211,1251,93,,281,3,000097,97,5283,80,,76,825,47,3,66
91WN00005, 91000005,91,00,00005,2,00,59,-0-,3,2,8,5,5.0,5,4,3,143,82,2,100,57,573, 0, 0, 0, 0, 34,,,,,5,,0,221,1399,93,,281,3,000097,97,1019,80,,79,848,65,3,56
91WN00006, 91000006,91,00,00006,2,00,58,-0-,2,2,5,5,4.0,4,4,3,143,82,1,100,61,622, 0, 0, 0, 0, 34,,,,,5,,0,211,1251,93,,281,3,000097,97,5283,80,,85,898,47,3,66
91WN00007, 91000007,91,00,00007,2,00,58,-0-,2,2,5,5,4.0,4,4,3,143,82,2,100,50,488, 0, 0, 0, 0, 24,,,,,5,,0,199,1206,93,,281,3,000097,97,4589,80,,69,763,47,3,58
91WN00008, 91000008,91,00,00008,3,00,59,-0-,2,2,5,5,3.0,3,3,3,143,82,1,100,49,476, 0, 0, 0, 0, 22,,,,,5,,0,227,1168,93,,281,3,000097,97,5736,80,,67,705,67,3,54
91WN00009, 91000009,91,00,00009,3,00,58,-0-,2,2,5,5,4.0,4,4,3,143,82,1,100,55,549, 0, 0, 0, 0, 27,,,,,5,,0,199,1206,93,,281,3,000097,97,4589,80,,76,799,47,3,62
91WN00010, 91000010,91,00,00010,2,00,59,-0-,1,1,1,1,3.0,3,3,3,143,82,5,100,75,793, 0, 0, 0, 0, 37,,,,,5,,0,170,935,93,,281,3,000097,97,5821,80,,105,897,65,3,76
91WN03644, 91811273,91,81,Z1273,2,00,59,-0-,3,3,9,8,5.0,5,4,3,154,71,1,74,38,431, 0, 0, 0, 0, 13,,,,,5,,0,221,1645,93,,281,3,000097,97,1056,80,,59,839,65,3,39
91WN03645, 91811274,91,81,Z1274,3,00,59,-0-,1,1,1,1,3.0,3,3,3,154,72,6,130,73,833, 0, 0, 0, 0, 26,,,,,5,,0,213,989,93,,281,3,000097,97,5698,80,,113,966,67,3,89
91WN03646, 91811275,91,81,Z1275,3,00,59,-0-,1,1,1,1,5.0,5,4,3,154,72,6,152,72,789, 0, 0, 0, 0, 26,,,,,5,,0,177,1026,93,,281,3,000097,97,1577,80,,110,942,67,3,81
91WN03647, 91811278,91,81,Z1278,3,00,58,-0-,2,2,5,5,4.0,4,4,3,154,71,19,136,56,597, 0, 0, 0, 0, 22,,,,,5,,0,211,1627,93,,281,3,000097,97,4683,80,,85,886,47,3,61
91WN03648, 91811279,91,81,Z1279,2,00,58,-0-,2,2,5,5,4.0,4,4,3,154,71,19,124,58,642, 0, 0, 0, 0, 27,,,,,5,,0,211,1627,93,,281,3,000097,97,4683,80,,89,958,47,3,69
91WN03649, 91811280,91,81,Z1280,3,00,58,-0-,2,2,5,5,3.0,3,3,3,155,71,2,123,57,630, 0, 0, 0, 0, 22,,,,,5,,0,184,1286,93,,281,3,000097,97,7800,80,,88,920,47,3,62
91WN03650, 91811281,91,81,Z1281,2,00,58,-0-,2,2,5,5,3.0,3,3,3,155,71,1,129,60,663, 0, 0, 0, 0, 25,,,,,5,,0,184,1286,93,,281,3,000097,97,7800,80,,93,981,47,3,68
91WN03651, 91811282,91,81,Z1282,2,00,59,-0-,3,2,8,5,3.0,3,3,3,157,67,8,107,38,407, 0, 0, 0, 0, 22,,,,,5,,0,241,1388,93,,281,3,000097,97,5883,80,,60,739,65,3,47
91WN03652, 91811283,91,81,Z1283,3,00,59,-0-,3,2,8,5,3.0,3,3,3,157,67,8,105,38,410, 0, 0, 0, 0, 23,,,,,5,,0,241,1388,93,,281,3,000097,97,5883,80,,60,715,65,3,45
91WN03653, 91810582,91,81,Z0582,1,97,97,297,2,1,3,2,3.0,3,3,4,94,118,1,119,95,704,3, 0, 0, 0,  0,,,,2,6,1,0,133,1127,,,,4,422480,80,6273,80,,96,,97,1,
