UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT
93WN00001, 93040001,93,A0001,04,1,82,30,67,9,3,2,4.0,4,4,1,119,215,96,8,11.6,60,77,0.681,93,1,1,5,,0,C,,SCURS+,704203,03,L4113,03,82,3,93,242,8,5,116,2.3,150.9,3,82,0
93WN00002, 93040002,93,A0002,04,1,82,30,67,9,3,2,4.0,4,4,1,119,215,96,16,9.2,56,78,0.717,95,1,1,,,0,C,,,704203,03,L4113,03,82,3,93,242,8,4,117,2.3,150.9,3,84,0
93WN00003, 93040003,93,A0003,04,2,82,30,67,9,3,2,4.0,4,4,1,119,215,96,14,7.4,46,63,0.579,77,1,2,,,0,C,  7,,704203,03,L4113,03,82,2,92,266,8,6,113,2.3,150.9,2,78,84
93WN00004, 93040004,93,A0004,04,2,80,30,p.2,5,1,1,1.0,1,1,1,119,215,96,16,9.3,49,64,0.57,78,9,1,,,0,M,R.4,BLACKEWE,751903,03,L8654,03,81,1,,0,1,1,94,2.0,113.1,1,86,0
93WN00005, 93040005,93,A0005,04,1,80,30,P02,8,2,2,2.0,2,2,1,119,215,96,16,10.0,55,74,0.667,90,1,1,,,0,M,,,760003,03,L6655,03,81,1,,0,5,5,110,2.14,142.9,1,84,0
93WN00006, 93040006,93,A0006,04,2,80,30,P02,8,2,2,2.0,2,2,1,119,215,96,13,8.8,49,66,0.596,80,1,1,,,0,M,R.5,,760003,03,L6655,03,81,1,,0,5,5,110,2.14,142.9,1,89,0
93WN00007, 93040007,93,A0007,04,1,82,30,64,8,2,2,3.0,3,3,1,119,215,96,2,12.7,68,92,0.826,112,1,1,,,0,C,,HI IDX CTRL,732403,03,L5054,03,82,3,93,242,5,5,123,2.12,149.4,3,95,0
93WN00008, 93040008,93,A0008,04,1,82,30,64,8,2,2,3.0,3,3,1,119,215,96,5,11.4,52,74,0.652,90,1,1,,,0,C,,HI IDX CTRL,732403,03,L5054,03,82,3,93,242,5,5,114,2.12,149.4,3,89,0
93WN00009, 93040009,93,A0009,04,1,82,30,71,8,2,2,4.0,4,4,1,119,215,96,10,9.0,49,65,0.583,79,1,1,,,0,C,,,770403,03,L3505,03,82,3,93,242,5,5,85,2.05,100.3,3,74,0
93WN00010, 93040010,93,A0010,04,2,82,30,71,8,2,2,4.0,4,4,1,119,215,96,11,8.9,45,66,0.595,80,1,1,,,0,C, 14,"NR,BRITCHY",770403,03,L3505,03,82,2,92,266,5,5,89,2.05,100.3,2,79,88
93WN02503, 93812837,93,Z2837,81,3,00,20,290,8,2,2,4.0,4,4,1,145,215,70,1,11.7,32,47,0.504,72,5,1,,,0,?,,"DEAD,MAGGOTS",000097,97,K4220,63,68,6,30,215,5,5,0,1.56,114.6,6,0,0
93WN02504, 93812838,93,Z2838,81,2,00,20,290,8,2,2,4.0,4,4,1,145,215,70,8,12.2,37,53,0.583,82,5,1,,,0,?,TBC,TOBEC,000097,97,K4220,63,68,T,,0,5,5,0,1.56,114.6,3,80,0
93WN02505, 93812839,93,Z2839,81,3,00,31,338,5,1,1,7.0,7,5,1,147,215,68,13,11.6,36,57,0.668,92,1,1,,,0,?,,MISC PXR,000003,03,S6983,19,18,3,93,292,1,1,0,1.41,65.6,3,69,0
93WN02506, 93812840,93,Z2840,81,3,00,80,P04,5,1,1,2.0,2,2,1,149,215,66,10,11.8,37,66,0.821,110,5,1,,,0,?,,,000097,97,L6985,03,81,3,93,292,1,1,0,1.8,112.8,3,90,0
93WN02507, 93812841,93,Z2841,81,2,00,10,208,5,1,1,2.0,2,2,1,149,215,66,4,15.7,37,60,0.671,96,5,1,,,0,?,,,000097,97,S1459,10,18,3,93,292,1,1,0,1.46,89.0,3,75,0
93WN02508, 93812842,93,Z2842,81,2,00,20,751,8,2,2,3.0,3,3,1,149,215,66,16,10.0,27,40,0.455,65,5,1,,,0,?,,,000097,97,K5062,63,68,3,93,292,5,5,0,1.84,108.2,3,54,0
93WN02509, 93812843,93,Z2843,81,2,00,20,751,8,2,2,3.0,3,3,1,149,215,66,10,11.1,29,45,0.514,73,5,1,,,0,?,,,000097,97,K5062,63,68,3,93,292,5,5,0,1.84,108.2,3,67,0
93WN02510, 93812844,93,Z2844,81,2,00,20,-Z-,5,1,1,6.0,6,4,1,151,215,64,2,12.5,30,47,0.539,77,5,1,,,7,?,TBC,TOBEC,000000,00,K2488,63,68,T,,0,1,1,0,1.65,103.7,3,66,0
93WN02511, 93812845,93,Z2845,81,3,00,20,R-0,5,1,1,6.0,6,4,1,153,215,62,9,19.5,48,69,0.798,115,5,1,,,2,?,,,000097,97,T9308,43,48,3,93,292,1,1,0,1.28,98.1,3,93,0
93WN02512, 93812846,93,Z2846,81,3,00,20,863,5,1,1,7.0,7,5,1,154,215,61,12,10.5,25,46,0.582,80,5,1,,,0,?,,,000097,97,K2005,63,62,3,93,292,1,1,0,1.81,103.0,3,61,0
