UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
96WN00001, 96043111,96,A3111,04,2,73,30,741,8,2,2,1.5,1,1,H,100,222,122,6,7.8,49,72,0.526,71,1,1,,,6,,-FL,HAIRY,A1645,04,A1731,04,73,1,,0,5,5,102,2.12,135.4,1,74,,0.0,0,0,0,,0.0,0.0
96WN00002, 96043110,96,A3110,04,1,ch,31,-2-,8,2,2,2.0,2,2,H,100,222,122,7,10.6,48,69,0.479,68,1,1,,,2,c,-CH,,S1497,10,A0962,04,ch,1,,0,5,4,77,1.5,66.5,1,74,,5.8,0,0,0,,0.0,11.6
96WN00003, 96043113,96,A3113,04,2,82,30,21,8,2,1,3.0,3,3,2,100,220,120,6,10.0,62,86,0.633,86,1,1,,,0,C,e.9,4TEATS,A0811,04,A0050,04,82,1,,0,3,2,106,1.98,126.1,1,98,,15.75,0,0,0,,13.47,18.03
96WN00004, 96043114,96,A3114,04,3,82,30,21,8,2,2,3.0,3,3,2,100,220,120,1,10.9,47,65,0.451,65,1,1,,,0,C,,,A0811,04,A0050,04,82,3,93,268,5,6,94,1.98,126.1,3,75,,15.75,0,0,0,,13.47,18.03
96WN00005, 96043116,96,A3116,04,2,82,30,22,8,2,1,2.0,2,2,2,100,220,120,1,7.9,60,81,0.609,81,1,1,,,0,C,e.8,4TEATS,A0944,04,A0738,04,82,1,,0,3,2,92,1.94,102.7,1,95,,13.44,0,0,0,,11.73,15.15
96WN00006, 96043112,96,A3112,04,2,73,30,741,8,2,2,1.5,1,1,H,100,222,122,6,8.4,43,65,0.464,64,1,1,,,6,,-FL,MSG 11/05/96,A1645,04,A1731,04,73,1,97,310,5,5,98,2.12,135.4,1,71,,0.0,0,0,0,,0.0,0.0
96WN00007, 96043118,96,A3118,04,1,ch,34,j.4,8,2,2,1.0,1,1,H,100,222,122,5,7.8,32,47,0.321,46,1,1,,,2,c,-CH,X,A1297,04,A2329,04,ch,3,93,239,5,5,80,2.0,99.0,3,52,,15.79,0,0,0,,20.36,11.21
96WN00008, 96043119,96,A3119,04,1,ch,34,j.4,8,2,2,1.0,1,1,H,100,222,122,6,7.3,34,54,0.383,53,1,1,5,,2,c,-CH,H5 X,A1297,04,A2329,04,ch,3,93,239,5,5,84,2.0,99.0,3,59,,15.79,0,0,0,,20.36,11.21
96WN00009, 96043117,96,A3117,04,2,ch,31,j.1,7,2,1,1.0,1,1,H,100,222,122,3,8.2,47,64,0.457,63,1,1,,,2,c,-CH,HAIRY,A0987,04,A2250,04,ch,1,97,249,3,2,76,2.0,63.0,,0,,8.91,0,0,0,,12.76,5.06
96WN00010, 96043101,96,A3101,04,2,81,30,01,9,3,2,3.0,3,3,2,100,220,120,1,9.8,58,80,0.585,80,1,1,,,0,M,,,A0733,04,L9856,03,81,7,97,222,8,5,101,2.26,123.2,,0,,25.39,0,0,0,,25.7,25.07
96WN03214, 96813773,96,Z3773,81,3,00,81,-2-,9,3,3,2.0,2,2,H,118,222,104,1,8.5,23,43,0.332,48,5,1,,,2,,-CH,,00000,97,S5328,10,ch,7,97,222,9,8,0,2.5,164.0,,0,,0.0,0,0,0,,0.0,0.0
96WN03215, 96813774,96,Z3774,81,3,00,81,-2-,9,3,3,2.0,2,2,H,118,222,104,4,9.0,36,58,0.471,66,5,1,,,2,,-CH,,00000,97,S5328,10,ch,3,93,268,9,8,0,2.5,164.0,3,66,,0.0,0,0,0,,0.0,0.0
96WN03216, 96813775,96,Z3775,81,3,00,10,-0-,8,2,2,3.0,3,3,2,119,220,101,1,10.0,43,69,0.584,80,5,1,,,2,,,,00000,97,S4202,10,18,3,93,268,5,7,0,1.83,125.0,3,80,,13.35,0,0,0,,0.0,13.35
96WN03217, 96813776,96,Z3776,81,3,00,10,-0-,8,2,2,3.0,3,3,2,119,220,101,2,14.0,51,74,0.594,85,5,1,,,2,,,,00000,97,S4202,10,18,3,93,268,5,3,0,1.83,125.0,3,89,,13.35,0,0,0,,0.0,13.35
96WN03218, 96813772,96,Z3772,81,2,00,81,-2-,9,3,3,2.0,2,2,H,118,222,104,4,10.1,42,63,0.509,71,5,1,,,2,,-CH,,00000,97,S5328,10,ch,3,93,268,9,8,0,2.5,164.0,3,74,,0.0,0,0,0,,0.0,0.0
96WN03219, 96813778,96,Z3778,81,2,00,20,-0-,8,2,2,3.0,3,3,2,119,220,101,9,10.8,44,65,0.537,75,5,1,,,2,,,,00000,97,T3749,44,48,3,93,268,5,5,0,1.47,88.0,3,73,,5.77,0,0,0,,0.0,5.77
96WN03220, 96813779,96,Z3779,81,2,00,80,-0-,5,1,1,2.0,2,2,H,119,222,103,4,13.8,53,78,0.623,89,5,1,,,2,,-CH,"ENTR,4TEATS",00000,97,A1116,04,ch,3,93,268,1,1,0,0.5,44.5,3,82,,0.0,0,0,0,,0.0,0.0
96WN03221, 96813777,96,Z3777,81,3,00,20,-0-,8,2,1,3.0,3,3,2,119,220,101,11,10.2,48,70,0.592,81,5,1,,,2,,,,00000,97,T3749,44,48,3,93,268,3,2,0,1.47,88.0,3,86,,5.77,0,0,0,,0.0,5.77
96WN03222, 96107346,96,S7346,10,1,10,42,23,8,2,1,6.0,6,4,2,101,218,117,1,13.1,55,72,0.503,74,1,1,,,0,M,,FOUND 9/5/96X,S4980,10,S0602,10,10,3,93,281,3,2,0,,,3,87,,,0,0,0,,,
96WN03223, 96813591,96,Z3591,81,2,97,97,971,9,3,2,4.0,4,4,H,89,222,133,2,11.7,0,80,0.514,73,6,1,,,0,,973,SUMMER IN P14,Z2908,81,Z1572,81,97,1,,0,5,4,,1.75,87.9,1,75,,0.0,0,0,0,,0.0,0.0
