UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
02WN00001,102040000,02,A0000,04,2,81,30,02,8,2,2,3.0,3,3,2,111,219,108,8,9.1,57,82,0.675,90,1,1,,,0,M,.,WF,A0000 =A10000,A7302,04,A6906,04,81,3,93,261,5,5,106,1.82,117.7,3,92,,,0,0,,,0.071,,,,,,,,
02WN00002,102048894,02,A8894,04,2,00,73,e64,8,2,1,1.0,1,1,1,84,217,133,7,6.8,57,81,0.558,74,1,1,,,0,F, 14,,,A6563,04,A8230,04,00,2,92,262,3,2,0,2.05,109.8,2,96,100,,0,0,,,0.067,,,,,,,,
02WN00003,102048896,02,A8896,04,3,00,73,e62,8,2,1,1.0,1,1,1,85,217,132,7,10.3,74,102,0.695,94,1,1,,,0,F,.,WF,,A6761,04,A8169,04,00,3,93,261,3,2,0,2.05,113.8,3,121,,,0,0,,,0.059,,,,,,,,
02WN00004,102048899,02,A8899,04,2,00,72,e12,5,1,1,1.0,1,1,1,86,217,131,10,10.3,65,86,0.578,80,1,1,,,0,F, 13,,,A4203,04,A8296,04,81,2,92,262,1,1,0,1.95,111.0,2,100,112,,0,0,,,0.042,,,,,,,,
02WN00005,102048900,02,A8900,04,1,84,30,e66,8,2,1,1.0,1,1,1,86,217,131,12,8.3,69,72,0.486,67,1,1,,,0,N,.,,,A6642,04,A8486,04,84,3,93,252,3,2,85,2.05,108.4,3,72,,,0,0,,,0.104,,,,,,,,
02WN00006,102048906,02,A8906,04,2,84,30,e62,8,2,1,1.0,1,1,1,86,217,131,11,6.2,54,76,0.533,70,1,1,,,0,N, 11,,,A6761,04,A8305,04,84,2,92,262,3,2,92,2.05,109.0,2,87,99,,0,0,,,0.11,,,,,,,,
02WN00007,102048907,02,A8907,04,2,00,80,e14,5,1,1,1.0,1,1,1,87,217,130,15,10.3,72,94,0.644,88,1,1,,,0,B,.,,NICE,Z6945,81,A8822,04,82,Z,93,259,1,1,0,1.95,112.6,Z,108,111,,0,0,,,0.034,,,,,,,,
02WN00008,102048908,02,A8908,04,3,84,30,e64,8,2,1,1.0,1,1,1,87,217,130,13,5.3,55,75,0.536,70,1,1,,,0,N,.,,HURT HIP d212,A6563,04,A8219,04,84,6,54,212,3,2,92,2.05,109.0,6,,,,0,0,,,0.057,,,,,,,,
02WN00009,102048910,02,A8910,04,2,00,80,e13,8,2,1,1.0,1,1,1,87,217,130,16,9.0,57,80,0.546,75,3,1,,,0,B,.,WF,SPECKS,Z6925,81,A8316,04,81,3,93,261,3,2,0,2.05,110.0,3,102,,,0,0,,,0.04,,,,,,,,
02WN00010,102048912,02,A8912,04,3,00,72,e12,8,2,1,1.0,1,1,1,87,217,130,2,10.2,60,84,0.568,78,1,1,,,0,F,.,WF,,A4203,04,A8336,04,81,3,93,261,3,2,0,2.05,110.6,3,92,,,0,0,,,0.034,,,,,,,,
02WN03790,102817792,02,Z7792,81,2,97,97,972,8,2,2,5.0,5,4,H,84,221,137,1,12.0,0,105,0.679,93,6,1,,,0,.,.,,ENTR,00093,00,Z3952,81,97,2,92,142,5,6,104,1.76,135.0,2,,,,0,0,,,0.0,,,,,,,,
02WN03791,102817789,02,Z7789,81,2,97,97,972,8,2,2,4.0,4,4,H,84,221,137,1,12.1,0,110,0.715,98,6,1,,,0,.,.,,ENTR,00093,00,Z4751,81,97,2,92,142,5,5,111,1.87,148.9,2,,,,0,0,,,0.0,,,,,,,,
02WN03792,102817828,02,Z7828,81,2,97,97,972,8,2,2,2.0,2,2,H,89,221,132,1,8.9,0,100,0.69,92,6,1,,,0,.,.,,,00093,00,Z6931,81,97,2,92,142,5,5,96,1.97,108.8,2,,,,0,0,,,0.0,,,,,,,,
02WN03793,102817841,02,Z7841,81,2,97,97,971,9,3,2,6.0,6,4,H,89,221,132,1,10.7,0,98,0.661,90,6,1,,,0,.,.,,,00109,00,Z3654,81,97,2,92,142,8,5,95,1.89,109.8,2,,,,0,0,,,0.0,,,,,,,,
02WN03794,102817848,02,Z7848,81,2,97,97,972,8,2,2,5.0,5,4,H,90,221,131,1,10.9,0,80,0.527,74,6,1,,,0,.,.,,,00093,00,Z3946,81,97,2,92,142,5,5,89,1.98,130.4,2,,,,0,0,,,0.0,,,,,,,,
02WN03795,102817859,02,Z7859,81,2,97,97,971,9,3,2,4.0,4,4,H,92,221,129,1,9.4,0,98,0.687,92,6,2,,,0,.,.,,WEAK,00109,00,Z4738,81,97,2,92,142,8,6,103,2.12,134.2,2,,,,0,0,,,0.0,,,,,,,,
02WN03796,102817980,02,Z7980,81,2,97,97,972,5,1,1,2.0,2,2,H,97,221,124,1,11.5,0,100,0.714,97,6,1,,,0,.,.,,,00093,00,Z6874,81,97,2,92,142,1,1,100,1.63,108.8,2,,,,0,0,,,0.0,,,,,,,,
02WN03797,102818010,02,Z8010,81,2,97,97,e73,5,1,1,1.0,1,1,H,98,221,123,1,9.5,0,95,0.695,93,6,1,,,0,.,.,,,Z6098,81,Z7120,81,97,2,92,142,1,1,96,1.79,106.6,2,,,,0,0,,,0.056,,,,,,,,
02WN03798,102818028,02,Z8028,81,2,97,97,972,8,2,2,4.0,4,4,H,98,221,123,1,12.7,0,100,0.71,98,6,1,,,0,.,.,,,00093,00,Z4940,81,97,2,92,142,5,5,104,1.87,121.0,2,,,,0,0,,,0.0,,,,,,,,
02WN03799,102818071,02,Z8071,81,2,97,97,971,8,2,2,4.0,4,4,H,99,221,122,1,10.1,0,100,0.737,99,6,1,,,0,.,.,,,00109,00,Z4718,81,97,2,92,142,5,6,106,1.99,125.2,2,,,,0,0,,,0.0,,,,,,,,
