UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,TAIL1,TAIL2,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
03WN00001,103050403,03,H0403,05,2,88,30,e12,8,2,2,1.0,1,1,1,89,224,135,5,6.9,43,66,0.438,59,1,1,,,0,M,  3,,,A8820,04,A9241,04,83,2,92,261,5,5,88,2.1,122.2,2,70,82,,0,0,,0.055,,,,,,,,Poly
03WN00002,103050404,03,H0404,05,2,88,30,e12,8,2,2,1.0,1,1,1,89,224,135,3,7.4,52,74,0.493,67,1,1,,,0,M,  2,,,A8820,04,A9241,04,83,2,92,261,5,5,93,2.1,122.2,2,80,83,,0,0,,0.055,,,,,,,,Poly
03WN00003,103050405,03,H0405,05,2,88,30,e12,5,1,1,1.0,1,1,1,89,224,135,6,8.3,57,76,0.501,68,1,1,,,0,M,  1,,,A8820,04,A9239,04,83,2,92,261,1,1,88,2.0,110.6,2,83,87,,0,0,,0.055,,,,,,,,Poly
03WN00004,103050406,03,H0406,05,2,88,30,e10,5,1,1,1.0,1,1,1,89,224,135,8,5.5,55,81,0.559,73,1,1,,,0,M,  1,,SMALL ok,A8579,04,A9545,04,81,2,92,261,1,1,91,2.0,111.6,2,88,94,,0,0,,0.067,,,,,,,,Poly
03WN00005,103050407,03,H0407,05,2,88,30,e12,5,1,1,1.0,1,1,1,90,224,134,1,10.3,68,93,0.617,84,1,1,,,0,M,.,e.9,,A8820,04,A9083,04,82,1,,,1,1,98,2.0,113.8,1,100,,,0,0,,0.071,,,,,,,,Poly
03WN00006,103050408,03,H0408,05,2,88,30,e12,5,1,1,1.0,1,1,1,90,224,134,8,7.9,58,79,0.531,72,1,1,,,0,M,.,,BRITCHY wasZ,A8820,04,A9969,04,84,3,93,260,1,1,90,2.0,111.4,3,88,88,,0,0,,0.057,,,,,,,,PPL
03WN00007,103050409,03,H0409,05,2,88,30,e12,8,2,1,1.0,1,1,1,91,224,133,6,6.7,52,70,0.476,64,1,1,,,0,M,  2,,,A8820,04,A9964,04,83,2,92,261,3,2,85,2.1,109.8,2,79,84,,0,0,,0.047,,,,,,,,Poly
03WN00008,103050411,03,H0411,05,1,88,30,e13,8,2,2,1.0,1,1,1,91,224,133,12,10.8,63,87,0.573,80,1,1,,,0,M,.,,,A8879,04,P0231,05,84,3,93,258,5,3,94,2.1,125.8,3,97,,,0,0,,0.046,,,,,,,,
03WN00009,103050412,03,H0412,05,2,88,30,e13,8,2,2,1.0,1,1,1,91,224,133,10,7.6,50,70,0.469,64,1,1,,,0,M,  3,,,A8879,04,P0231,05,84,2,92,261,5,7,93,2.1,125.8,2,73,82,,0,0,,0.046,,,,,,,,Poly
03WN00010,103050414,03,H0414,05,2,88,30,e13,8,2,1,1.0,1,1,1,92,224,132,15,7.0,60,86,0.598,79,1,1,,,0,M,  1,,,A8879,04,A9981,04,84,2,92,261,3,2,91,2.1,104.9,2,91,97,,0,0,,0.045,,,,,,,,Poly
03WN02855,103003226,03, 3226,30,2,00,04,AI-,5,1,1,7.0,7,5,4,214,288,74,,11.7,58,,0.626,87,1,1,,,0,A,G1A,,,K0000,64,S6830,10,11,1,,,,,,,,1,87,,,,,,0.0,,,,,,,,FLse
03WN02856,103003221,03, 3221,30,2,00,04,AI-,5,1,1,7.0,7,5,4,213,288,75,,12.6,55,,0.565,80,1,1,,,0,A,G1B,,,K0000,64,S7518,10,13,1,,,,,,,,1,86,,,,,,0.0,,,,,,,,FLse
03WN02857,103003224,03, 3224,30,3,00,04,AI-,8,2,1,6.0,6,4,4,213,288,75,,11.1,50,,0.519,73,1,1,,,0,A,G1B,,,K0000,64,S7922,10,12,3,93,350,,,,,,3,90,,,,,,0.0,,,,,,,,FLse
03WN02858,103003228,03, 3228,30,2,00,04,AI-,8,2,1,4.0,4,4,4,214,288,74,,11.8,61,,0.665,92,1,1,,,2,A,G1B,,,K0000,64,91379,09,18,1,,,,,,,,1,100,,,,,,0.0,,,,,,,,FLse
03WN02859,103003231,03, 3231,30,2,00,04,AI-,5,1,1,4.0,4,4,4,214,288,74,,11.2,55,,0.592,82,1,1,,,0,A,G1A,,,K0000,64,R0961,11,10,1,,,,,,,,1,93,,,,,,0.0,,,,,,,,FLse
03WN02860,103003232,03, 3232,30,2,00,04,AI-,5,1,1,3.0,3,3,4,214,288,74,,12.2,54,,0.565,80,2,1,,,2,A,G1B,,BRN.FEET,K0000,64,00816,00,18,1,,,,,,,,1,88,,,,,,0.0,,,,,,,,FLse
03WN02861,103003233,03, 3233,30,2,00,04,AI-,5,1,1,7.0,7,5,4,215,288,73,,12.6,63,,0.69,95,1,1,,,0,A,G1B,,HAIRY,K0000,64,S6838,10,11,1,,,,,,,,1,104,,,,,,0.0,,,,,,,,FLse
03WN02862,103003234,03, 3234,30,3,00,04,AI-,5,1,1,3.0,3,3,4,216,288,72,,15.1,75,,0.832,115,1,1,,,0,A,G1B,,,K0000,64,R1575,11,12,3,93,350,,,,,,3,114,,,,,,0.0,,,,,,,,FLse
03WN02863,103003235,03, 3235,30,3,00,04,AI-,5,1,1,4.0,4,4,4,217,288,71,,13.4,57,,0.614,87,1,1,,,0,A,G1B,,,K0000,64,R0757,11,12,3,93,350,,,,,,3,96,,,,,,0.0,,,,,,,,FLse
03WN02864,103003237,03, 3237,30,2,00,04,AI-,5,1,1,8.0,8,5,4,217,288,71,,13.7,45,,0.441,67,1,1,,,0,A,G1B,,,K0000,64,S6148,10,11,3,93,350,,,,,,3,80,,,,,,0.0,,,,,,,,FLse
