UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY
04WN00001,104050745,04,H0745,05,2,82,30,11P,3,4,1,6.5,6,4,1,83,216,133,2,6.0,0,93,0.654,84,1,1,,,0,C,.,e11,,A9750,04,A4801,04,73,1,,,7,2,104,3.25,135.7,1,101,103,,0.035,
04WN00002,104050746,04,H0746,05,1,83,30,02P,9,3,2,5.0,5,4,1,88,216,128,14,8.2,0,91,0.647,86,1,1,,,0,W,.,,"UGLY, X",A8647,04,90684,09,88,3,97,244,8,5,95,2.15,126.6,7,0,,,0.03,
04WN00003,104050747,04,H0747,05,2,83,30,02P,9,3,2,5.0,5,4,1,88,216,128,22,8.7,0,87,0.612,82,1,1,,,0,W,.,e10,,A8647,04,90684,09,88,1,,,8,5,99,2.15,126.6,1,104,106,,0.03,
04WN00004,104050748,04,H0748,05,1,83,30,02P,5,1,1,3.0,3,3,1,88,216,128,8,11.5,0,111,0.777,105,1,1,,,0,W,.,,tb=1,A8647,04,A8752,04,83,3,93,259,1,1,102,2.03,122.0,3,123,,,0.049,
04WN00005,104050749,04,H0749,05,2,83,30,04P,9,3,2,3.0,3,3,1,88,216,128,20,7.1,0,77,0.546,73,1,1,,,0,W,  1,,,A9232,04,A8456,04,84,2,92,267,8,5,91,2.31,120.0,2,93,96,,0.051,
04WN00006,104050750,04,H0750,05,1,83,30,04P,9,3,2,3.0,3,3,1,88,216,128,6,6.2,0,74,0.53,70,1,1,,,0,W,.,,,A9232,04,A8456,04,84,3,93,259,8,5,85,2.31,120.0,3,83,,,0.051,
04WN00007,104050752,04,H0752,05,1,82,30,14P,8,2,2,5.5,5,4,1,88,216,128,6,10.4,0,96,0.669,91,1,1,,,0,C,.,,,A9963,04,A5770,04,73,1,,,5,5,109,2.15,154.2,1,112,,,0.042,
04WN00008,104050753,04,H0753,05,2,82,30,14P,8,2,2,5.5,5,4,1,88,216,128,18,11.2,0,88,0.6,83,1,1,,,0,C,.,e11,,A9963,04,A5770,04,73,1,,,5,5,112,2.15,154.2,1,101,104,,0.042,
04WN00009,104050754,04,H0754,05,1,82,30,14P,9,3,3,4.0,4,4,1,88,216,128,25,10.2,0,83,0.569,78,1,1,,,0,C,.,,,A9963,04,A7609,04,82,3,93,259,9,8,103,2.48,152.8,3,92,,,0.104,
04WN00010,104050755,04,H0755,05,2,82,30,14P,9,3,3,4.0,4,4,1,88,216,128,21,9.6,0,83,0.573,78,1,1,,,0,C,.,e10,,A9963,04,A7609,04,82,1,,,9,8,108,2.48,152.8,1,97,99,,0.104,
04WN02907,104822223,04,X2223,82,2,00,10, 4,8,2,1,4.0,4,4,2,135,218,83,20,12.9,0,77,0.772,106,5,1,,,2,C,DNA,,,Z0000,81,R2072,11,13,M,93,287,3,2,0,1.73,111.2,M,90,,,0.0,
04WN02908,104822225,04,X2225,82,3,00,08,45,8,2,1,3.0,3,3,2,136,218,82,12,12.1,0,83,0.865,116,1,1,,,2,N,.,,,R3660,11,T8748,44,41,3,93,275,3,2,0,1.63,113.4,3,97,,,0.0,
04WN02909,104822227,04,X2227,82,3,00,31,31,5,1,1,6.5,6,4,2,137,218,81,5,11.5,0,72,0.747,101,1,1,,,2,N,.,,,R3456,11,A4798,04,73,3,93,275,1,1,0,2.45,130.2,3,90,,,0.0,
04WN02910,104822228,04,X2228,82,3,00,09,35,5,1,1,2.0,2,2,2,137,218,81,22,12.9,0,82,0.853,115,1,1,,,2,N,.,,,R3847,11,K2316,64,68,3,93,275,1,1,0,1.63,131.0,3,100,,,0.0,
04WN02911,104822229,04,X2229,82,2,00,09,46,5,1,1,2.0,2,2,H,138,222,84,6,16.5,0,92,0.899,124,1,1,,,2,N, 29,,NICE LAMB,R3543,11,K2473,64,68,2,92,267,1,1,130,1.47,110.5,2,111,108,,0.0,
04WN02912,104822230,04,X2230,82,3,ID,02,e.3,5,1,1,1.0,1,1,2,131,218,87,12,11.0,0,62,0.586,81,1,1,,,I,I,.,,BORN>RANGE,T8811,44,T9506,44,ID,3,93,275,1,1,0,1.71,119.4,3,75,,,0.111,
04WN02913,104822231,04,X2231,82,2,00,09,43,5,1,1,2.0,2,2,2,131,218,87,8,12.0,0,82,0.805,109,1,1,,,2,N, 30,,BORN>RANGE,R3885,11,K2400,64,68,2,92,267,1,1,121,1.8,125.9,2,97,99,,0.0,
04WN02914,104822232,04,X2232,82,3,00,31,47,5,1,1,2.0,2,2,2,132,218,86,17,11.0,0,75,0.744,100,1,1,,,2,N,.,,BORN>RANGE,R3179,11,A9471,04,84,3,93,275,1,1,0,1.9,125.0,3,88,,,0.0,
04WN02915,104822233,04,X2233,82,3,00,09,37,5,1,1,2.0,2,2,2,133,218,85,11,12.0,0,84,0.847,114,1,1,,,2,N,.,,BORN>RANGE,R3362,11,K2734,64,68,3,93,275,1,1,0,1.63,127.1,3,105,,,0.0,
04WN02916,104822234,04,X2234,82,2,00,08,32,5,1,1,5.0,5,4,2,134,218,84,1,12.0,0,66,0.643,89,1,1,,,2,N, 28,,BORN>RANGE,R2993,11,T7265,44,42,2,92,267,1,1,100,1.58,107.4,2,78,82,,0.0,
