UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,HGRP
05WN00001,105051393,05,H1393,05,2,88,30,e10,5,1,1,1.0,1,1,1,87,221,134,12,8.7,0,89,0.599,81,1,1,,,0,M,.,e24,,A9073,04,H1123,05,82,1,,0,1,1,98,2.09,126.2,1,111,0,,0.061,SxP,
05WN00002,105051395,05,H1395,05,2,88,30,e10,8,2,1,1.0,1,1,1,87,221,134,10,7.3,0,73,0.49,66,1,1,,,0,M,  6,,,A9073,04,H0987,05,82,2,92,265,3,2,89,2.19,123.2,2,86,83,,0.056,,
05WN00003,105051396,05,H1396,05,3,88,30,e10,8,2,2,1.0,1,1,1,87,221,134,1,7.5,0,65,0.429,59,1,1,,,0,M,.,,,A9073,04,H1376,05,88,3,93,273,5,5,0,2.19,136.6,3,72,0,,0.069,,
05WN00004,105051397,05,H1397,05,2,88,30,e10,8,2,2,1.0,1,1,1,87,221,134,1,8.2,0,82,0.551,74,1,1,,,0,M,.,e31,,A9073,04,H1376,05,88,1,,0,5,5,99,2.19,136.6,1,93,0,,0.069,Life,2
05WN00005,105051399,05,H1399,05,2,88,30,e12,8,2,2,1.0,1,1,1,88,221,133,10,8.8,0,89,0.603,81,1,1,,,0,M,.,e32,PNEU.,P0098,05,H0824,05,82,1,,0,5,5,105,2.19,141.2,1,105,0,,0.045,Life,2
05WN00006,105051402,05,H1402,05,3,88,30,e12,8,2,2,1.0,1,1,1,88,221,133,15,6.3,0,76,0.524,69,1,1,,,0,M,.,,PNEU.,P0098,05,H0780,05,83,3,93,273,5,5,0,2.19,137.2,3,89,0,,0.04,,
05WN00007,105051403,05,H1403,05,3,88,30,e12,8,2,2,1.0,1,1,1,88,221,133,2,7.1,0,74,0.503,67,1,1,,,0,M,.,,PNEU. SCOURS,P0098,05,H0780,05,83,3,93,273,5,5,0,2.19,137.2,3,90,0,,0.04,,
05WN00008,105051404,05,H1404,05,2,88,30,e10,8,2,2,1.0,1,1,1,89,221,132,9,7.0,0,52,0.341,48,1,1,,,0,M,.,,,A9073,04,H0889,05,83,3,93,273,5,7,85,2.19,134.2,3,64,0,,0.06,,
05WN00009,105051405,05,H1405,05,3,88,30,e10,8,2,2,1.0,1,1,1,89,221,132,6,10.7,0,79,0.517,73,1,1,,,0,M,.,,,A9073,04,H0889,05,83,3,93,273,5,3,0,2.19,134.2,3,93,0,,0.06,,
05WN00010,105051406,05,H1406,05,3,88,30,e10,8,2,1,1.0,1,1,1,89,221,132,2,8.0,0,89,0.614,82,1,1,,,0,M,.,,,A9073,04,H1187,05,82,3,93,273,3,2,0,2.19,126.4,3,102,0,,0.068,,
05WN02649,105822971,05,X2971,82,2,00,10,36R,9,3,2,5.0,5,4,2,131,223,92,13,12.0,0,56,0.478,69,5,1,,,0,M,.,,,Z0000,81,00677,00,18,3,93,273,8,5,0,1.81,123.0,3,78,0,,0.0,,
05WN02650,105822972,05,X2972,82,2,00,10,36R,9,3,2,5.0,5,4,2,131,223,92,13,12.4,0,66,0.583,82,5,1,,,0,M,.,,,Z0000,81,00677,00,18,3,93,273,8,5,0,1.81,123.0,3,84,0,,0.0,,
05WN02651,105822974,05,X2974,82,3,00,10,36R,8,2,1,6.0,6,4,2,132,223,91,16,12.5,0,73,0.665,92,5,1,,,0,M,.,,,Z0000,81,90259,09,18,3,93,273,3,2,0,1.64,113.4,3,95,0,,0.0,,
05WN02652,105822975,05,X2975,82,3,00,80,03P,8,2,2,7.0,7,5,2,132,223,91,5,13.0,0,70,0.626,88,5,1,,,0,W,.,,,Z0000,81,A5729,04,88,3,93,273,5,4,0,1.49,96.1,3,87,0,,0.0,,
05WN02653,105822976,05,X2976,82,2,00,80,03P,8,2,2,7.0,7,5,2,132,223,91,11,10.8,0,72,0.673,92,5,1,,,0,W,.,,,Z0000,81,A5729,04,88,6,11,237,5,6,0,1.49,96.1,6,0,0,,0.0,,
05WN02654,105822977,05,X2977,82,3,00,10,36R,8,2,2,3.0,3,3,2,133,223,90,7,13.7,0,68,0.603,86,5,1,,,0,M,.,,,Z0000,81,R3845,11,18,3,93,273,5,6,0,1.83,130.3,3,83,0,,0.0,,
05WN02655,105822978,05,X2978,82,3,00,10,36R,8,2,2,3.0,3,3,2,133,223,90,6,16.7,0,77,0.67,97,5,1,,,0,M,.,,,Z0000,81,R3845,11,18,Z,93,259,5,4,0,1.83,130.3,Z,95,96,,0.0,,
05WN02656,105822979,05,X2979,82,3,00,80,03P,5,1,1,6.0,6,4,2,133,223,90,6,14.5,0,87,0.806,111,5,1,,,0,W,.,,,Z0000,81,A6628,04,82,3,93,273,1,1,0,1.82,106.2,3,105,0,,0.0,,
05WN02657,105822980,05,X2980,82,2,00,10,36R,5,1,1,4.0,4,4,2,134,223,89,15,15.6,57,82,0.746,105,5,1,,,0,M,.,,,Z0000,81,R2714,11,12,3,93,273,1,1,0,1.6,113.5,3,99,106,,0.0,,
05WN02658,105822981,05,X2981,82,2,00,10,33R,5,1,1,3.0,3,3,2,135,223,88,7,16.4,0,82,0.745,106,5,1,,,0,M,.,,SCOURS 5/16/0,Z0000,81,R3513,11,18,Z,93,259,1,1,0,1.54,112.8,Z,99,102,,0.0,,
