UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE2,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN
06WN00001,2006052192,06,H2192,05,2,88,30,e34,5,1,1,1.0,1,1,1,80,213,133,1,8.2,60,77,0.517,70,1,1,,,0,L,WSW,e34,,H0994,05,H2150,05,82,1,,0,1,1,96,2.08,116.4,1,94,0,,,Life,
06WN00002,2006052193,06,H2193,05,3,88,30,e31,8,2,2,1.0,1,1,1,81,213,132,1,9.3,51,66,0.43,61,1,1,,,0,M,WSW,,,H1159,05,H1431,05,88,V,,0,5,5,96,2.18,127.2,V,88,0,,,Life,
06WN00003,2006052194,06,H2194,05,2,88,30,e31,8,2,2,1.0,1,1,1,81,213,132,12,8.3,60,68,0.452,63,1,1,,,0,L,WSW,e31,,H1159,05,H1431,05,88,1,,0,5,5,97,2.18,127.2,1,85,0,,,Life,
06WN00004,2006052195,06,H2195,05,2,88,30,e32,5,1,1,1.0,1,1,1,81,213,132,4,10.7,72,93,0.623,86,1,1,,,0,L,WSW,e31,,H0596,05,H1585,05,82,1,,0,1,1,106,2.08,119.6,1,113,0,,,Life,
06WN00005,2006052196,06,H2196,05,3,88,30,e32,5,1,1,4.0,4,4,2,82,215,133,5,9.0,64,77,0.511,70,1,1,,,0,C,.,,WEAK LAMB,H0596,05,A9275,04,81,V,,0,1,1,85,1.96,96.2,V,92,0,,,Vacc,
06WN00006,2006052198,06,H2198,05,3,88,30,e32,8,2,1,1.0,1,1,1,82,213,131,1,8.2,57,75,0.51,69,1,1,,,0,M,WSW,,,H0596,05,H1920,05,88,V,,0,3,2,95,2.18,116.2,V,97,0,,,Life,
06WN00007,2006052199,06,H2199,05,2,88,30,01,8,2,2,2.0,2,2,2,83,215,132,12,7.7,54,69,0.464,63,1,1,,,0,M,.,e33,,H1311,05,H1333,05,82,1,,0,5,5,96,1.94,123.9,1,86,0,,,,
06WN00008,2006052200,06,H2200,05,3,88,30,01,8,2,2,2.0,2,2,2,83,215,132,7,8.2,64,81,0.552,74,1,1,,,0,M,.,,HAIRY,H1311,05,H1333,05,82,V,,0,5,5,101,1.94,123.9,V,101,0,,,Vacc,
06WN00009,2006052201,06,H2201,05,2,88,30,03,5,1,1,2.0,2,2,2,83,215,132,14,11.0,69,78,0.508,72,1,1,,,0,M,.,e34,,H0471,05,H0960,05,88,1,,0,1,1,92,1.94,106.1,1,103,0,,,,
06WN00010,2006052202,06,H2202,05,3,88,30,e32,5,1,1,1.0,1,1,1,83,213,130,13,10.9,54,66,0.424,62,1,1,,,0,M,WSW,,,H0596,05,H1699,05,82,V,,0,1,1,90,2.08,114.8,V,83,0,,,Life,
06WN02522,2006824297,06,X4297,82,2,00,00,r.2,5,1,1,3.0,3,3,2,125,215,90,9,13.8,58,79,0.724,101,1,1,,,7,X,RN,NON,,K0000,64,X0512,82,00,1,,0,1,1,115,2.06,128.8,1,101,0,,,,
06WN02523,2006824298,06,X4298,82,2,00,05,r.1,7,2,1,3.0,3,3,2,125,215,90,11,13.0,58,72,0.656,92,1,1,,,0,X,.,NON,OK stm err,K0000,64,Z8749,81,00,1,,0,3,2,110,1.96,138.6,1,95,0,,,,
06WN02524,2006824299,06,X4299,82,3,00,86,r.1,5,1,1,3.0,3,3,3,125,208,83,1,17.1,0,91,0.89,124,5,1,,,7,X,BFE,X,,K0000,64,Z8592,81,00,4,93,355,1,1,0,1.84,146.3,4,111,0,,,FEED,...
06WN02525,2006824300,06,X4300,82,2,00,00,r.2,8,2,2,3.0,3,3,2,126,215,89,4,13.0,56,71,0.652,91,1,1,,,7,X,RN,NON,,K0000,64,Z9417,81,00,1,,0,5,5,109,2.06,137.1,1,97,0,,,,
06WN02526,2006824301,06,X4301,82,2,00,00,r.2,8,2,2,3.0,3,3,2,126,215,89,13,11.6,48,65,0.6,84,1,1,,,7,X,RN,NON,,K0000,64,Z9417,81,00,1,,0,5,5,103,2.06,137.1,1,84,0,,,,
06WN02527,2006824302,06,X4302,82,3,00,10,21,8,2,2,4.0,4,4,2,128,215,87,2,13.2,36,57,0.503,74,5,4,,,0,X,XRM,,,Z0000,81,R3194,11,18,3,93,270,5,5,0,1.44,94.7,3,73,0,,,,
06WN02528,2006824303,06,X4303,82,3,00,10,21,8,2,2,4.0,4,4,2,128,215,87,10,11.9,41,57,0.518,74,5,1,,,0,X,XRM,,,Z0000,81,R3194,11,18,3,93,270,5,5,0,1.44,94.7,3,73,0,,,,
06WN02529,2006824304,06,X4304,82,2,00,05,r.2,8,2,2,3.0,3,3,2,128,215,87,7,14.6,36,48,0.384,61,1,1,,,0,X,.,,ENTROPION,K0000,64,X0573,82,00,3,93,270,5,5,83,1.82,133.2,3,68,0,,,,
06WN02530,2006824305,06,X4305,82,3,00,05,r.2,8,2,2,3.0,3,3,2,128,215,87,2,16.4,47,68,0.593,88,1,1,,,0,X,.,,ENTROPION,K0000,64,X0573,82,00,3,93,270,5,5,0,1.82,133.2,3,82,0,,,,
06WN02531,2006451265,06,T1265,45,2,ID,02,53,5,1,1,4.0,4,4,2,102,215,113,3,10.0,64,80,0.619,84,1,1,,,I,I,.,,W/R.BALL JULY,T9657,44,T8815,44,ID,3,93,226,1,1,107,1.65,116.5,3,0,0,,,,
