UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
08WN00001,2008053922,08,H3922,05,1,,30,P05,9,3,2,4.0,4,4,2,92,220,128,,8.9,55,76,0.524,72,1,1,,,,, RE,,.,H1797,05,H0987,05,82,7,97,236,8,5,,,,,0,,,0.05,,,
08WN00002,2008054090,08,H4090,05,2,,30,P06,9,3,2,3.0,3,3,2,97,220,123,,6.0,27,45,0.317,44,1,1,,,,, -,,HAIRY,H2601,05,H1762,05,88,1,97,242,8,4,,,,7,0,,,0.059,,,
08WN00003,2008054144,08,H4144,05,1,,30,P05,9,3,2,4.0,4,4,2,98,220,122,,11.0,47,68,0.467,67,1,1,,,,, Fl,,H LEGS,H1797,05,H1240,05,83,6,67,203,8,3,,,,,0,,,0.054,,,
08WN00004,2008054215,08,H4215,05,3,,30,P04,8,2,1,3.0,3,3,1,99,218,119,,6.8,48,68,0.514,69,1,1,,,,, RE,,.,H2290,05,H1564,05,83,3,,,3,2,,,,,81,,,0.038,,,
08WN00005,2008054224,08,H4224,05,2,,30,p15,5,1,1,1.0,1,1,1,99,218,119,,10.4,58,78,0.568,79,1,1,,,,, -,e19,.,H1889,05,H3118,05,88,1,,,1,1,,,,,91,,,0.059,,,
08WN00006,2008054226,08,H4226,05,1,,30,P06,8,2,2,4.0,4,4,1,99,218,119,,11.8,67,89,0.649,90,1,1,,,,, RE,,.,H2601,05,H0912,05,88,7,97,236,5,5,,,,,0,,,0.065,,,
08WN00007,2008054280,08,H4280,05,2,,30,P08,5,1,1,3.0,3,3,1,101,218,117,,12.8,76,98,0.728,100,1,1,,,,, -,,.,H2362,05,H1619,05,82,3,,,1,1,,,,,117,,,0.052,,,
08WN00008,2008054295,08,H4295,05,1,,02,T54,8,2,2,3.0,3,3,1,101,218,117,,11.3,57,77,0.562,79,1,1,,,,,BRT,,REALLY A T,T9684,45,T0435,45,ID,1,,,5,5,,,,,90,,,0.011,,,
08WN00009,2008054405,08,H4405,05,3,,30,p14,8,2,1,1.0,1,1,1,105,218,113,,8.4,30,47,0.342,49,1,1,,,,, -,,.,H1704,05,H3673,05,88,3,,,3,2,,,,,49,,,0.064,,,
08WN00010,2008054463,08,H4463,05,3,,30,p26,8,2,2,1.0,1,1,2,109,220,111,,9.6,37,55,0.409,59,1,5,,,,, -,,.,H2022,05,H3012,05,88,6,01,193,5,5,,,,,0,,,0.059,,,
08WN02571,2008644195,08,K4195,64,1,,06,01,9,3,2,4.0,4,4,H,78,221,143,,9.8,0,79,0.484,68,1,1,,,,, Te,,4TEATS,  514,00,K3035,64,6T,3,,,8,5,,,,,74,,,0.0,,,
08WN02572,2008451894,08,T1894,45,1,,02,T54,8,2,1,4.0,4,4,H,90,221,131,,10.4,0,91,0.615,84,1,1,,,,, -,,.,T9684,45,T9903,44,ID,1,,,3,2,,,,,101,,,0.002,,,
08WN02573,2008825994,08,X5994,82,3,,00,ISO,8,2,1,5.0,5,4,H,76,221,145,,14.6,0,71,0.389,61,1,3,,,,, IS,,4TEATS,X0000,00,Z8750,81,00,3,,,3,2,,,,,81,,,0.0,,,
08WN02574,2008827081,08,X7081,82,3,,20,T54,8,2,2,2.0,2,2,2,112,220,108,,12.5,22,42,0.273,45,8,1,,,,, WS,,.,X0000,00,T1027,45,48,3,,,5,5,,,,,50,,,0.085,,,
08WN02575,2008117187,08,R7187,11,2,,07,R37,9,3,1,2.0,2,2,H,76,221,145,,8.4,0,100,0.632,84,1,1,,,,, -,e15,ENTROPION,R6391,11,R6531,11,18,1,,,7,2,,,,,112,,,0.032,,,
08WN02576,2008826780,08,X6780,82,3,,83,-0-,5,1,1,5.0,5,4,H,89,221,132,,10.1,0,83,0.552,76,5,1,,,,, RN,,.,X0000,00,Z9708,81,00,3,,,1,1,,,,,88,,,0.0,,,
08WN02577,2008826740,08,X6740,82,3,,TR,25,9,3,2,6.0,6,4,H,88,221,133,,10.3,0,74,0.479,68,1,1,,,,,TRM,,4TEATS,   46,00,R3448,11,18,3,,,8,5,,,,,81,,,0.0,,,
08WN02578,2008827153,08,X7153,82,2,,MY,e24,8,2,1,2.0,2,2,H,119,221,102,,9.2,0,64,0.537,74,2,1,,,,, Tx,,E,   61,00,X3641,82,00,6,67,244,3,2,,,,,0,,,0.0,,,
08WN02579,2008452181,08,T2181,45,2,,02,T52,8,2,2,2.0,2,2,H,100,221,121,,12.0,0,67,0.455,67,1,2,,,,, WS,,.,T0931,45,T1202,45,48,3,,,5,5,,,,,78,,,0.049,,,
08WN02580,2008826003,08,X6003,82,2,,00,ISO,5,1,1,5.0,5,4,1,77,218,141,,14.1,57,59,0.318,52,1,1,,,,, -,,.,X0000,00,Z9985,81,00,6,66,246,1,1,,,,,46,,,0.0,,,
