UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
14WN00001,2014058462,14,H8462,05,3,,30,e9,7,2,1,1.0,1,1,1,72,195,123,,8.9,  0,86,0.627,84,1,1,,,0,,.,,.,H7881,05,H8054,05,,3,93,260,3,2,,,,,93,246,,,0.04,,,
14WN00002,2014058467,14,H8467,05,2,,30,16,9,3,2,6.0,6,4,1,77,195,118,,7.4,  0,69,0.522,70,1,1,,,,,.,,.,H7410,00,H4017,05,84,2,92,269,8,5,,,,,82,246,,,0.0,,,13297
14WN00003,2014058468,14,H8468,05,2,,30,16,9,3,2,6.0,6,4,1,77,195,118,,7.6,  0,73,0.554,74,1,1,,,,,.,e13,.,H7410,00,H4017,05,84,1,,,8,5,,,,,82,246,,,0.0,,,
14WN00004,2014058470,14,H8470,05,1,,30,16,8,2,2,2.0,2,2,1,77,195,118,,9.4,  0,79,0.59,80,1,1,,,7,,.,,Xed; scurs,H7410,00,H7426,05,,1,93,232,5,5,,,,3,93,217,,,0.0,,,
14WN00005,2014058471,14,H8471,05,1,,30,16,8,2,2,2.0,2,2,1,77,195,118,,10.5,  0,88,0.657,89,1,1,,,7,,.,,NICE LAMB,H7410,00,H7426,05,,3,93,232,5,5,,,,,106,217,,,0.0,,,
14WN00006,2014058472,14,H8472,05,2,,30,10,5,1,1,3.0,3,3,1,77,195,118,,6.0,  0,80,0.627,81,1,1,,,0,.,.,,Conjunctiviti,H5934,05,H7405,05,,3,01,245,1,1,,,,6,,,,,0.03,,,
14WN00007,2014058473,14,H8473,05,3,,30,15,5,1,1,6.0,6,4,1,77,195,118,,6.8,  0,87,0.68,88,1,1,,,,,.,,PINK,H7508,05,H4114,05,83,3,93,260,1,1,,,,,93,246,,,0.027,,,
14WN00008,2014058477,14,H8477,05,2,,30,14,8,2,2,3.0,3,3,1,78,195,117,,10.4,  0,76,0.561,78,1,1,,,0,.,GRN,,1E,H7835,05,H6601,05,,3,93,260,5,6,,,,,90,246,,,0.035,,,
14WN00009,2014058478,14,H8478,05,2,,30,14,8,2,2,3.0,3,3,1,78,195,117,,13.0,  0,73,0.513,75,1,1,,,0,.,GRN,,.,H7835,05,H6601,05,,2,92,269,5,4,,,,,83,247,,,0.035,,,13282
14WN00010,2014058479,14,H8479,05,3,,30,e8,5,1,1,1.0,1,1,1,78,195,117,,13.9,  0,99,0.727,101,1,1,,,0,,.,,HAIRY,H7543,05,H8301,05,,3,93,260,1,1,,,,,103,246,,,0.035,,,
14WN01877,2014832660,14,Z2660,83,3,,33,BRT,8,2,2,4.0,4,4,H,110,196,86,,9.2,  0,56,0.544,74,1,1,,,0,.,BTG,,.,K4696,64,H6310,05,,3,93,260,5,5,,,,,76,246,,,0.0,,,
14WN01878,2014832664,14,Z2664,83,3,,00,32,8,2,2,3.0,3,3,2,110,196,86,,10.7,  0,44,0.387,57,5,1,,,7,.,CTL,,CU,X0000,82,T3741,45,,3,93,260,5,6,,,,,63,247,,,0.034,,,
14WN01879,2014832665,14,Z2665,83,2,,00,32,8,2,2,3.0,3,3,2,110,196,86,,13.5,  0,68,0.634,90,2,1,,,7,.,CTL,,BLSPOTSH.HOOF,X0000,82,T3741,45,,3,93,260,5,4,,,,,85,246,,,0.034,,,
14WN01880,2014832666,14,Z2666,83,3,,00,32,8,2,2,4.0,4,4,2,110,196,86,,12.9,  0,56,0.501,73,2,1,,,0,.,CTL,,ALMOST.SMUT.C,X0000,82,T2888,45,,3,93,260,5,5,,,,,84,246,,,0.04,,,
14WN01881,2014832667,14,Z2667,83,2,,00,32,8,2,2,4.0,4,4,2,110,196,86,,12.9,  0,76,0.734,101,2,1,,,0,.,CTL,,CU,X0000,82,T2888,45,,3,93,260,5,5,,,,,95,246,,,0.04,,,
14WN01882,2014832669,14,Z2669,83,2,,00,32,7,2,1,5.0,5,4,H,111,196,85,,13.1,  0,94,0.952,127,1,1,,,,,CTL,,1ST,X0000,82,T2662,45,,3,93,260,3,2,,,,,109,246,,,0.037,,,
14WN01883,2014832670,14,Z2670,83,2,,CM,e2,5,1,1,1.0,1,1,H,111,196,85,,7.3,  0,73,0.773,100,2,1,,,0,,OR,3,.,Z1226,83,Z1811,83,,1,,,1,1,,,,,82,246,,,0.016,,,
14WN01884,2014832671,14,Z2671,83,3,,00,e12,5,1,1,1.0,1,1,2,113,196,83,,11.8,  0,70,0.701,96,5,1,,,0,,.,,SMBALLSHypert,Z0000,83,R9911,11,,3,93,260,1,1,,,,,92,246,,,0.0,,,
14WN01885,2014832672,14,Z2672,83,3,,00,38,5,1,1,3.0,3,3,2,114,196,82,,18.0,  0,81,0.768,110,5,1,,,7,.,SEL,,CU,X0000,82,T4006,45,,3,93,260,1,1,,,,,112,246,,,0.029,,,
14WN01886,2014832674,14,Z2674,83,3,,00,32,8,2,1,2.0,2,2,2,116,196,80,,12.1,  0,87,0.936,124,2,1,,,0,,CTL,,CU,X0000,82,T4451,45,,3,93,260,3,2,,,,,109,246,,,0.048,,,
