UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDAR
20WN00001,2020060716,20,A0716,06,2,,30,23,9,3,1,2.0,2,2,O,68,196,128,,9.0,  0,94,0.664,89,1,1,,,0,,,,.,A0714,00,A0236,06,,3,93,292,7,2,,,,,,,,,0.0,Trip,Or,
20WN00002,2020060717,20,A0717,06,2,,30,23,9,3,2,2.0,2,2,1,68,195,127,,7.6,  0,56,0.381,53,1,1,,,0,,,,.,A0714,00,A0236,06,,3,93,255,8,5,,,,,73,244,,,0.0,Tr>X,,
20WN00003,2020060718,20,A0718,06,2,,30,23,9,3,2,2.0,2,2,1,68,195,127,,7.2,  0,57,0.392,54,1,1,,,0,,,,.,A0714,00,A0236,06,,3,93,315,8,5,,,,,74,244,,,0.0,Trip,,
20WN00004,2020060719,20,A0719,06,1,,30,28,9,3,2,5.0,5,4,1,69,195,126,,10.5,  0,79,0.544,76,1,1,1,2,,,,,.,M0031,51,H9134,05,,1,01,265,8,5,,,,6,99,218,,,0.037,,,
20WN00005,2020060720,20,A0720,06,2,,30,28,9,3,2,5.0,5,4,1,69,195,126,,8.9,  0,72,0.501,69,1,1,,,,,,e6,.,M0031,51,H9134,05,,1,,,8,6,,,,,96,244,,,0.037,,,
20WN00006,2020060721,20,A0721,06,2,,30,25,9,3,2,5.0,5,4,1,69,195,126,,8.0,  0,78,0.556,75,1,1,,,0,.,,,.,H9421,05,H8988,05,,3,93,315,8,5,,,,,98,244,,,0.032,Trip,,
20WN00007,2020060722,20,A0722,06,2,,30,25,9,3,2,5.0,5,4,1,69,195,126,,7.8,  0,74,0.525,71,1,1,,,0,.,,,.,H9421,05,H8988,05,,3,93,255,8,5,,,,,90,244,,,0.032,Tr>X,,
20WN00008,2020060725,20,A0725,06,2,,30,21,9,3,2,6.0,6,4,1,69,195,126,,11.0,  0,69,0.46,66,1,1,,,,,,,.,A0209,06,H8765,05,,3,93,255,8,4,,,,,86,244,,,0.033,Tr>X,,
20WN00009,2020060726,20,A0726,06,2,,30,21,9,3,2,6.0,6,4,1,69,195,126,,9.4,  0,70,0.481,67,1,1,,,,,,,.,A0209,06,H8765,05,,3,93,255,8,5,,,,,89,244,,,0.033,Tr>X,,
20WN00010,2020060727,20,A0727,06,3,,30,23,8,2,2,2.0,2,2,1,70,195,125,,6.8,  0,68,0.49,66,1,1,,,,,,,1ST,A0714,00,A0070,06,,3,93,255,5,5,,,,,84,244,,,0.0,,,
20WN02300,2020838511,20,Z8511,83,3,,LR,48,5,1,1,7.0,7,5,1,109,195,86,,20.6,  0,94,0.853,123,5,1,,,0,,,,NICE LAMB,L2029,70,R9872,11,,6,04,246,1,1,,,,,,,,,0.0,,,
20WN02301,2020838512,20,Z8512,83,2,,00,e1,5,1,1,1.0,1,1,1,109,195,86,,9.8,  0,55,0.526,73,1,1,,,0,,,,.,Z0000,83,T7411,45,,3,93,255,1,1,,,,,77,244,,,0.0,,,
20WN02302,2020838513,20,Z8513,83,1,,BL,13,5,1,1,2.0,2,2,H,109,196,87,,15.9,  0,85,0.794,111,9,1,2,2-,,,,,Scurs,K5193,64,Z6025,83,,1,,,1,1,,,,,103,218,,,0.0,,,
20WN02303,2020838514,20,Z8514,83,2,,20,31,5,1,1,2.0,2,2,1,109,195,86,,13.0,  0,80,0.779,106,5,1,,,0,,GRN,,.,Z0000,83,T7144,45,,2,92,273,1,1,,,,,100,244,,,0.0,,2,
20WN02304,2020838515,20,Z8515,83,2,,00,e5,5,1,1,1.0,1,1,1,132,195,63,,13.2,  0,54,0.648,91,1,1,,,,,,,,Z0000,83,S2229,12,,3,93,255,1,1,,,,,76,244,,,0.0,,,
20WN02305,2020838516,20,Z8516,83,3,,00,e1,5,1,1,1.0,1,1,1,131,195,64,,15.6,  0,54,0.6,88,1,1,,,0,,,,,Z0000,83,S2008,12,,3,93,255,1,1,,,,,81,244,,,0.0,,,
20WN02306,2020838518,20,Z8518,83,3,,00,e5,5,1,1,1.0,1,1,1,136,195,59,,10.9,  0,44,0.561,78,1,1,,,,,,,PINK,Z0000,83,S2113,12,,3,93,255,1,1,,,,,72,244,,,0.0,,,
20WN02307,2020838519,20,Z8519,83,2,,00,e2,5,1,1,1.0,1,1,1,136,195,59,,12.0,  0,50,0.644,89,1,1,,,0,,,,.,Z0000,83,Z6811,83,,3,93,255,1,1,,,,,68,244,,,0.0,,,
20WN02308,2020838521,20,Z8521,83,3,,00,e5,5,1,1,1.0,1,1,1,144,195,51,,12.1,  0,43,0.606,85,1,1,,,0,,,,.,Z0000,83,S2034,12,,3,93,255,1,1,,,,,66,244,,,0.0,,,
20WN02309,2020838523,20,Z8523,83,2,,00,,5,1,1,1.0,1,1,,148,195,47,,12.0,  0,37,0.532,76,1,1,,,,,,,CantCatchDam,Z0000,83,00000,00,,3,93,255,1,1,,,,,48,244,,,0.0,,,
